FIPS,2010_RR_Level,2010_RR_Score,2011_RR_Level,2011_RR_Score,2012_RR_Level,2012_RR_Score,2013_RR_Level,2013_RR_Score,2014_RR_Level,2014_RR_Score,2015_RR_Level,2015_RR_Score,2016_RR_Level,2016_RR_Score,2017_RR_Level,2017_RR_Score,2018_RR_Level,2018_RR_Score,2019_RR_Level,2019_RR_Score,2020_RR_Level,2020_RR_Score,2021_RR_Level,2021_RR_Score,2022_RR_Level,2022_RR_Score
01001,9,1.098056035650484,3,0.541943999302151,1,0.31704307770695034,0,0.020794788155319217,4,0.627075699077742,1,0.3066479076665895,2,0.40276608271570064,1,0.3068946756254537,1,0.2904693302389449,2,0.4279281816392155,1,0.28874623613097367,3,0.5158226158807707,8,0.9520065418794605
01003,12,1.455244522083391,10,1.2345162179466844,14,1.7974790042515651,8,1.0627800158046383,13,1.5742032183366177,14,1.7190227172932657,9,1.0846585688796506,6,0.8131431999229279,6,0.838280139636165,6,0.8167920438238253,11,1.2177736556554521,13,1.3996057930523857,10,1.1172563484277973
01005,0,0.015023056809023275,0,0.01619895288624179,0,0.018570728685906528,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,4,0.6308312644548825,1,0.28874623613097367,2,0.41892762363586245,1,0.33972399487928284
01007,13,1.5946675643651265,6,0.8266877181227463,6,0.8602672922532386,8,1.0627800158046383,10,1.2051016936043577,8,1.0261036276409308,7,0.8895299684912805,8,0.9953630680580864,8,1.0193789162732798,7,0.908728153137958,8,0.9342843564300088,8,0.9198701884777646,11,1.2119290445383073
01009,14,1.7737282469230873,16,2.196774036913289,18,2.9340909467611103,16,2.1495268717286993,14,1.734508122602194,13,1.5693168831877111,14,1.7030537187838724,16,2.086934024373544,9,1.1225714872394117,9,1.092965793470596,7,0.8514071105903959,9,1.0104957190554287,8,0.9520065418794605
01011,0,0.015023056809023275,3,0.541943999302151,2,0.45187753940935244,0,0.020794788155319217,1,0.2867062617822267,1,0.3066479076665895,2,0.40276608271570064,0,0.01956460723409602,0,0.01627647603497162,9,1.092965793470596,4,0.5965621807007077,0,0.028802156130073975,4,0.6337785886431665
01013,0,0.015023056809023275,17,2.51672568733716,0,0.018570728685906528,0,0.020794788155319217,11,1.3180770283715952,2,0.44487824312994995,0,0.016777603503146644,9,1.0832047907293716,0,0.01627647603497162,0,0.019680137210545585,4,0.5965621807007077,9,1.0104957190554287,11,1.2119290445383073
01015,14,1.7737282469230873,9,1.1253138245473644,12,1.4984612024674966,15,1.9326448759291726,12,1.4382573521915099,12,1.4476840949951064,7,0.8895299684912805,14,1.6905399873573463,8,1.0193789162732798,10,1.190639457178915,11,1.2177736556554521,9,1.0104957190554287,16,1.8456508017688205
01017,3,0.5168025719009003,13,1.6109047441709774,5,0.7705879423632879,1,0.3289071414706423,7,0.9116922854456571,4,0.6501897346306091,8,0.9897995123462122,7,0.9058566813968447,2,0.43151138994265653,2,0.4279281816392155,7,0.8514071105903959,6,0.7597480567944727,3,0.5496539616399493
01019,15,1.9827981140987774,10,1.2345162179466844,14,1.7974790042515651,16,2.1495268717286993,11,1.3180770283715952,13,1.5693168831877111,9,1.0846585688796506,14,1.6905399873573463,12,1.4514396801453566,9,1.092965793470596,10,1.1163103362093936,9,1.0104957190554287,9,1.0366042714764752
01021,17,2.5762577219316936,5,0.7377261890866513,5,0.7705879423632879,4,0.6916771873707732,5,0.7205390659872996,3,0.5491144942308759,4,0.6196240792840947,3,0.5421168194320513,4,0.6467312505848609,4,0.6308312644548825,2,0.4125149439240726,9,1.0104957190554287,10,1.1172563484277973
01023,3,0.5168025719009003,0,0.01619895288624179,1,0.31704307770695034,5,0.782178794459674,0,0.018196523666997512,2,0.44487824312994995,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,2,0.41892762363586245,4,0.6337785886431665
01025,5,0.7061019741154222,1,0.29814504462333863,4,0.6732415745426011,4,0.6916771873707732,10,1.2051016936043577,3,0.5491144942308759,1,0.2795008642250658,1,0.3068946756254537,3,0.5433378471975915,1,0.28358803975709973,2,0.4125149439240726,4,0.6019712620679822,10,1.1172563484277973
01027,0,0.015023056809023275,0,0.01619895288624179,9,1.1559880165126384,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,8,0.9897995123462122,11,1.2980083530424253,4,0.6467312505848609,1,0.28358803975709973,2,0.4125149439240726,2,0.41892762363586245,3,0.5496539616399493
01029,15,1.9827981140987774,0,0.01619895288624179,12,1.4984612024674966,9,1.166910488198306,10,1.2051016936043577,10,1.2209038635921285,0,0.016777603503146644,13,1.540288309959917,0,0.01627647603497162,0,0.019680137210545585,11,1.2177736556554521,0,0.028802156130073975,0,0.0290255266522079
01031,1,0.28162345117262716,11,1.3371515868584367,1,0.31704307770695034,0,0.020794788155319217,0,0.018196523666997512,1,0.3066479076665895,0,0.016777603503146644,1,0.3068946756254537,6,0.838280139636165,6,0.8167920438238253,7,0.8514071105903959,6,0.7597480567944727,7,0.8741379762426298
01033,10,1.204634621673818,10,1.2345162179466844,14,1.7974790042515651,18,2.8236353169956345,14,1.734508122602194,11,1.325737654776546,6,0.8046021087523765,2,0.42998380048541407,8,1.0193789162732798,6,0.8167920438238253,14,1.5810451153294245,7,0.8409242406104049,6,0.7938951921557368
01035,0,0.015023056809023275,19,5.097514543802883,0,0.018570728685906528,8,1.0627800158046383,18,2.862592274915409,8,1.0261036276409308,0,0.016777603503146644,16,2.086934024373544,9,1.1225714872394117,0,0.019680137210545585,11,1.2177736556554521,18,2.4751172942995345,14,1.5398917903353784
01037,9,1.098056035650484,5,0.7377261890866513,10,1.2622858152941425,5,0.782178794459674,0,0.018196523666997512,3,0.5491144942308759,9,1.0846585688796506,8,0.9953630680580864,6,0.838280139636165,0,0.019680137210545585,0,0.026383817705041356,6,0.7597480567944727,6,0.7938951921557368
01039,5,0.7061019741154222,17,2.51672568733716,3,0.5692718929690935,0,0.020794788155319217,10,1.2051016936043577,7,0.9265837234957506,0,0.016777603503146644,10,1.1893344528650995,10,1.2251138444798586,9,1.092965793470596,10,1.1163103362093936,15,1.679316847839859,9,1.0366042714764752
01041,0,0.015023056809023275,13,1.6109047441709774,0,0.018570728685906528,0,0.020794788155319217,1,0.2867062617822267,1,0.3066479076665895,0,0.016777603503146644,2,0.42998380048541407,3,0.5433378471975915,2,0.4279281816392155,4,0.5965621807007077,5,0.6819677646056904,7,0.8741379762426298
01043,18,3.0932091645872943,10,1.2345162179466844,12,1.4984612024674966,15,1.9326448759291726,18,2.862592274915409,13,1.5693168831877111,13,1.5398762849976937,12,1.4198920226412897,13,1.5736366132247221,9,1.092965793470596,7,0.8514071105903959,13,1.3996057930523857,11,1.2119290445383073
01045,3,0.5168025719009003,2,0.4352106933562703,2,0.45187753940935244,2,0.4777349942801136,1,0.2867062617822267,2,0.44487824312994995,0,0.016777603503146644,1,0.3068946756254537,2,0.43151138994265653,4,0.6308312644548825,5,0.6828499567714098,6,0.7597480567944727,5,0.7163078556641818
01047,7,0.8930217743150367,1,0.29814504462333863,1,0.31704307770695034,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,1,0.2904693302389449,1,0.28358803975709973,0,0.026383817705041356,1,0.30467692925927625,15,1.675536972399825
01049,13,1.5946675643651265,12,1.4691801149074413,16,2.200782500027818,18,2.8236353169956345,12,1.4382573521915099,16,2.0898994923187484,14,1.7030537187838724,17,2.375673028717926,12,1.4514396801453566,16,2.0666907839539466,10,1.1163103362093936,4,0.6019712620679822,8,0.9520065418794605
01051,9,1.098056035650484,5,0.7377261890866513,5,0.7705879423632879,2,0.4777349942801136,9,1.1092099987448687,1,0.3066479076665895,7,0.8895299684912805,3,0.5421168194320513,3,0.5433378471975915,6,0.8167920438238253,4,0.5965621807007077,5,0.6819677646056904,2,0.456499825231413
01053,17,2.5762577219316936,19,5.097514543802883,8,1.0596169336828083,19,4.174568763483547,18,2.862592274915409,13,1.5693168831877111,5,0.7109566280236786,16,2.086934024373544,16,2.1069288217543884,17,2.338528695837419,11,1.2177736556554521,18,2.4751172942995345,16,1.8456508017688205
01055,10,1.204634621673818,11,1.3371515868584367,15,1.9703296567532695,15,1.9326448759291726,12,1.4382573521915099,14,1.7190227172932657,8,0.9897995123462122,16,2.086934024373544,15,1.8777628483185316,10,1.190639457178915,8,0.9342843564300088,9,1.0104957190554287,10,1.1172563484277973
01057,16,2.236723817724756,18,3.018253689877933,13,1.6367733310235348,18,2.8236353169956345,8,1.0085092490025407,10,1.2209038635921285,3,0.5209770842046291,9,1.0832047907293716,2,0.43151138994265653,6,0.8167920438238253,13,1.4489807449615386,11,1.1920422786894092,15,1.675536972399825
01059,17,2.5762577219316936,15,1.9600901885195796,14,1.7974790042515651,18,2.8236353169956345,11,1.3180770283715952,4,0.6501897346306091,4,0.6196240792840947,0,0.01956460723409602,4,0.6467312505848609,7,0.908728153137958,9,1.021907604073415,4,0.6019712620679822,12,1.30116295304044
01061,7,0.8930217743150367,8,1.0205135538541141,7,0.9608102220120459,2,0.4777349942801136,0,0.018196523666997512,3,0.5491144942308759,1,0.2795008642250658,5,0.7233674860430815,8,1.0193789162732798,10,1.190639457178915,9,1.021907604073415,9,1.0104957190554287,8,0.9520065418794605
01063,0,0.015023056809023275,0,0.01619895288624179,1,0.31704307770695034,10,1.2640861192696689,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,0,0.0290255266522079
01065,8,0.9936859205593902,1,0.29814504462333863,0,0.018570728685906528,6,0.8742683058993075,3,0.5317075137187113,1,0.3066479076665895,0,0.016777603503146644,2,0.42998380048541407,2,0.43151138994265653,0,0.019680137210545585,3,0.513207830346342,3,0.5158226158807707,4,0.6337785886431665
01067,0,0.015023056809023275,0,0.01619895288624179,1,0.31704307770695034,3,0.589837419453781,0,0.018196523666997512,1,0.3066479076665895,0,0.016777603503146644,1,0.3068946756254537,0,0.01627647603497162,0,0.019680137210545585,2,0.4125149439240726,2,0.41892762363586245,3,0.5496539616399493
01069,11,1.3282791913791232,10,1.2345162179466844,7,0.9608102220120459,15,1.9326448759291726,9,1.1092099987448687,8,1.0261036276409308,0,0.016777603503146644,7,0.9058566813968447,9,1.1225714872394117,4,0.6308312644548825,5,0.6828499567714098,3,0.5158226158807707,6,0.7938951921557368
01071,11,1.3282791913791232,11,1.3371515868584367,17,2.502655068980339,15,1.9326448759291726,13,1.5742032183366177,15,1.8911852273518417,8,0.9897995123462122,13,1.540288309959917,10,1.2251138444798586,14,1.69135175877525,10,1.1163103362093936,10,1.09567412278372,6,0.7938951921557368
01073,7,0.8930217743150367,10,1.2345162179466844,8,1.0596169336828083,11,1.3674289460989972,16,2.1367267915971824,16,2.0898994923187484,16,2.0931365585036814,16,2.086934024373544,15,1.8777628483185316,15,1.8551849427317613,16,1.9333351585198788,16,1.8643650434332208,17,2.0582804980245153
01075,0,0.015023056809023275,15,1.9600901885195796,6,0.8602672922532386,15,1.9326448759291726,0,0.018196523666997512,4,0.6501897346306091,0,0.016777603503146644,3,0.5421168194320513,0,0.01627647603497162,0,0.019680137210545585,9,1.021907604073415,11,1.1920422786894092,12,1.30116295304044
01077,10,1.204634621673818,10,1.2345162179466844,16,2.200782500027818,18,2.8236353169956345,16,2.1367267915971824,16,2.0898994923187484,6,0.8046021087523765,5,0.7233674860430815,8,1.0193789162732798,6,0.8167920438238253,16,1.9333351585198788,6,0.7597480567944727,11,1.2119290445383073
01079,15,1.9827981140987774,13,1.6109047441709774,14,1.7974790042515651,17,2.4149595581474936,15,1.9139364907726268,10,1.2209038635921285,7,0.8895299684912805,4,0.6294643487000012,8,1.0193789162732798,7,0.908728153137958,11,1.2177736556554521,0,0.028802156130073975,9,1.0366042714764752
01081,4,0.6125922605592288,10,1.2345162179466844,4,0.6732415745426011,3,0.589837419453781,4,0.627075699077742,6,0.8365887937034177,7,0.8895299684912805,4,0.6294643487000012,2,0.43151138994265653,2,0.4279281816392155,3,0.513207830346342,2,0.41892762363586245,2,0.456499825231413
01083,14,1.7737282469230873,9,1.1253138245473644,13,1.6367733310235348,11,1.3674289460989972,9,1.1092099987448687,14,1.7190227172932657,7,0.8895299684912805,9,1.0832047907293716,8,1.0193789162732798,9,1.092965793470596,11,1.2177736556554521,7,0.8409242406104049,1,0.33972399487928284
01085,0,0.015023056809023275,8,1.0205135538541141,0,0.018570728685906528,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,2,0.42998380048541407,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,10,1.1172563484277973
01087,0,0.015023056809023275,8,1.0205135538541141,3,0.5692718929690935,1,0.3289071414706423,4,0.627075699077742,2,0.44487824312994995,8,0.9897995123462122,1,0.3068946756254537,3,0.5433378471975915,7,0.908728153137958,0,0.026383817705041356,4,0.6019712620679822,4,0.6337785886431665
01089,9,1.098056035650484,6,0.8266877181227463,5,0.7705879423632879,3,0.589837419453781,3,0.5317075137187113,7,0.9265837234957506,10,1.1885305415361134,12,1.4198920226412897,6,0.838280139636165,12,1.4115259618073581,11,1.2177736556554521,11,1.1920422786894092,9,1.0366042714764752
01091,2,0.40714210394347156,0,0.01619895288624179,0,0.018570728685906528,3,0.589837419453781,2,0.41169056884343425,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,5,0.7163078556641818
01093,17,2.5762577219316936,19,5.097514543802883,14,1.7974790042515651,18,2.8236353169956345,0,0.018196523666997512,6,0.8365887937034177,0,0.016777603503146644,3,0.5421168194320513,0,0.01627647603497162,6,0.8167920438238253,9,1.021907604073415,10,1.09567412278372,15,1.675536972399825
01095,13,1.5946675643651265,12,1.4691801149074413,12,1.4984612024674966,13,1.6138118432224315,15,1.9139364907726268,16,2.0898994923187484,7,0.8895299684912805,6,0.8131431999229279,10,1.2251138444798586,11,1.3010748505227536,6,0.7688761085871352,11,1.1920422786894092,9,1.0366042714764752
01097,9,1.098056035650484,9,1.1253138245473644,11,1.3776616104208703,12,1.4876455992998188,10,1.2051016936043577,11,1.325737654776546,9,1.0846585688796506,5,0.7233674860430815,7,0.9335392464130018,6,0.8167920438238253,9,1.021907604073415,9,1.0104957190554287,9,1.0366042714764752
01099,6,0.7982986983529728,17,2.51672568733716,4,0.6732415745426011,8,1.0627800158046383,17,2.4370396715751426,7,0.9265837234957506,1,0.2795008642250658,9,1.0832047907293716,8,1.0193789162732798,6,0.8167920438238253,7,0.8514071105903959,13,1.3996057930523857,14,1.5398917903353784
01101,6,0.7982986983529728,5,0.7377261890866513,5,0.7705879423632879,2,0.4777349942801136,5,0.7205390659872996,3,0.5491144942308759,3,0.5209770842046291,2,0.42998380048541407,3,0.5433378471975915,1,0.28358803975709973,4,0.5965621807007077,5,0.6819677646056904,5,0.7163078556641818
01103,13,1.5946675643651265,11,1.3371515868584367,13,1.6367733310235348,12,1.4876455992998188,6,0.8146026089378253,14,1.7190227172932657,5,0.7109566280236786,9,1.0832047907293716,10,1.2251138444798586,6,0.8167920438238253,9,1.021907604073415,8,0.9198701884777646,11,1.2119290445383073
01105,11,1.3282791913791232,0,0.01619895288624179,0,0.018570728685906528,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,2,0.4279281816392155,2,0.4125149439240726,0,0.028802156130073975,11,1.2119290445383073
01107,4,0.6125922605592288,6,0.8266877181227463,0,0.018570728685906528,11,1.3674289460989972,3,0.5317075137187113,3,0.5491144942308759,1,0.2795008642250658,2,0.42998380048541407,1,0.2904693302389449,1,0.28358803975709973,4,0.5965621807007077,5,0.6819677646056904,2,0.456499825231413
01109,1,0.28162345117262716,6,0.8266877181227463,1,0.31704307770695034,0,0.020794788155319217,0,0.018196523666997512,1,0.3066479076665895,0,0.016777603503146644,0,0.01956460723409602,2,0.43151138994265653,4,0.6308312644548825,4,0.5965621807007077,2,0.41892762363586245,5,0.7163078556641818
01111,9,1.098056035650484,10,1.2345162179466844,9,1.1559880165126384,0,0.020794788155319217,8,1.0085092490025407,0,0.018340609132932232,9,1.0846585688796506,12,1.4198920226412897,2,0.43151138994265653,5,0.7259547936682846,9,1.021907604073415,6,0.7597480567944727,5,0.7163078556641818
01113,1,0.28162345117262716,4,0.6407219261675707,2,0.45187753940935244,1,0.3289071414706423,2,0.41169056884343425,1,0.3066479076665895,3,0.5209770842046291,1,0.3068946756254537,9,1.1225714872394117,16,2.0666907839539466,10,1.1163103362093936,13,1.3996057930523857,8,0.9520065418794605
01115,14,1.7737282469230873,15,1.9600901885195796,9,1.1559880165126384,17,2.4149595581474936,19,4.251864845823229,15,1.8911852273518417,17,2.376759787415028,16,2.086934024373544,16,2.1069288217543884,13,1.540023514510704,13,1.4489807449615386,16,1.8643650434332208,15,1.675536972399825
01117,11,1.3282791913791232,11,1.3371515868584367,15,1.9703296567532695,11,1.3674289460989972,14,1.734508122602194,13,1.5693168831877111,12,1.4187616804490204,8,0.9953630680580864,9,1.1225714872394117,8,0.9958350375184848,8,0.9342843564300088,9,1.0104957190554287,9,1.0366042714764752
01119,0,0.015023056809023275,0,0.01619895288624179,0,0.018570728685906528,3,0.589837419453781,1,0.2867062617822267,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,0,0.0290255266522079
01121,10,1.204634621673818,7,0.9246582553894327,10,1.2622858152941425,10,1.2640861192696689,11,1.3180770283715952,9,1.1224526108154955,10,1.1885305415361134,8,0.9953630680580864,11,1.3311429252961906,5,0.7259547936682846,7,0.8514071105903959,7,0.8409242406104049,3,0.5496539616399493
01123,2,0.40714210394347156,7,0.9246582553894327,6,0.8602672922532386,1,0.3289071414706423,4,0.627075699077742,0,0.018340609132932232,14,1.7030537187838724,7,0.9058566813968447,3,0.5433378471975915,2,0.4279281816392155,3,0.513207830346342,3,0.5158226158807707,3,0.5496539616399493
01125,12,1.455244522083391,9,1.1253138245473644,12,1.4984612024674966,13,1.6138118432224315,8,1.0085092490025407,8,1.0261036276409308,8,0.9897995123462122,9,1.0832047907293716,6,0.838280139636165,6,0.8167920438238253,8,0.9342843564300088,8,0.9198701884777646,5,0.7163078556641818
01127,19,6.111112956828053,19,5.097514543802883,19,4.584643942576166,19,4.174568763483547,18,2.862592274915409,11,1.325737654776546,11,1.2975297887439197,9,1.0832047907293716,8,1.0193789162732798,14,1.69135175877525,16,1.9333351585198788,14,1.532064396905438,18,2.411026396793283
01129,7,0.8930217743150367,0,0.01619895288624179,0,0.018570728685906528,8,1.0627800158046383,7,0.9116922854456571,10,1.2209038635921285,4,0.6196240792840947,2,0.42998380048541407,2,0.43151138994265653,0,0.019680137210545585,0,0.026383817705041356,6,0.7597480567944727,10,1.1172563484277973
01131,0,0.015023056809023275,5,0.7377261890866513,1,0.31704307770695034,0,0.020794788155319217,7,0.9116922854456571,0,0.018340609132932232,0,0.016777603503146644,0,0.01956460723409602,1,0.2904693302389449,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,11,1.2119290445383073
01133,19,6.111112956828053,18,3.018253689877933,17,2.502655068980339,18,2.8236353169956345,15,1.9139364907726268,0,0.018340609132932232,8,0.9897995123462122,0,0.01956460723409602,6,0.838280139636165,10,1.190639457178915,12,1.325692765895781,9,1.0104957190554287,14,1.5398917903353784
02013,0,0.015023056809023275,0,0.01619895288624179,0,0.018570728685906528,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,3,0.5421168194320513,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,0,0.0290255266522079
02016,0,0.015023056809023275,0,0.01619895288624179,0,0.018570728685906528,0,0.020794788155319217,0,0.018196523666997512,0,0.018340609132932232,0,0.016777603503146644,3,0.5421168194320513,0,0.01627647603497162,0,0.019680137210545585,0,0.026383817705041356,0,0.028802156130073975,0,0.0290255266522079
