FIPS
06033
17201
18041
18161
18177
21013
21019
21025
21037
21043
21049
21051
21065
21071
21077
21081
21089
21095
21109
21115
21117
21119
21121
21127
21129
21131
21133
21135
21153
21159
21161
21173
21175
21189
21191
21193
21197
22063
22087
22117
24015
24510
29099
29221
29510
34007
35028
35039
39001
39015
39017
39025
39053
39079
39087
39101
39113
39131
39141
39145
39155
39163
42021
42051
42073
42101
47001
47021
47025
47129
47145
47173
51021
51027
51051
51105
51167
51185
51195
54003
54005
54009
54011
54015
54019
54025
54029
54035
54039
54043
54045
54047
54053
54055
54059
54067
54069
54081
54089
54099
54109
