FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
04017,16,15,16,18,17,11,17,10,9,14,15,16,16
04019,17,16,17,17,16,16,15,15,15,16,16,16,16
04021,14,11,12,12,9,11,10,10,11,12,12,11,9
04023,17,0,17,14,15,17,14,14,14,15,16,13,15
04025,17,18,19,19,18,17,17,15,15,18,16,12,11
04027,13,11,15,11,15,12,13,9,11,13,12,12,8
05001,8,6,0,0,7,7,7,6,7,7,7,5,0
05003,0,6,6,5,6,5,7,0,5,6,5,15,6
05005,0,0,6,7,18,17,6,16,8,5,6,5,6
05007,14,12,13,10,12,12,11,9,10,8,8,6,6
05009,0,7,8,10,9,0,8,10,16,10,7,11,5
05011,0,6,0,0,0,0,6,0,5,6,0,14,0
05013,0,0,0,0,0,0,5,0,0,0,0,8,0
05015,7,11,12,11,9,6,11,10,18,11,8,11,6
05017,0,0,6,0,0,5,5,0,0,0,4,8,4
05019,7,0,9,6,6,6,6,7,0,0,0,4,0
05021,0,18,19,10,19,19,5,11,17,0,11,14,10
05023,10,9,8,12,12,11,11,10,10,10,9,5,8
05025,0,5,0,0,6,7,7,0,7,8,0,7,4
05027,0,6,6,6,5,0,5,0,5,5,4,5,3
05029,15,10,7,0,8,10,11,12,8,8,10,7,8
05031,14,13,10,16,15,11,10,9,8,7,10,7,6
05033,17,19,15,16,13,15,11,11,13,8,10,10,10
05035,8,8,8,7,7,8,10,16,15,8,9,9,10
05037,0,9,7,6,6,6,8,9,10,6,6,6,6
05039,0,0,8,0,0,7,0,0,0,7,5,0,0
05041,0,0,0,0,0,0,0,0,0,6,6,0,4
05043,0,0,0,0,0,6,5,5,6,6,5,8,4
05045,14,12,12,11,12,8,9,9,11,10,8,6,6
05047,0,17,17,13,12,10,12,8,12,8,11,9,11
05049,6,0,11,0,0,14,5,11,0,0,8,5,9
05051,19,17,18,17,18,17,15,17,16,13,16,11,14
05053,8,8,10,8,9,10,9,11,10,13,9,8,7
05055,9,16,19,10,19,16,7,10,13,0,8,10,4
05057,0,7,9,0,5,0,0,0,0,4,0,7,3
05059,12,10,15,9,10,11,8,17,9,10,10,8,5
05061,0,10,15,0,6,0,0,0,5,0,0,6,4
05063,7,7,7,10,12,11,7,8,7,7,8,5,6
05065,0,0,7,7,12,14,0,10,0,0,7,5,6
05067,8,10,8,9,8,9,8,0,9,7,8,6,6
05069,10,7,7,8,11,11,11,13,13,10,11,7,9
05071,7,16,15,13,8,6,9,6,12,7,8,8,6
05073,0,6,0,7,0,0,0,0,0,0,0,6,0
05075,8,11,15,10,15,12,0,8,8,6,7,6,0
05077,0,0,0,0,0,0,0,7,9,5,0,8,7
05079,0,0,0,0,7,8,7,7,8,9,6,0,5
05081,6,11,17,0,6,5,8,6,5,4,0,8,5
05083,10,15,17,11,10,9,12,7,11,6,10,8,6
05085,18,10,8,15,15,11,15,10,13,13,9,11,7
05087,0,16,14,12,10,0,9,0,12,8,8,8,7
05089,0,0,6,8,12,0,8,13,14,7,7,9,6
05091,8,8,8,7,6,7,7,7,0,6,5,13,5
05093,17,10,14,10,13,10,15,12,11,11,12,11,12
05095,0,6,0,6,0,0,0,0,0,5,0,5,4
05097,11,10,15,0,0,0,0,8,8,6,7,7,0
05099,0,0,7,0,5,0,5,0,0,5,0,0,0
05101,0,12,10,11,0,0,0,5,15,9,6,9,0
05103,0,0,6,0,5,0,5,0,0,5,0,5,0
05105,17,0,0,11,0,12,12,14,0,11,12,10,10
05107,0,0,0,0,5,0,5,0,6,0,4,6,5
05109,0,0,10,5,5,0,5,0,0,5,0,4,0
05111,11,11,9,0,7,9,13,9,12,10,10,9,9
05113,8,14,17,9,7,6,9,6,8,0,5,7,4
05115,15,15,10,9,8,7,11,6,11,7,7,7,4
05117,10,8,0,11,0,9,0,0,0,0,7,7,5
05119,14,11,12,13,12,10,10,12,13,13,13,13,13
05121,6,14,19,0,18,19,5,8,10,0,5,9,7
05123,0,7,0,6,0,0,6,9,9,5,0,5,5
05125,15,13,14,10,11,10,11,15,11,16,11,12,7
05127,13,16,17,11,10,9,11,0,10,5,10,9,0
05129,0,8,0,8,11,7,8,0,13,8,0,6,0
05131,12,14,17,10,11,12,13,9,10,7,11,9,11
05133,0,14,19,6,0,0,0,6,0,0,0,6,4
05135,6,7,13,6,12,15,5,8,0,0,6,5,6
