FIPS
06033
21019
21025
21037
21043
21049
21065
21081
21115
21117
21127
21131
21135
21159
21175
21189
21191
21193
21197
22117
24015
24510
29510
35028
35039
39001
39015
39053
39101
39131
39145
42101
47021
47025
47145
47173
51027
51167
51195
54003
54005
54009
54011
54019
54029
54039
54043
54045
54047
54053
54055
54059
54067
54081
54089
54099
54109
