FIPS,2010 RR_Score,2011 RR_Score,2012 RR_Score,2013 RR_Score,2014 RR_Score,2015 RR_Score,2016 RR_Score,2017 RR_Score,2018 RR_Score,2019 RR_Score,2020 RR_Score,2021 RR_Score,2022 RR_Score
21157,1.2715666529662801,1.1956188506479832,1.469476755411457,3.64581583806596,3.831619313136007,0.01179788433195665,2.124288324846271,0.318110425076873,0.4508778556965671,0.9199206072564456,0.9209565546085817,1.1675956826443894,0.9809738313082016
21159,4.538695151011813,4.360951948280265,3.9699283872999134,3.64581583806596,3.831619313136007,3.6500709890499894,3.66359018627163,3.6935513752557374,3.5072743591637647,3.474771684036424,3.503273945570335,3.4048543768353774,3.2829710402907253
21161,4.538695151011813,2.465313818019245,1.3355447011632768,0.9466528305096994,2.1244347998596904,3.6500709890499894,3.66359018627163,3.6935513752557374,2.507012368376429,2.489277158853145,2.3921116189455423,3.4048543768353774,3.2829710402907253
21163,1.609244449470158,0.7566793080236401,1.8383163434294643,0.795219032527777,1.0611403121488203,0.637759568642807,2.513563543454688,1.594240520288866,0.782219848459574,1.1884302181918405,1.5753101591668348,2.2697373507528957,1.2685116651969166
21165,4.538695151011813,4.360951948280265,0.00024397441554845783,2.4869631037306568,0.008321964372255233,0.01179788433195665,1.8589567105427742,2.524946648060776,3.5072743591637647,0.00037086537876489413,3.503273945570335,3.4048543768353774,3.2829710402907253
21167,1.609244449470158,1.7903865015531866,2.537718366237553,1.351982602209633,2.1244347998596904,2.0745040414183733,3.66359018627163,3.6935513752557374,2.1346993519715753,2.489277158853145,2.3921116189455423,1.8993952709695683,3.2829710402907253
21169,0.017708882769702304,0.00042098400109487973,0.00024397441554845783,0.003921055237306613,2.1244347998596904,1.347914163271863,1.328518619778895,1.8107940702162166,0.2795079291905293,0.00037086537876489413,0.8118661368799205,0.0075419977161834545,1.8831753152876929
21171,0.5233274937864789,0.9168831846307499,1.469476755411457,1.2259536521069612,1.1886191160444903,1.2158452446845076,1.8589567105427742,1.594240520288866,1.0604947813998067,1.1884302181918405,1.4255086425455255,0.8417865881049942,1.8831753152876929
21173,4.538695151011813,4.360951948280265,2.537718366237553,2.1199831757113032,3.831619313136007,1.6449622561232058,2.513563543454688,3.6935513752557374,3.5072743591637647,2.1177196871644868,2.3921116189455423,3.4048543768353774,3.2829710402907253
21175,4.538695151011813,4.360951948280265,3.9699283872999134,3.64581583806596,3.831619313136007,0.01179788433195665,2.124288324846271,3.6935513752557374,3.5072743591637647,2.1177196871644868,3.503273945570335,3.4048543768353774,3.2829710402907253
21177,0.8425350529287481,1.4389933009806977,1.3355447011632768,1.8600246270729601,0.6055291033816744,2.468376256967364,1.8589567105427742,0.92569674194949,1.2052309432067851,1.0503116138397357,1.02689295126324,1.3797704354608906,1.2685116651969166
21179,1.2715666529662801,1.3048204608669467,1.6399007700110295,1.2259536521069612,2.1244347998596904,1.4859872232231262,1.8589567105427742,2.524946648060776,1.2052309432067851,1.85642007992773,1.9832282510130326,1.8993952709695683,1.6672371312125567
21181,4.538695151011813,2.465313818019245,1.6399007700110295,1.2259536521069612,2.1244347998596904,1.4859872232231262,3.66359018627163,0.019789656636196994,1.8801967181050672,2.489277158853145,3.503273945570335,3.4048543768353774,3.2829710402907253
21183,0.9821754162283034,1.7903865015531866,1.3355447011632768,0.9466528305096994,0.42831241031270856,2.0745040414183733,2.124288324846271,1.0406435251814818,0.6195728949864063,0.6598789082039828,0.7093984922988293,1.2767258008673785,0.7815404004983459
21185,1.8255150145397265,1.4389933009806977,2.537718366237553,2.1199831757113032,2.1244347998596904,1.8354835820989743,1.328518619778895,2.103686718595432,1.0604947813998067,1.4863376410323947,3.503273945570335,0.6421934699969779,0.5538971362463034
21187,2.116646458436739,1.0533906971143034,3.9699283872999134,2.4869631037306568,3.831619313136007,2.468376256967364,3.66359018627163,2.524946648060776,2.1346993519715753,2.489277158853145,3.503273945570335,3.4048543768353774,1.8831753152876929
21189,4.538695151011813,4.360951948280265,3.9699283872999134,2.1199831757113032,3.831619313136007,3.6500709890499894,1.8589567105427742,2.524946648060776,2.507012368376429,2.489277158853145,3.503273945570335,3.4048543768353774,3.2829710402907253
21191,4.538695151011813,2.465313818019245,3.9699283872999134,2.4869631037306568,3.831619313136007,3.6500709890499894,3.66359018627163,3.6935513752557374,3.5072743591637647,3.474771684036424,2.3921116189455423,3.4048543768353774,1.8831753152876929
21193,4.538695151011813,4.360951948280265,3.9699283872999134,3.64581583806596,3.831619313136007,3.6500709890499894,2.513563543454688,2.103686718595432,2.507012368376429,2.489277158853145,3.503273945570335,3.4048543768353774,3.2829710402907253
21195,4.538695151011813,4.360951948280265,3.9699283872999134,3.64581583806596,3.831619313136007,3.6500709890499894,1.8589567105427742,1.3140432362369154,1.8801967181050672,2.489277158853145,1.9832282510130326,2.2697373507528957,3.2829710402907253
21197,4.538695151011813,4.360951948280265,3.9699283872999134,2.4869631037306568,3.831619313136007,1.8354835820989743,1.6388084563190324,3.6935513752557374,3.5072743591637647,2.489277158853145,3.503273945570335,3.4048543768353774,3.2829710402907253
21199,0.6921663875349396,2.465313818019245,3.9699283872999134,1.6528768167591175,3.831619313136007,1.347914163271863,1.328518619778895,1.4613714005508418,1.2052309432067851,1.4863376410323947,1.9832282510130326,1.8993952709695683,1.6672371312125567
21201,4.538695151011813,1.1956188506479832,0.00024397441554845783,0.003921055237306613,0.008321964372255233,0.01179788433195665,3.66359018627163,3.6935513752557374,0.013730882000259329,3.474771684036424,2.3921116189455423,3.4048543768353774,0.005898413912586794
21203,2.5688479554445567,2.055616611664643,3.9699283872999134,1.0884725207500054,2.5088774075625304,1.8354835820989743,2.124288324846271,2.103686718595432,2.1346993519715753,2.489277158853145,3.503273945570335,3.4048543768353774,2.205723857383008
21205,4.538695151011813,4.360951948280265,1.469476755411457,1.2259536521069612,2.5088774075625304,1.6449622561232058,1.4750416431127784,3.6935513752557374,3.5072743591637647,2.489277158853145,2.3921116189455423,3.4048543768353774,2.205723857383008
21207,0.33814862118495864,1.4389933009806977,3.9699283872999134,1.351982602209633,3.831619313136007,1.347914163271863,1.328518619778895,1.8107940702162166,1.2052309432067851,0.7897269572985737,1.9832282510130326,1.8993952709695683,1.8831753152876929
