FIPS,year,mortality_rate,national_avg_rate,relative_risk
1001,2010,11.02,9.75482506361323,1.1296973475317396
1003,2010,14.26,9.75482506361323,1.4618406693105814
1005,2010,0.78,9.75482506361323,0.07996042931712859
1007,2010,15.38,9.75482506361323,1.5766556447403046
1009,2010,17.45,9.75482506361323,1.7888583225434533
1011,2010,0.0,9.75482506361323,0.0
1013,2010,0.0,9.75482506361323,0.0
1015,2010,17.71,9.75482506361323,1.8155117989824965
1017,2010,4.93,9.75482506361323,0.5053909186326203
1019,2010,19.14,9.75482506361323,1.9621059193972321
1021,2010,25.2,9.75482506361323,2.5833369471687693
1023,2010,4.75,9.75482506361323,0.48693851186712916
1025,2010,6.9,9.75482506361323,0.7073422593438298
1027,2010,0.0,9.75482506361323,0.0
1029,2010,20.21,9.75482506361323,2.0717952262809853
1031,2010,3.31,9.75482506361323,0.3393192577431995
1033,2010,11.87,9.75482506361323,1.2168337128132258
1035,2010,0.0,9.75482506361323,0.0
1037,2010,10.99,9.75482506361323,1.1266219464041578
1039,2010,7.32,9.75482506361323,0.7503978751299759
1041,2010,0.0,9.75482506361323,0.0
1043,2010,27.75,9.75482506361323,2.8447460430132283
1045,2010,4.7,9.75482506361323,0.4818128433211594
1047,2010,9.05,9.75482506361323,0.9277460068205303
1049,2010,15.13,9.75482506361323,1.5510273020104557
1051,2010,11.02,9.75482506361323,1.1296973475317396
1053,2010,26.1,9.75482506361323,2.6755989809962255
1055,2010,11.49,9.75482506361323,1.1778786318638557
1057,2010,21.53,9.75482506361323,2.2071128758945875
1059,2010,23.85,9.75482506361323,2.4449438964275854
1061,2010,8.68,9.75482506361323,0.8898160595803539
1063,2010,0.0,9.75482506361323,0.0
1065,2010,9.75,9.75482506361323,0.9995053664641073
1067,2010,0.0,9.75482506361323,0.0
1069,2010,12.8,9.75482506361323,1.3121711477682638
1071,2010,12.64,9.75482506361323,1.2957690084211606
1073,2010,9.11,9.75482506361323,0.933896809075694
1075,2010,0.0,9.75482506361323,0.0
1077,2010,11.87,9.75482506361323,1.2168337128132258
1079,2010,20.45,9.75482506361323,2.0963984353016403
1081,2010,5.69,9.75482506361323,0.5833010805313611
1083,2010,16.91,9.75482506361323,1.7335011022469797
1085,2010,0.0,9.75482506361323,0.0
1087,2010,0.0,9.75482506361323,0.0
1089,2010,10.45,9.75482506361323,1.071264726107684
1091,2010,3.76,9.75482506361323,0.3854502746569275
1093,2010,27.07,9.75482506361323,2.7750369507880395
1095,2010,15.71,9.75482506361323,1.610485057143705
1097,2010,10.9,9.75482506361323,1.1173957430214123
1099,2010,8.07,9.75482506361323,0.8272829033195226
1101,2010,7.85,9.75482506361323,0.8047299617172555
1103,2010,15.06,9.75482506361323,1.543851366046098
1105,2010,12.63,9.75482506361323,1.2947438747119666
1107,2010,5.9,9.75482506361323,0.6048288884244342
1109,2010,2.62,9.75482506361323,0.2685850318088165
1111,2010,10.82,9.75482506361323,1.1091946733478606
1113,2010,2.84,9.75482506361323,0.29113797341108355
1115,2010,17.94,9.75482506361323,1.8390898742939574
1117,2010,13.33,9.75482506361323,1.3665032343555434
1119,2010,0.0,9.75482506361323,0.0
1121,2010,12.24,9.75482506361323,1.2547636600534022
1123,2010,4.18,9.75482506361323,0.42850589044307363
1125,2010,13.87,9.75482506361323,1.421860454652017
1127,2010,50.73,9.75482506361323,5.200503306740939
1129,2010,8.39,9.75482506361323,0.8600871820137292
1131,2010,0.0,9.75482506361323,0.0
1133,2010,39.24,9.75482506361323,4.022624674877084
2013,2010,0.0,9.75482506361323,0.0
2016,2010,0.0,9.75482506361323,0.0
2020,2010,13.02,9.75482506361323,1.3347240893705308
2050,2010,0.0,9.75482506361323,0.0
2060,2010,0.0,9.75482506361323,0.0
2063,2010,8.09,9.75482506361323,0.8293331707379105
2066,2010,6.44,9.75482506361323,0.6601861087209078
2068,2010,0.0,9.75482506361323,0.0
2070,2010,0.0,9.75482506361323,0.0
2090,2010,10.25,9.75482506361323,1.050762051923805
2100,2010,0.0,9.75482506361323,0.0
2105,2010,0.0,9.75482506361323,0.0
2110,2010,0.0,9.75482506361323,0.0
2122,2010,5.39,9.75482506361323,0.5525470692555423
2130,2010,0.0,9.75482506361323,0.0
2150,2010,0.0,9.75482506361323,0.0
2158,2010,0.0,9.75482506361323,0.0
2164,2010,0.0,9.75482506361323,0.0
2170,2010,11.24,9.75482506361323,1.1522502891340067
2180,2010,0.0,9.75482506361323,0.0
2185,2010,0.0,9.75482506361323,0.0
2188,2010,0.0,9.75482506361323,0.0
2195,2010,0.0,9.75482506361323,0.0
2198,2010,0.0,9.75482506361323,0.0
2220,2010,0.0,9.75482506361323,0.0
2230,2010,0.0,9.75482506361323,0.0
2240,2010,6.12,9.75482506361323,0.6273818300267011
2275,2010,0.0,9.75482506361323,0.0
2282,2010,0.0,9.75482506361323,0.0
2290,2010,2.69,9.75482506361323,0.2757609677731742
4001,2010,11.21,9.75482506361323,1.149174888006425
4003,2010,18.27,9.75482506361323,1.8729192866973579
4005,2010,13.39,9.75482506361323,1.3726540366107074
4007,2010,18.66,9.75482506361323,1.9128995013559222
4009,2010,17.82,9.75482506361323,1.8267882697836297
4011,2010,9.02,9.75482506361323,0.9246706056929483
4012,2010,15.35,9.75482506361323,1.5735802436127226
4013,2010,15.95,9.75482506361323,1.63508826616436
4015,2010,33.97,9.75482506361323,3.4823792101318687
4017,2010,17.68,9.75482506361323,1.8124363978549143
4019,2010,20.91,9.75482506361323,2.143554585924562
4021,2010,13.57,9.75482506361323,1.3911064433761984
