FIPS,MortalityRate,Aged 17 or Younger,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment,Year,Anomaly,AnomalyScore,HighMortality
21193,68.53,28.7,27.05,95.7,80.61,55.85,9.0,12.85,95.7,43.44,96.11,98.02,67.4,83.42,2010,0,-0.10012324073225909,True
21197,126.85,68.45,24.25,94.2,81.09,39.59,0.0,5.44,86.56,19.31,93.5,87.58,78.54,66.74,2010,0,-0.08278588197503295,True
22063,28.12,90.83,5.69,27.46,77.62,16.58,40.64,39.46,93.44,48.34,55.6,16.61,83.06,22.79,2010,1,0.02848752904751739,True
22087,30.64,79.82,3.62,51.94,88.92,12.5,80.42,73.2,60.02,23.26,72.11,28.03,97.83,85.17,2010,1,0.0788996029192035,True
22117,27.62,75.58,38.79,94.01,84.75,71.7,16.74,76.6,79.43,29.18,77.72,89.36,92.93,95.39,2010,0,-0.01538637115153707,True
24015,27.69,74.72,14.57,13.04,33.03,41.02,58.94,46.43,31.06,57.95,37.74,31.22,72.75,45.1,2010,0,-0.03242579193919293,True
24510,23.35,26.22,14.44,84.05,57.25,77.11,73.9,97.45,0.44,95.98,78.13,99.39,97.42,89.97,2010,1,0.011440417785340884,True
29099,26.06,75.46,11.42,15.65,38.0,15.75,39.87,18.23,56.87,58.49,44.93,23.04,63.94,53.5,2010,0,-0.049807695245130124,True
29221,23.38,61.07,27.21,82.04,71.67,78.38,23.2,20.05,97.58,8.46,94.17,50.41,72.21,95.83,2010,0,-0.046321358089707054,True
29510,23.8,22.24,10.82,93.95,71.41,75.23,79.05,92.93,0.89,96.91,67.12,99.17,92.17,93.73,2010,1,0.007746649469380973,True
34007,19.08,65.08,22.11,26.25,54.58,37.46,88.54,81.82,2.19,95.16,45.86,93.69,84.34,74.89,2010,1,0.006357705058331553,False
35028,28.18,63.04,43.69,0.12,26.35,6.23,19.25,64.41,14.92,91.18,0.0,5.34,12.47,4.11,2010,1,0.11138286498117322,True
35039,47.21,68.61,33.73,78.29,86.18,21.26,88.38,99.33,98.37,14.22,74.5,48.5,93.09,85.3,2010,1,0.05315463524045427,True
39001,32.8,73.48,42.07,88.57,47.04,26.47,39.97,6.55,88.86,27.75,85.96,61.77,71.48,89.4,2010,0,-0.08135196242822601,True
39015,37.91,68.3,37.96,35.74,30.55,30.61,6.01,5.98,69.6,38.98,69.06,40.73,66.48,79.25,2010,0,-0.056042167925068775,True
39017,19.83,75.77,13.71,38.19,38.41,68.04,62.28,53.02,10.31,87.74,37.36,54.8,69.47,61.39,2010,0,-0.041092112140912906,False
39025,26.35,80.49,14.76,14.35,27.59,14.22,45.13,21.26,29.31,91.59,34.85,29.43,54.58,45.48,2010,0,-0.008168942044872174,True
39053,21.28,56.81,54.67,84.15,34.11,68.04,12.09,24.76,84.08,38.03,66.45,86.09,62.88,72.72,2010,0,-0.1130180954099137,False
39079,26.1,67.25,34.37,89.24,57.28,18.01,38.63,10.12,76.03,50.06,71.64,86.6,74.28,91.44,2010,0,-0.0732106675737777,True
39087,17.61,51.78,49.77,77.33,43.02,21.67,5.53,18.93,69.0,38.0,61.68,65.49,71.54,48.09,2010,0,-0.10046608304187138,False
39101,13.84,32.94,35.96,67.31,44.2,90.67,18.2,40.13,19.6,69.73,57.86,70.3,79.53,59.55,2010,0,-0.07788829037444639,False
39113,24.85,45.7,45.7,56.3,21.26,64.06,50.03,68.74,3.91,88.92,31.54,85.64,82.78,79.85,2010,0,-0.022601107912073704,True
39131,29.73,71.22,40.61,90.0,59.89,46.59,7.28,13.01,87.87,42.9,78.0,75.14,80.36,99.05,2010,0,-0.09412368082543454,True
39141,25.62,38.63,28.13,67.02,24.69,90.61,33.29,39.43,57.12,61.8,60.21,49.17,76.98,88.96,2010,0,-0.05354040808276467,True
39145,31.45,42.01,49.23,82.36,28.64,79.66,37.49,27.02,62.34,76.57,65.02,82.65,76.44,92.43,2010,0,-0.09013485981042108,True
