FIPS,2018 Social Capital
12073,-1.021922
12075,-0.6533752
12077,-0.7623608
12079,-1.546615
12081,-1.166813
12083,-1.111265
12085,-0.0985505
12086,-1.562279
12087,-0.474173
12089,0.1442285
12091,-0.4836216
12093,-1.28449
12095,-1.552226
12097,-1.167324
12099,-0.893173
12101,-0.523882
12103,-1.190964
12105,-0.9751481
12107,-1.759519
12109,0.4048996
12111,-1.028061
12113,0.1468828
12115,-0.3134467
12117,-0.5218052
12119,-0.5821287
12121,-1.57571
12123,-2.016236
12125,-1.163501
12127,-1.076064
12129,-0.4626386
12131,-0.3348728
12133,-0.2426337
13001,-0.1821238
13003,-1.128221
13005,-0.7140822
13007,-0.2130936
13009,-2.230532
13011,-0.3603273
13013,-0.7674598
13015,-0.7207697
13017,-1.447393
13019,-0.7182048
13021,-1.493373
13023,-1.162085
13025,-0.8250282
13027,-1.133491
13029,0.2316013
13031,-0.7176409
13033,-1.706545
13035,-0.4705449
13037,-4.315278
13039,-0.8443778
13043,-0.8786058
13045,-0.6550882
13047,-0.1887441
13049,-1.3656
13051,-1.17556
13053,-0.3795958
13055,-0.4981238
13057,0.6515548
13059,-1.077275
13061,-1.244105
13063,-1.924467
13065,-1.611709
13067,-0.0924382
13069,-1.158029
13071,-1.199958
13073,0.5112522
13075,-0.2929408
13077,0.0709
13079,-0.8225574
13081,-1.492755
13083,-0.4846689
13085,0.4010373
13087,-1.676747
13089,-1.328596
13091,-1.432216
13093,-1.751573
13095,-2.553099
13097,-0.5689907
13099,-1.793231
13101,-1.184635
13103,0.1438925
13105,-0.2800577
13107,-1.896876
13109,-0.8800115
13111,-0.4431673
13113,1.196443
13115,-0.7331247
13117,0.9645672
13119,0.0439686
13121,-1.550025
13123,-0.1989279
13125,0.5836589
13127,-1.302916
13129,-0.5697954
13131,-0.8634875
13133,-0.6536659
13135,-0.1049832
13137,0.0393863
13139,-0.0548602
13141,
13143,-1.054774
13145,0.5975357
13147,-1.062234
13149,-0.0152745
13151,-0.0541833
13153,-0.6880544
13155,-1.141882
13157,0.2215363
13159,-0.3945169
13161,-1.286163
13163,-1.24656
13165,-1.366545
13167,-1.071242
13169,-0.1094653
13171,-0.6492186
13173,-1.674517
13175,-0.8330569
13177,0.1835091
13179,-1.224406
13181,
13183,-1.279291
13185,-0.9110405
13187,-0.0922078
13189,-0.7014279
13191,-0.7445946
13193,-2.214814
13195,-0.0121325
13197,-0.9487398
13199,-0.8897486
13201,
13205,-0.8392189
13207,-0.1152214
13209,-0.4174935
13211,0.5549199
13213,-0.4410235
13215,-1.526053
13217,-1.074717
13219,1.172922
13221,-0.6031328
13223,-0.0094059
13225,-1.358537
13227,0.1779417
13229,-0.6192997
13231,0.6861864
13233,-1.126443
13235,-2.872507
13237,-1.051287
13239,-1.218785
13241,0.3219293
13243,-2.164072
13245,-1.664514
13247,-0.7363161
13249,-0.8001177
13251,-1.04197
13253,-1.003941
13255,-1.298223
13257,-0.4398504
13259,
13261,-2.389813
13263,-0.4817532
13265,-0.3751048
13267,-0.9618132
13269,-0.6034937
13271,-1.894435
13273,-0.9896643
13275,-0.6176919
13277,-1.4733
13279,-1.023675
13281,0.4885122
13283,-0.4329034
13285,-0.8825257
13287,-2.261661
13289,-1.404233
13291,0.201448
13293,-0.5877056
13295,-1.016294
13297,-0.3441719
13299,-1.276144
13301,-1.270753
13303,-1.001807
13305,-1.136351
13307,-0.5518211
13309,-1.475762
13311,-0.0906028
13313,-0.4061499
13315,-1.213004
13317,-0.8190998
13319,-0.4813806
13321,-0.610965
15001,-0.5478184
15003,-0.0045152
15005,
15007,-0.1389048
15009,-0.5660039
16001,0.4446461
16003,0.7531489
16005,0.3060516
16007,0.8352719
16009,0.2052416
16011,0.640755
16013,0.5655286
16015,0.4046316
16017,0.2223541
16019,0.6261112
16021,0.8835664
16023,1.033772
16025,0.4791228
16027,-0.0436764
16029,1.389684
16031,0.5597255
16033,
16035,0.2877282
16037,1.300916
16039,0.0427125
16041,
16043,1.053267
16045,0.1479628
16047,0.5981944
16049,1.030322
16051,1.266121
16053,0.3782109
16055,-0.0187663
16057,1.073499
16059,0.8558638
16061,1.050861
16063,0.3682562
16065,1.409578
16067,0.4650049
16069,-0.0319099
16071,1.307466
16073,-0.1504675
16075,0.3755086
16077,0.6161802
16079,0.0899772
16081,0.9485582
16083,0.1700663
16085,0.0709146
16087,0.4276292
17001,-0.290656
17003,-4.139466
17005,-0.0084169
17007,-0.0533816
17009,-0.0237705
17011,0.2741405
17013,0.4694081
17015,0.6529453
17017,-0.1701437
17019,-1.018102
17021,-0.2689602
17023,0.0179818
17025,0.2730689
17027,0.2701683
17029,-0.4359851
17031,-1.238661
17033,0.05388
17035,-0.0093938
17037,-0.2309915
17039,0.1172608
17041,0.2195153
17043,0.6751183
17045,-0.136259
17047,0.324751
17049,0.451809
17051,-0.3498774
17053,0.0356775
17055,-0.4216432
17057,-0.2382057
17059,-0.1906476
17061,-0.2306815
17063,0.5477057
17065,1.109008
17067,0.7349566
17069,-0.2117148
17071,-1.534449
17073,0.6424716
17075,0.2903434
17077,-1.144258
17079,0.3790354
17081,-1.030413
17083,-0.1205195
17085,0.4457528
17087,-0.0895976
17089,0.0463003
17091,-0.7419116
17093,0.3009418
17095,-0.6927282
17097,0.2828741
17099,0.0096322
17101,-0.0053865
17103,0.168403
17105,-0.3720021
17107,-0.5816332
17109,-0.3450631
17111,0.5485996
17113,-0.0911622
17115,-0.8814786
17117,0.0849871
17119,-0.2303405
17121,-0.2533529
17123,0.8138796
17125,-0.3290945
17127,-0.2927186
17129,0.6818436
17131,0.6280959
17133,1.090008
17135,-0.2678183
17137,-0.1429574
17139,0.4400863
17141,0.4246337
17143,-1.078802
17145,-0.1331038
17147,0.7911761
17149,0.832578
17151,-0.908234
17153,-0.7692555
17155,0.252962
17157,0.0838981
17159,0.0381413
17161,-0.3336963
17163,-1.651211
17165,-0.543679
17167,-1.45399
17169,0.5129095
17171,0.479863
17173,0.3934692
17175,0.7612171
17177,-0.4067473
17179,0.0666865
17181,0.1105927
17183,-1.705213
17185,0.3819538
17187,-0.0866788
17189,-0.1032025
17191,0.4624953
17193,0.1150829
17195,-0.0457671
17197,0.1199059
17199,-0.2193694
17201,-1.791832
17203,0.7816127
18001,0.7951211
18003,-0.1028359
18005,0.3795799
18007,0.6013407
18009,0.3523237
18011,1.240089
18013,0.5351802
18015,0.6106277
18017,0.2843121
18019,-0.6059926
18021,-0.0891842
18023,0.3573945
18025,0.3939245
18027,0.5037159
18029,0.8502063
18031,0.1542809
18033,0.4294055
18035,-0.2803146
18037,0.7048384
18039,-0.343865
18041,-0.4024867
18043,0.3002778
18045,0.3258977
18047,0.9494349
18049,0.6737627
18051,0.6813893
18053,-0.5420789
18055,0.488689
18057,1.400527
18059,0.8974178
18061,0.6620244
18063,0.5752716
18065,0.1469454
18067,-0.111109
18069,0.770234
18071,0.2309426
18073,0.1265603
18075,0.5879653
18077,-0.4256533
18079,-0.1226904
18081,0.1673864
18083,0.444144
18085,0.140658
18087,0.7951189
18089,-0.8220798
18091,-0.189864
18093,-0.0582592
18095,-0.1622795
18097,-2.328832
18099,0.4253314
18101,0.0603283
18103,0.1620767
18105,-0.0722955
18107,-0.0074896
18109,0.1687284
18111,0.5335973
18113,0.3121633
18115,0.8515755
18117,0.5267192
18119,0.4449933
18121,0.3130671
18123,0.2795703
18125,1.009075
18127,0.5035149
18129,0.5567136
18131,0.7623161
18133,0.4384613
18135,0.4271477
18137,0.8989742
18139,0.6985102
18141,-0.3859354
18143,0.2267163
18145,-0.325168
18147,1.493324
18149,0.271321
18151,0.5180455
18153,0.3198545
18155,0.1497872
18157,-0.2887386
18159,0.7579752
18161,0.5950323
18163,-0.5649895
18165,0.2245182
18167,-0.3006611
18169,0.530847
18171,0.07041
18173,0.5234618
18175,0.0335086
18177,-0.4054823
18179,0.9345228
18181,0.8857157
18183,0.6978018
19001,1.316723
19003,1.891196
19005,1.518294
19007,0.9441817
19009,
19011,1.441983
19013,-0.0865065
19015,0.7163596
19017,1.409074
19019,1.703216
19021,0.5744521
19023,1.784853
19025,1.181827
19027,1.514508
19029,1.038969
19031,1.468391
19033,0.9881385
19035,1.484152
19037,1.244636
19039,1.13868
19041,1.250749
19043,1.245091
19045,0.1973595
19047,1.018642
19049,1.273143
19051,1.224058
19053,0.8696288
19055,0.9093739
19057,-0.288442
19059,0.9346708
19061,0.9268778
19063,0.5078816
19065,0.7282228
19067,1.148446
19069,0.627001
19071,1.157789
19073,1.412203
19075,1.759475
19077,1.535961
19079,0.7737827
19081,1.691381
19083,1.507868
19085,1.111039
19087,0.5521674
19089,1.303455
19091,0.9685926
19093,1.529034
19095,1.399199
19097,0.9760311
19099,0.8813092
19101,0.82794
19103,0.8593377
19105,1.387607
19107,1.48531
19109,1.78016
19111,-0.1329091
19113,0.8663908
19115,0.8540531
19117,1.078334
19119,1.993409
19121,1.815373
19123,0.4846244
19125,1.438322
19127,0.5255107
19129,0.7435308
19131,1.698949
19133,0.9403486
19135,0.9755463
19137,1.05776
19139,0.216559
19141,1.211176
19143,1.625687
19145,0.77875
19147,1.277267
19149,1.160274
19151,1.929015
19153,1.347224
19155,-0.794349
19157,0.9119605
19159,1.843029
19161,1.199088
19163,0.1481504
19165,2.075427
19167,1.701698
19169,1.184146
19171,0.323206
19173,1.448053
19175,1.051998
19177,1.394508
19179,0.5523248
19181,0.7457985
19183,0.8242213
19185,1.419026
19187,-0.2939478
19189,1.740725
19191,1.906364
19193,0.0184145
19195,1.363085
19197,1.000996
20001,0.8430278
20003,0.5336835
20005,0.4169686
20007,0.9591673
20009,0.2195522
20011,-0.1926145
20013,1.072732
20015,0.6726636
20017,0.8789769
20019,-0.123493
20021,0.5278084
20023,1.715305
20025,1.361949
20027,1.024792
20029,0.1864484
20031,1.173928
20033,
20035,0.1095618
20037,0.0416121
20039,1.999803
20041,0.9250474
20043,0.6724548
20045,0.2247325
20047,1.814648
20049,1.850589
20051,0.160934
20053,1.191038
20055,-0.4290967
20057,-0.096363
20059,0.7639396
20061,-0.3520109
20063,2.367996
20065,2.016111
20067,0.7164271
20069,1.209168
20071,
20073,0.5182406
20075,
20077,1.00515
20079,0.4734461
20081,
20083,1.93006
20085,0.5691608
20087,0.7245721
20089,1.851892
20091,1.220831
20093,
20095,1.228387
20097,1.545296
20099,0.0373955
20101,1.63022
20103,-0.0919057
20105,1.268612
20107,0.8066635
20109,1.303002
20111,0.1035471
20113,0.9976243
20115,0.9928604
20117,2.052977
20119,-0.44338
20121,1.089884
20123,
20125,-0.6588178
20127,1.272079
20129,0.6050378
20131,1.473385
20133,0.2435385
20135,1.283455
20137,0.9337187
20139,0.8351979
20141,1.011098
20143,1.762705
20145,0.1249202
20147,1.83162
20149,1.307449
20151,0.9309243
20153,1.702466
20155,-0.1712399
20157,1.514815
20159,0.9892032
20161,0.4355461
20163,1.314122
20165,1.145531
20167,0.3833138
20169,0.1246277
20171,0.919805
20173,-0.6268067
20175,-0.213073
20177,-0.427709
20179,2.102054
20181,0.201638
20183,2.699047
20185,1.538329
20187,1.685203
20189,1.209228
20191,0.6548935
20193,1.167859
20195,
20197,1.605339
20199,2.678777
20201,2.081872
20203,1.620391
20205,0.2964397
20207,0.7058262
20209,-1.052174
21001,0.4180527
21003,0.1819477
21005,0.3710125
21007,0.4218086
21009,-0.1017902
21011,0.1072134
21013,-1.059055
21015,0.193966
21017,-0.3482476
21019,-0.173695
21021,0.0665691
21023,0.5854986
21025,-1.215622
21027,0.1807329
21029,-0.2454883
21031,0.1455525
21033,0.2466487
21035,0.0362511
21037,-0.2616394
21039,1.080061
21041,-0.2090256
21043,0.127271
21045,0.5517917
21047,-0.6903593
21049,-0.2573155
21051,-0.512772
21053,-0.2273218
21055,0.5276452
21057,0.4642554
21059,-0.1070574
21061,0.1401938
21063,-0.7722038
21065,-0.3502574
21067,-0.5839414
21069,0.8224958
21071,-0.1850162
21073,-0.340153
21075,-0.2733075
21077,-0.3051277
21079,-0.0672699
21081,-0.2296767
21083,0.3173133
21085,0.3331617
21087,0.855346
21089,0.049908
21091,0.2404334
21093,-0.1806333
21095,0.1874803
21097,-0.3209422
21099,0.2150418
21101,-0.6520386
21103,0.1458173
21105,0.5734227
21107,0.0471158
21109,-0.025879
21111,-1.155031
21113,-0.2964059
21115,0.3108552
21117,-0.5059271
21119,-0.7834818
21121,-0.6330622
21123,0.0389507
21125,-0.2856209
21127,0.2600875
21129,-0.1006315
21131,0.6443182
21133,-0.157085
21135,0.1370214
21137,-0.1637195
21139,0.4544567
21141,-0.0885584
21143,-0.0083783
21145,-0.3493086
21147,-0.4890615
21149,0.5796024
21151,-0.0952955
21153,-0.1647248
21155,-0.2628442
21157,0.6216211
21159,-0.658591
21161,0.3116289
21163,0.181293
21165,-0.2654883
21167,0.2175563
21169,0.5851679
21171,0.6363988
21173,-0.5196422
21175,-1.061574
21177,0.0138137
21179,0.2449614
21181,-0.2139468
21183,0.1346586
21185,0.7193137
21187,-0.0606118
21189,-0.2421317
21191,0.5244289
21193,-0.1653417
21195,-0.1077268
21197,-0.2167917
21199,-0.3558415
21201,0.2493607
21203,-0.3775644
21205,-0.5313501
21207,-0.1478642
21209,0.0470525
21211,-0.0777416
21213,0.0073849
21215,0.7687523
21217,-0.7756166
21219,0.5178283
21221,-0.0133421
21223,-0.2450428
21225,0.1282518
21227,-0.2760664
21229,0.3302529
21231,-0.6443362
21233,0.154922
21235,-0.2025778
21237,
21239,0.5255847
22001,-1.272258
22003,-1.094788
22005,-0.6600395
22007,-1.527658
22009,-2.34466
22011,-0.3281563
22013,-1.166946
22015,-1.135004
22017,-2.047255
22019,-1.685231
22021,
22023,
22025,-1.180649
22027,-1.985275
22029,-2.021202
22031,-2.52833
22033,-1.791778
22035,-2.331865
22037,-1.338586
22039,-0.8921111
22041,-1.084099
22043,-0.6942075
22045,-1.240464
22047,-3.295637
22049,-0.913764
22051,-1.609634
22053,-0.9104888
22055,-1.730825
22057,-0.93876
22059,-0.7523857
22061,-1.454163
22063,-1.274285
22065,-3.188158
22067,-1.676674
22069,-1.976204
22071,-3.062686
22073,-2.342419
22075,-0.7408332
22077,-1.774655
22079,-2.284984
22081,-1.434129
22083,-1.137739
22085,-0.8511003
22087,-1.711642
22089,-1.296523
22091,-1.718839
22093,-1.513641
22095,-0.9152924
22097,-2.097161
22099,-0.9154549
22101,-1.98857
22103,-0.304531
22105,-2.428789
22107,-1.800116
22109,-1.307718
22111,-1.019353
22113,-1.409827
22115,-0.9128419
22117,-1.873693
22119,-1.432685
22121,-1.248725
22123,-1.018215
22125,-1.99714
22127,-1.385783
23001,0.3099947
23003,0.7468777
23005,0.9230632
23007,0.5132084
23009,0.9982353
23011,0.5377474
23013,1.0389
23015,0.512291
23017,0.5197362
23019,0.5698463
23021,-0.1815703
23023,1.299455
23025,0.0242243
23027,0.7871436
23029,0.3773659
23031,0.7048663
24001,-0.2203722
24003,-0.1564231
24005,-0.5313117
24009,0.461567
