FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55514,Suppressed
1003,34,190790,17.82
1005,0,27201,Unreliable
1007,Suppressed,22597,Suppressed
1009,17,57826,Unreliable
1011,Suppressed,10474,Suppressed
1013,Suppressed,20307,Suppressed
1015,Suppressed,117296,Suppressed
1017,Suppressed,34064,Suppressed
1019,Suppressed,26021,Suppressed
1021,Suppressed,43819,Suppressed
1023,Suppressed,13633,Suppressed
1025,Suppressed,25161,Suppressed
1027,Suppressed,13435,Suppressed
1029,Suppressed,14832,Suppressed
1031,Suppressed,51252,Suppressed
1033,Suppressed,54446,Suppressed
1035,0,12981,Unreliable
1037,Suppressed,10966,Suppressed
1039,Suppressed,37955,Suppressed
1041,0,14083,Unreliable
1043,12,80440,Unreliable
1045,Suppressed,50444,Suppressed
1047,Suppressed,42864,Suppressed
1049,16,71080,Unreliable
1051,Suppressed,80629,Suppressed
1053,Suppressed,37994,Suppressed
1055,Suppressed,104392,Suppressed
1057,Suppressed,16983,Suppressed
1059,Suppressed,31761,Suppressed
1061,Suppressed,26931,Suppressed
1063,Suppressed,8876,Suppressed
1065,0,15388,Unreliable
1067,Suppressed,17287,Suppressed
1069,10,103402,Unreliable
1071,13,53019,Unreliable
1073,72,660009,10.91
1075,Suppressed,14259,Suppressed
1077,Suppressed,92542,Suppressed
1079,Suppressed,33838,Suppressed
1081,10,147257,Unreliable
1083,Suppressed,87654,Suppressed
1085,0,10857,Unreliable
1087,Suppressed,20535,Suppressed
1089,28,343080,8.16
1091,Suppressed,20401,Suppressed
1093,Suppressed,30327,Suppressed
1095,14,94776,Unreliable
1097,59,413936,14.25
1099,Suppressed,22602,Suppressed
1101,17,230149,Unreliable
1103,20,120395,16.61
1105,0,10181,Unreliable
1107,0,19405,Unreliable
1109,Suppressed,33182,Suppressed
1111,Suppressed,22675,Suppressed
1113,Suppressed,57820,Suppressed
1115,10,85237,Unreliable
1117,38,200941,18.91
1119,0,13427,Unreliable
1121,10,81762,Unreliable
1123,Suppressed,41168,Suppressed
1125,31,198596,15.61
1127,23,66221,34.73
1129,0,17109,Unreliable
1131,Suppressed,11431,Suppressed
1133,Suppressed,24108,Suppressed
2013,Suppressed,3161,Suppressed
2016,Suppressed,5547,Suppressed
2020,62,298610,20.76
2050,Suppressed,17746,Suppressed
2060,0,991,Unreliable
2068,0,1875,Unreliable
2070,0,5034,Unreliable
2090,10,100272,Unreliable
2100,0,2552,Unreliable
2105,Missing,Missing,Missing
2110,Suppressed,32556,Suppressed
2122,12,56900,Unreliable
2130,Suppressed,13779,Suppressed
2150,Suppressed,14239,Suppressed
2164,0,1654,Unreliable
2170,24,93925,25.55
2180,Suppressed,9915,Suppressed
2185,Suppressed,9643,Suppressed
2188,0,7810,Unreliable
2195,Missing,Missing,Missing
2198,Missing,Missing,Missing
2201,Suppressed,5751,Suppressed
2220,Suppressed,9046,Suppressed
2230,Missing,Missing,Missing
2232,0,3088,Unreliable
2240,0,7144,Unreliable
2261,0,9717,Unreliable
2270,0,7809,Unreliable
2275,Missing,Missing,Missing
2280,0,6247,Unreliable
2282,0,668,Unreliable
2290,0,5770,Unreliable
4001,Suppressed,73195,Suppressed
4003,24,132088,18.17
4005,11,136011,Unreliable
4007,11,53144,Unreliable
4009,Suppressed,37416,Suppressed
4011,0,8802,Unreliable
4012,0,20281,Unreliable
4013,630,3942169,15.98
4015,66,203334,32.46
4017,20,107094,18.68
4019,214,992394,21.56
4021,45,387365,11.62
4023,Suppressed,47303,Suppressed
4025,66,212637,31.04
4027,33,200022,16.5
5001,Suppressed,18892,Suppressed
5003,Suppressed,21524,Suppressed
5005,Suppressed,41048,Suppressed
5007,30,232268,12.92
5009,Suppressed,37327,Suppressed
5011,0,11397,Unreliable
5013,Suppressed,5307,Suppressed
5015,Suppressed,27610,Suppressed
5017,Suppressed,11433,Suppressed
5019,Suppressed,22936,Suppressed
5021,Suppressed,15684,Suppressed
5023,Suppressed,25808,Suppressed
