FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55504,Suppressed
1003,27,212628,12.7
1005,Suppressed,25270,Suppressed
1007,Suppressed,22668,Suppressed
1009,18,58013,Unreliable
1011,0,10309,Unreliable
1013,Suppressed,19825,Suppressed
1015,31,114728,27.02
1017,Suppressed,33713,Suppressed
1019,Suppressed,25857,Suppressed
1021,Suppressed,44067,Suppressed
1023,0,12945,Unreliable
1025,Suppressed,24083,Suppressed
1027,Suppressed,13367,Suppressed
1029,Suppressed,14900,Suppressed
1031,Suppressed,51874,Suppressed
1033,Suppressed,54500,Suppressed
1035,Suppressed,12469,Suppressed
1037,Suppressed,10754,Suppressed
1039,Suppressed,37092,Suppressed
1041,Suppressed,13871,Suppressed
1043,19,82755,Unreliable
1045,Suppressed,49226,Suppressed
1047,Suppressed,39215,Suppressed
1049,26,71617,36.3
1051,Suppressed,81677,Suppressed
1053,13,37447,Unreliable
1055,35,102755,34.06
1057,Suppressed,16468,Suppressed
1059,0,31495,Unreliable
1061,Suppressed,26421,Suppressed
1063,0,8330,Unreliable
1065,Suppressed,14812,Suppressed
1067,Suppressed,17147,Suppressed
1069,15,104346,Unreliable
1071,Suppressed,51909,Suppressed
1073,208,659197,31.55
1075,Suppressed,13946,Suppressed
1077,11,92538,Unreliable
1079,Suppressed,33049,Suppressed
1081,15,161604,Unreliable
1083,Suppressed,94402,Suppressed
1085,Suppressed,10076,Suppressed
1087,Suppressed,18755,Suppressed
1089,77,361046,21.33
1091,Suppressed,19375,Suppressed
1093,Suppressed,29833,Suppressed
1095,12,95548,Unreliable
1097,49,413955,11.84
1099,Suppressed,21327,Suppressed
1101,14,226646,Unreliable
1103,20,118818,16.83
1105,0,9339,Unreliable
1107,Suppressed,20176,Suppressed
1109,Suppressed,33267,Suppressed
1111,Suppressed,22670,Suppressed
1113,Suppressed,57045,Suppressed
1115,28,88199,31.75
1117,32,213605,14.98
1119,0,12687,Unreliable
1121,13,80065,Unreliable
1123,Suppressed,40681,Suppressed
1125,35,207811,16.84
1127,11,64058,Unreliable
1129,Suppressed,16531,Suppressed
1131,0,10719,Unreliable
1133,0,23722,Unreliable
2013,Suppressed,3370,Suppressed
2016,Suppressed,5763,Suppressed
2020,71,294356,24.12
2050,Suppressed,18076,Suppressed
2060,0,867,Unreliable
2068,0,2074,Unreliable
2070,0,4932,Unreliable
2090,14,99703,Unreliable
2100,0,2526,Unreliable
2105,0,2145,Unreliable
2110,12,32094,Unreliable
2122,10,58617,Unreliable
2130,Suppressed,13856,Suppressed
2150,Suppressed,13448,Suppressed
2164,Suppressed,1620,Suppressed
2170,20,106532,18.77
2180,0,9921,Unreliable
2185,Suppressed,9782,Suppressed
2188,Suppressed,7684,Suppressed
2195,Suppressed,3281,Suppressed
2198,0,6443,Unreliable
2201,Missing,Missing,Missing
2220,0,8689,Unreliable
2230,0,1157,Unreliable
2232,Missing,Missing,Missing
2240,Suppressed,6888,Suppressed
2261,Suppressed,9278,Suppressed
2270,Suppressed,8202,Suppressed
2275,0,2521,Unreliable
2280,Missing,Missing,Missing
2282,0,605,Unreliable
2290,0,5365,Unreliable
4001,Suppressed,71606,Suppressed
4003,28,124756,22.44
4005,27,140776,19.18
4007,20,53501,37.38
4009,Suppressed,37466,Suppressed
4011,Suppressed,9455,Suppressed
4012,Suppressed,20601,Suppressed
4013,969,4307033,22.5
4015,52,207200,25.1
4017,16,108956,Unreliable
4019,247,1022769,24.15
4021,59,430237,13.71
4023,Suppressed,46212,Suppressed
4025,56,228168,24.54
4027,27,207534,13.01
5001,Suppressed,17967,Suppressed
5003,0,20283,Unreliable
5005,11,41355,Unreliable
5007,31,266300,11.64
5009,Suppressed,37381,Suppressed
5011,Suppressed,10864,Suppressed
5013,0,5247,Unreliable
5015,Suppressed,27944,Suppressed
5017,0,10636,Unreliable
5019,Suppressed,22293,Suppressed
5021,Suppressed,14920,Suppressed
5023,Suppressed,25048,Suppressed
5025,0,8202,Unreliable
5027,0,23627,Unreliable
5029,Suppressed,20916,Suppressed
5031,13,107115,Unreliable
5033,10,62996,Unreliable
5035,13,48750,Unreliable
5037,Suppressed,16863,Suppressed
5039,0,7393,Unreliable
5041,0,11764,Unreliable
5043,Suppressed,18547,Suppressed
5045,15,123654,Unreliable
5047,Suppressed,17890,Suppressed
5049,Suppressed,12055,Suppressed
5051,35,98658,35.48
5053,Suppressed,18165,Suppressed
5055,Suppressed,45053,Suppressed
5057,Suppressed,21861,Suppressed
5059,11,33574,Unreliable
5061,0,13478,Unreliable
5063,Suppressed,37504,Suppressed
5065,Suppressed,13686,Suppressed
5067,0,17135,Unreliable
5069,15,69115,Unreliable
5071,Suppressed,26552,Suppressed
5073,0,6862,Unreliable
5075,Suppressed,16525,Suppressed
5077,Suppressed,9176,Suppressed
5079,Suppressed,13646,Suppressed
5081,Suppressed,12359,Suppressed
5083,Suppressed,21722,Suppressed
5085,Suppressed,72898,Suppressed
5087,0,16339,Unreliable
5089,Suppressed,16428,Suppressed
5091,Suppressed,43984,Suppressed
5093,Suppressed,42159,Suppressed
5095,0,7085,Unreliable
5097,Suppressed,8919,Suppressed
5099,0,8327,Unreliable
5101,Suppressed,7828,Suppressed
5103,Suppressed,23868,Suppressed
5105,Suppressed,10348,Suppressed
5107,0,18572,Unreliable
5109,Suppressed,10726,Suppressed
5111,Suppressed,24154,Suppressed
5113,Suppressed,20118,Suppressed
5115,Suppressed,63835,Suppressed
5117,0,8248,Unreliable
5119,70,393956,17.77
5121,Suppressed,17557,Suppressed
5123,Suppressed,25930,Suppressed
5125,30,119323,25.14
5127,0,10445,Unreliable
5129,0,7938,Unreliable
5131,16,128107,Unreliable
5133,Suppressed,17115,Suppressed
5135,Suppressed,17393,Suppressed
5137,Suppressed,12537,Suppressed
5139,Suppressed,39449,Suppressed
5141,Suppressed,16506,Suppressed
5143,18,231996,Unreliable
5145,13,79016,Unreliable
5147,Suppressed,6571,Suppressed
5149,Suppressed,21523,Suppressed
6001,127,1663190,7.64
6003,0,1120,Unreliable
6005,Suppressed,38626,Suppressed
6007,46,229294,20.06
6009,Suppressed,45670,Suppressed
6011,Suppressed,21805,Suppressed
6013,115,1147439,10.02
6015,Suppressed,27470,Suppressed
6017,32,188987,16.93
6019,123,989255,12.43
6021,Suppressed,28094,Suppressed
6023,44,136754,32.17
6025,21,182830,11.49
6027,Suppressed,18026,Suppressed
6029,229,893119,25.64
6031,15,150101,Unreliable
6033,28,64246,43.58
6035,Suppressed,31163,Suppressed
6037,917,10163507,9.02
6039,19,156890,Unreliable
6041,38,260955,14.56
6043,Suppressed,17569,Suppressed
6045,26,88018,29.54
6047,34,272673,12.47
6049,Suppressed,8859,Suppressed
6051,0,14168,Unreliable
6053,43,437907,9.82
6055,13,140973,Unreliable
6057,18,99814,Unreliable
6059,372,3190400,11.66
6061,42,386166,10.88
6063,Suppressed,18742,Suppressed
6065,412,2423266,17
6067,213,1530615,13.92
6069,Suppressed,60310,Suppressed
6071,197,2157404,9.13
6073,483,3337685,14.47
6075,184,884363,20.81
6077,145,745424,19.45
6079,43,283405,15.17
6081,80,771410,10.37
6083,67,448150,14.95
6085,157,1938153,8.1
6087,43,275897,15.59
6089,34,179921,18.9
6091,0,2999,Unreliable
6093,Suppressed,43853,Suppressed
6095,59,445458,13.24
6097,69,504217,13.68
6099,68,547899,12.41
6101,10,96648,Unreliable
6103,Suppressed,63926,Suppressed
6105,Suppressed,12709,Suppressed
6107,35,464493,7.54
6109,13,54248,Unreliable
6111,148,854223,17.33
6113,27,219116,12.32
6115,16,77031,Unreliable
8001,110,503167,21.86
8003,Suppressed,16551,Suppressed
8005,85,643052,13.22
8007,Suppressed,13315,Suppressed
8009,0,3562,Unreliable
8011,Suppressed,5938,Suppressed
8013,45,322514,13.95
8014,Suppressed,68341,Suppressed
8015,Suppressed,19638,Suppressed
8017,0,1845,Unreliable
8019,Suppressed,9574,Suppressed
8021,Suppressed,8184,Suppressed
8023,0,3776,Unreliable
8025,Suppressed,5810,Suppressed
8027,0,4874,Unreliable
8029,Suppressed,30568,Suppressed
8031,152,704621,21.57
8033,Suppressed,2067,Suppressed
8035,30,335299,8.95
8037,Suppressed,54772,Suppressed
8039,Suppressed,25642,Suppressed
8041,185,699232,26.46
8043,12,47559,Unreliable
8045,Suppressed,59118,Suppressed
8047,0,6013,Unreliable
8049,Suppressed,15321,Suppressed
8051,Suppressed,16939,Suppressed
8053,0,794,Unreliable
8055,Suppressed,6662,Suppressed
8057,Suppressed,1385,Suppressed
8059,95,574613,16.53
8061,0,1376,Unreliable
8063,Suppressed,7158,Suppressed
8065,Suppressed,7778,Suppressed
8067,Suppressed,55589,Suppressed
8069,50,343976,14.54
8071,Suppressed,14238,Suppressed
8073,0,5546,Unreliable
8075,0,21896,Unreliable
8077,40,151616,26.38
8079,Suppressed,766,Suppressed
8081,Suppressed,13131,Suppressed
8083,Suppressed,26140,Suppressed
8085,Suppressed,41784,Suppressed
8087,Suppressed,28192,Suppressed
8089,Suppressed,18326,Suppressed
8091,0,4794,Unreliable
8093,Suppressed,17905,Suppressed
8095,0,4292,Unreliable
8097,Suppressed,17890,Suppressed
8099,Suppressed,12070,Suppressed
8101,51,166475,30.64
8103,Suppressed,6420,Suppressed
8105,Suppressed,11301,Suppressed
8107,Suppressed,25220,Suppressed
8109,0,6626,Unreliable
8111,0,715,Unreliable
8113,0,7967,Unreliable
8115,0,2344,Unreliable
8117,Suppressed,30585,Suppressed
8119,Suppressed,24646,Suppressed
8121,0,4938,Unreliable
8123,34,304633,11.16
8125,0,10075,Unreliable
9001,173,949921,18.21
9003,313,895388,34.96
9005,57,182177,31.29
9007,49,163410,29.99
9009,297,860435,34.52
9011,91,269033,33.82
9013,47,151461,31.03
9015,45,116359,38.67
10001,41,176824,23.19
10003,233,559793,41.62
10005,64,225322,28.4
11001,310,693972,44.67
12001,27,266944,10.11
12003,Suppressed,28283,Suppressed
12005,34,183563,18.52
12007,Suppressed,27038,Suppressed
12009,247,589162,41.92
12011,555,1935878,28.67
12013,Suppressed,14483,Suppressed
12015,11,182033,Unreliable
12017,37,145647,25.4
12019,57,212230,26.86
12021,66,372880,17.7
12023,17,69612,Unreliable
12027,Suppressed,36862,Suppressed
12029,Suppressed,16673,Suppressed
12031,443,937934,47.23
12033,55,313512,17.54
12035,20,110510,18.1
12037,Suppressed,11727,Suppressed
12039,Suppressed,46071,Suppressed
12041,Suppressed,17743,Suppressed
12043,Suppressed,13754,Suppressed
12045,Suppressed,16160,Suppressed
12047,Suppressed,14184,Suppressed
12049,Suppressed,27411,Suppressed
12051,Suppressed,40347,Suppressed
12053,38,186553,20.37
12055,19,102883,Unreliable
12057,236,1408566,16.75
12059,Suppressed,19558,Suppressed
12061,23,154383,14.9
12063,Suppressed,48330,Suppressed
12065,Suppressed,14144,Suppressed
12067,Suppressed,8451,Suppressed
12069,85,346017,24.57
12071,232,739224,31.38
12073,26,290292,8.96
12075,10,40355,Unreliable
12077,Suppressed,8242,Suppressed
12079,Suppressed,18449,Suppressed
12081,136,385571,35.27
12083,132,354353,37.25
12085,42,159923,26.26
12086,325,2751796,11.81
12087,19,77013,Unreliable
12089,24,82721,29.01
12091,40,202970,19.71
12093,10,41605,Unreliable
12095,229,1348975,16.98
12097,65,352180,18.46
12099,616,1471150,41.87
12101,155,525643,29.49
12103,251,970637,25.86
12105,145,686483,21.12
12107,16,73464,Unreliable
12109,41,243812,16.82
12111,87,313506,27.75
12113,31,174272,17.79
12115,129,419119,30.78
12117,108,462659,23.34
12119,12,125165,Unreliable
12121,Suppressed,44190,Suppressed
12123,Suppressed,21833,Suppressed
12125,Suppressed,15517,Suppressed
12127,141,538692,26.17
12129,Suppressed,32120,Suppressed
12131,10,68376,Unreliable
12133,Suppressed,24567,Suppressed
13001,Suppressed,18521,Suppressed
13003,Suppressed,8342,Suppressed
13005,Suppressed,11319,Suppressed
13007,0,3200,Unreliable
13009,Suppressed,44906,Suppressed
13011,Suppressed,18634,Suppressed
13013,17,79061,Unreliable
13015,26,105054,24.75
13017,Suppressed,16996,Suppressed
13019,Suppressed,19186,Suppressed
13021,20,152862,13.08
13023,Suppressed,12830,Suppressed
13025,Suppressed,18731,Suppressed
13027,0,15587,Unreliable
13029,Suppressed,37060,Suppressed
13031,Suppressed,76149,Suppressed
13033,Suppressed,22522,Suppressed
13035,Suppressed,24059,Suppressed
13037,0,6455,Unreliable
13039,Suppressed,53044,Suppressed
13043,Suppressed,10797,Suppressed
13045,34,117812,28.86
13047,22,66550,33.06
13049,Suppressed,12715,Suppressed
13051,38,290501,13.08
13053,Suppressed,10343,Suppressed
13055,Suppressed,24770,Suppressed
13057,38,247573,15.35
13059,13,127064,Unreliable
13061,0,2962,Unreliable
13063,36,285153,12.62
13065,0,6727,Unreliable
13067,148,755754,19.58
13069,10,43014,Unreliable
13071,Suppressed,45835,Suppressed
13073,25,151579,16.49
13075,Suppressed,17277,Suppressed
