FIPS,Deaths,Population,Crude Rate
1001,Suppressed,56145,Suppressed
1003,63,229287,27.48
1005,Suppressed,24589,Suppressed
1007,Suppressed,22136,Suppressed
1009,11,57879,Unreliable
1011,Suppressed,9976,Suppressed
1013,Suppressed,19504,Suppressed
1015,29,113469,25.56
1017,Suppressed,32865,Suppressed
1019,Suppressed,26294,Suppressed
1021,Suppressed,44397,Suppressed
1023,0,12418,Unreliable
1025,Suppressed,23291,Suppressed
1027,Suppressed,13112,Suppressed
1029,Suppressed,14967,Suppressed
1031,Suppressed,53230,Suppressed
1033,Suppressed,55411,Suppressed
1035,Suppressed,11851,Suppressed
1037,0,10650,Unreliable
1039,Suppressed,36930,Suppressed
1041,Suppressed,13681,Suppressed
1043,16,84515,Unreliable
1045,Suppressed,48959,Suppressed
1047,0,36098,Unreliable
1049,18,71658,Unreliable
1051,10,82158,Unreliable
1053,10,36281,Unreliable
1055,20,102371,19.54
1057,Suppressed,16241,Suppressed
1059,Suppressed,31507,Suppressed
1061,Suppressed,26411,Suppressed
1063,0,7990,Unreliable
1065,Suppressed,14670,Suppressed
1067,Suppressed,17223,Suppressed
1069,16,106580,Unreliable
1071,Suppressed,51582,Suppressed
1073,267,655342,40.74
1075,Suppressed,13764,Suppressed
1077,Suppressed,93368,Suppressed
1079,Suppressed,32857,Suppressed
1081,20,166831,11.99
1083,Suppressed,102228,Suppressed
1085,0,9641,Unreliable
1087,0,17895,Unreliable
1089,99,379453,26.09
1091,Suppressed,18733,Suppressed
1093,Suppressed,29703,Suppressed
1095,17,96990,Unreliable
1097,95,412716,23.02
1099,Suppressed,20459,Suppressed
1101,30,224639,13.35
1103,26,119883,21.69
1105,Suppressed,8687,Suppressed
1107,Suppressed,19793,Suppressed
1109,Suppressed,32966,Suppressed
1111,Suppressed,22920,Suppressed
1113,14,58237,Unreliable
1115,28,90739,30.86
1117,45,221428,20.32
1119,0,12225,Unreliable
1121,Suppressed,79985,Suppressed
1123,Suppressed,40133,Suppressed
1125,43,210758,20.4
1127,26,63143,41.18
1129,0,15976,Unreliable
1131,Suppressed,10206,Suppressed
1133,Suppressed,23508,Suppressed
2013,Suppressed,3401,Suppressed
2016,0,5680,Unreliable
2020,89,287095,31
2050,Suppressed,18437,Suppressed
2060,0,788,Unreliable
