FIPS,Deaths,Population,Crude Rate
1001,Suppressed,59095,Suppressed
1003,88,239294,36.77
1005,Suppressed,24964,Suppressed
1007,Suppressed,22477,Suppressed
1009,16,59041,Unreliable
1011,0,10320,Unreliable
1013,Suppressed,18884,Suppressed
1015,31,115972,26.73
1017,Suppressed,34541,Suppressed
1019,Suppressed,24996,Suppressed
1021,12,45274,Unreliable
1023,Suppressed,12533,Suppressed
1025,Suppressed,22760,Suppressed
1027,Suppressed,14190,Suppressed
1029,0,15103,Unreliable
1031,Suppressed,54174,Suppressed
1033,13,57474,Unreliable
1035,Suppressed,11328,Suppressed
1037,Suppressed,10450,Suppressed
1039,Suppressed,37524,Suppressed
1041,Suppressed,13083,Suppressed
1043,34,89496,37.99
1045,10,49342,Unreliable
1047,Suppressed,37619,Suppressed
1049,12,71813,Unreliable
1051,Suppressed,89304,Suppressed
1053,25,36699,68.12
1055,29,103162,28.11
1057,Suppressed,16148,Suppressed
1059,Suppressed,32013,Suppressed
1061,Suppressed,26701,Suppressed
1063,0,7629,Unreliable
1065,Suppressed,14754,Suppressed
1067,Suppressed,17459,Suppressed
1069,14,107458,Unreliable
1071,Suppressed,52773,Suppressed
1073,348,667820,52.11
1075,Suppressed,13689,Suppressed
1077,19,94043,Unreliable
1079,0,33090,Unreliable
1081,22,177218,12.41
1083,Suppressed,107517,Suppressed
1085,0,9965,Unreliable
1087,Suppressed,18895,Suppressed
1089,131,395211,33.15
1091,Suppressed,18996,Suppressed
1093,Suppressed,29246,Suppressed
1095,32,98228,32.58
1097,116,413073,28.08
1099,Suppressed,19648,Suppressed
1101,40,227434,17.59
1103,30,123668,24.26
1105,0,8355,Unreliable
1107,Suppressed,18801,Suppressed
1109,Suppressed,32991,Suppressed
1111,Suppressed,21989,Suppressed
1113,22,58722,37.46
1115,46,92748,49.6
1117,62,226902,27.32
1119,0,12164,Unreliable
1121,19,81524,Unreliable
1123,Suppressed,41023,Suppressed
1125,58,227007,25.55
1127,27,64818,41.66
1129,Suppressed,15147,Suppressed
1131,0,10446,Unreliable
1133,Suppressed,23652,Suppressed
2013,0,3398,Unreliable
2016,Suppressed,5059,Suppressed
2020,122,288121,42.34
2050,Suppressed,18557,Suppressed
2060,Suppressed,838,Suppressed
2068,0,1593,Unreliable
2070,Suppressed,4772,Suppressed
2090,22,95593,23.01
2100,0,2071,Unreliable
2105,0,2332,Unreliable
2110,12,31973,Unreliable
2122,21,59767,35.14
