FIPS,Deaths,Population,Crude Rate
1001,Suppressed,54571,Suppressed
1003,26,182265,14.26
1005,Suppressed,27457,Suppressed
1007,Suppressed,22915,Suppressed
1009,10,57322,Unreliable
1011,0,10914,Unreliable
1013,Suppressed,20947,Suppressed
1015,21,118572,17.71
1017,Suppressed,34215,Suppressed
1019,Suppressed,25989,Suppressed
1021,11,43643,Unreliable
1023,Suppressed,13859,Suppressed
1025,Suppressed,25833,Suppressed
1027,0,13932,Unreliable
1029,Suppressed,14972,Suppressed
1031,Suppressed,49948,Suppressed
1033,Suppressed,54428,Suppressed
1035,0,13228,Unreliable
1037,Suppressed,11539,Suppressed
1039,Suppressed,37765,Suppressed
1041,0,13906,Unreliable
1043,Suppressed,80406,Suppressed
1045,Suppressed,50251,Suppressed
1047,Suppressed,43820,Suppressed
1049,Suppressed,71109,Suppressed
1051,Suppressed,79303,Suppressed
1053,10,38319,Unreliable
1055,12,104430,Unreliable
1057,Suppressed,17241,Suppressed
1059,Suppressed,31704,Suppressed
1061,Suppressed,26790,Suppressed
1063,0,9045,Unreliable
1065,Suppressed,15760,Suppressed
1067,0,17302,Unreliable
1069,13,101547,Unreliable
1071,Suppressed,53227,Suppressed
1073,60,658466,9.11
1075,0,14564,Unreliable
1077,11,92709,Unreliable
1079,Suppressed,34339,Suppressed
1081,Suppressed,140247,Suppressed
1083,14,82782,Unreliable
1085,0,11299,Unreliable
1087,0,21452,Unreliable
1089,35,334811,10.45
1091,Suppressed,21027,Suppressed
1093,Suppressed,30776,Suppressed
1095,Suppressed,93019,Suppressed
1097,45,412992,10.9
1099,Suppressed,23068,Suppressed
1101,18,229363,Unreliable
1103,18,119490,Unreliable
1105,Suppressed,10591,Suppressed
1107,Suppressed,19746,Suppressed
1109,Suppressed,32899,Suppressed
1111,Suppressed,22913,Suppressed
1113,Suppressed,52947,Suppressed
1115,15,83593,Unreliable
1117,26,195085,13.33
1119,0,13763,Unreliable
1121,Suppressed,82291,Suppressed
1123,Suppressed,41616,Suppressed
1125,27,194656,13.87
1127,34,67023,50.73
1129,Suppressed,17581,Suppressed
1131,0,11670,Unreliable
1133,Suppressed,24484,Suppressed
2013,Suppressed,3141,Suppressed
2016,0,5561,Unreliable
2020,38,291826,13.02
2050,0,17013,Unreliable
2060,0,997,Unreliable
2068,0,1826,Unreliable
2070,Suppressed,4847,Suppressed
2090,10,97581,Unreliable
2100,0,2508,Unreliable
2105,Missing,Missing,Missing
2110,Suppressed,31275,Suppressed
2122,Suppressed,55400,Suppressed
2130,0,13477,Unreliable
2150,Suppressed,13592,Suppressed
2164,0,1631,Unreliable
2170,10,88995,Unreliable
2180,0,9492,Unreliable
2185,0,9430,Unreliable
2188,0,7523,Unreliable
2195,Missing,Missing,Missing
2198,Missing,Missing,Missing
2201,0,5559,Unreliable
2220,Suppressed,8881,Suppressed
2230,Missing,Missing,Missing
2232,0,3118,Unreliable
2240,Suppressed,7029,Suppressed
2261,Suppressed,9636,Suppressed
2270,0,7459,Unreliable
2275,Missing,Missing,Missing
2280,Suppressed,6184,Suppressed
2282,0,662,Unreliable
2290,Suppressed,5588,Suppressed
4001,Suppressed,71518,Suppressed
4003,24,131346,18.27
4005,18,134421,Unreliable
4007,10,53597,Unreliable
4009,Suppressed,37220,Suppressed
4011,Suppressed,8437,Suppressed
4012,Suppressed,20489,Suppressed
4013,609,3817117,15.95
4015,68,200186,33.97
4017,19,107449,Unreliable
4019,205,980263,20.91
4021,51,375770,13.57
4023,Suppressed,47420,Suppressed
4025,46,211033,21.8
4027,23,195751,11.75
5001,Suppressed,19019,Suppressed
5003,Suppressed,21853,Suppressed
5005,Suppressed,41513,Suppressed
5007,31,221339,14.01
5009,Suppressed,36903,Suppressed
5011,0,11508,Unreliable
5013,0,5368,Unreliable
5015,Suppressed,27446,Suppressed
5017,0,11800,Unreliable
5019,Suppressed,22995,Suppressed
5021,0,16083,Unreliable
5023,Suppressed,25970,Suppressed
5025,0,8689,Unreliable
5027,Suppressed,24552,Suppressed
5029,Suppressed,21273,Suppressed
5031,13,96443,Unreliable
5033,13,61948,Unreliable
5035,Suppressed,50902,Suppressed
5037,0,17870,Unreliable
5039,0,8116,Unreliable
5041,0,13008,Unreliable
5043,Suppressed,18509,Suppressed
5045,16,113237,Unreliable
5047,0,18125,Unreliable
5049,Suppressed,12245,Suppressed
5051,28,96024,29.16
5053,Suppressed,17853,Suppressed
5055,Suppressed,42090,Suppressed
5057,Suppressed,22609,Suppressed
5059,Suppressed,32923,Suppressed
5061,0,13789,Unreliable
5063,Suppressed,36647,Suppressed
5065,Suppressed,13696,Suppressed
5067,Suppressed,17997,Suppressed
5069,Suppressed,77435,Suppressed
5071,Suppressed,25540,Suppressed
5073,0,7645,Unreliable
5075,Suppressed,17415,Suppressed
5077,0,10424,Unreliable
5079,Suppressed,14134,Suppressed
5081,Suppressed,13171,Suppressed
5083,Suppressed,22353,Suppressed
5085,16,68356,Unreliable
5087,0,15717,Unreliable
5089,0,16653,Unreliable
5091,Suppressed,43462,Suppressed
5093,Suppressed,46480,Suppressed
5095,Suppressed,8149,Suppressed
5097,Suppressed,9487,Suppressed
5099,0,8997,Unreliable
5101,0,8330,Unreliable
5103,Suppressed,26120,Suppressed
5105,Suppressed,10445,Suppressed
5107,0,21757,Unreliable
5109,Suppressed,11291,Suppressed
5111,Suppressed,24583,Suppressed
5113,Suppressed,20662,Suppressed
5115,10,61754,Unreliable
5117,Suppressed,8715,Suppressed
5119,55,382748,14.37
5121,Suppressed,17969,Suppressed
5123,0,28258,Unreliable
5125,Suppressed,107118,Suppressed
5127,Suppressed,11233,Suppressed
