FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55267,Suppressed
1003,24,186717,12.85
1005,Suppressed,27119,Suppressed
1007,Suppressed,22766,Suppressed
1009,Suppressed,57677,Suppressed
1011,Suppressed,10542,Suppressed
1013,Suppressed,20650,Suppressed
1015,14,117797,Unreliable
1017,Suppressed,33939,Suppressed
1019,Suppressed,26057,Suppressed
1021,Suppressed,43895,Suppressed
1023,0,13609,Unreliable
1025,Suppressed,25695,Suppressed
1027,0,13862,Unreliable
1029,0,14835,Unreliable
1031,Suppressed,50526,Suppressed
1033,Suppressed,54512,Suppressed
1035,Suppressed,13105,Suppressed
1037,Suppressed,10713,Suppressed
1039,Suppressed,38058,Suppressed
1041,Suppressed,13911,Suppressed
1043,10,80536,Unreliable
1045,Suppressed,50044,Suppressed
1047,Suppressed,43332,Suppressed
1049,11,71375,Unreliable
1051,Suppressed,80162,Suppressed
1053,16,38095,Unreliable
1055,15,104303,Unreliable
1057,Suppressed,17182,Suppressed
1059,Suppressed,31884,Suppressed
1061,Suppressed,26781,Suppressed
1063,0,8921,Unreliable
1065,Suppressed,15421,Suppressed
1067,0,17412,Unreliable
1069,13,102369,Unreliable
1071,Suppressed,53291,Suppressed
1073,85,658931,12.9
1075,Suppressed,14311,Suppressed
1077,12,92781,Unreliable
1079,Suppressed,34117,Suppressed
1081,Suppressed,143468,Suppressed
1083,10,85369,Unreliable
1085,Suppressed,11147,Suppressed
1087,Suppressed,21182,Suppressed
1089,30,340111,8.82
1091,0,20692,Unreliable
1093,Suppressed,30663,Suppressed
1095,Suppressed,94166,Suppressed
1097,48,412577,11.63
1099,Suppressed,22760,Suppressed
1101,Suppressed,232032,Suppressed
1103,16,119953,Unreliable
1105,0,10373,Unreliable
1107,Suppressed,19349,Suppressed
1109,Suppressed,32915,Suppressed
1111,Suppressed,22787,Suppressed
1113,Suppressed,54572,Suppressed
1115,18,84398,Unreliable
1117,27,197936,13.64
1119,0,13478,Unreliable
1121,Suppressed,81664,Suppressed
1123,Suppressed,41623,Suppressed
1125,22,197211,11.16
1127,37,66661,55.5
1129,0,17344,Unreliable
1131,Suppressed,11482,Suppressed
1133,Suppressed,24327,Suppressed
2013,0,3172,Unreliable
2016,0,5504,Unreliable
2020,52,295570,17.59
2050,0,17416,Unreliable
2060,0,1030,Unreliable
2068,0,1855,Unreliable
2070,Suppressed,4975,Suppressed
2090,10,99192,Unreliable
2100,0,2554,Unreliable
2105,Missing,Missing,Missing
2110,Suppressed,32164,Suppressed
2122,Suppressed,56293,Suppressed
2130,Suppressed,13593,Suppressed
2150,Suppressed,13872,Suppressed
2164,0,1668,Unreliable
2170,19,91946,Unreliable
2180,0,9856,Unreliable
2185,0,9503,Unreliable
2188,0,7733,Unreliable
2195,Missing,Missing,Missing
2198,Missing,Missing,Missing
2201,0,5737,Unreliable
2220,0,8952,Unreliable
2230,Missing,Missing,Missing
2232,0,3047,Unreliable
2240,Suppressed,7132,Suppressed
2261,Suppressed,9770,Suppressed
2270,0,7662,Unreliable
2275,Missing,Missing,Missing
2280,0,6220,Unreliable
2282,0,646,Unreliable
2290,Suppressed,5656,Suppressed
4001,Suppressed,72401,Suppressed
4003,Suppressed,133289,Suppressed
4005,22,134511,16.36
4007,Suppressed,53144,Suppressed
4009,Suppressed,37147,Suppressed
4011,Suppressed,8606,Suppressed
4012,Suppressed,20419,Suppressed
4013,627,3880244,16.16
4015,57,202351,28.17
4017,17,107398,Unreliable
4019,193,989569,19.5
4021,44,382992,11.49
4023,0,47676,Unreliable
4025,59,211888,27.84
4027,23,200870,11.45
5001,Suppressed,18892,Suppressed
5003,Suppressed,21692,Suppressed
5005,Suppressed,41536,Suppressed
5007,28,227556,12.3
