FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55347,Suppressed
1003,43,203709,21.11
1005,0,26489,Unreliable
1007,Suppressed,22583,Suppressed
1009,11,57673,Unreliable
1011,Suppressed,10696,Suppressed
1013,Suppressed,20154,Suppressed
1015,20,115620,17.3
1017,Suppressed,34123,Suppressed
1019,Suppressed,25859,Suppressed
1021,Suppressed,43943,Suppressed
1023,Suppressed,13170,Suppressed
1025,Suppressed,24675,Suppressed
1027,Suppressed,13555,Suppressed
1029,Suppressed,15018,Suppressed
1031,Suppressed,51211,Suppressed
1033,Suppressed,54354,Suppressed
1035,Suppressed,12672,Suppressed
1037,Suppressed,10724,Suppressed
1039,Suppressed,37835,Suppressed
1041,Suppressed,13963,Suppressed
1043,16,82005,Unreliable
1045,Suppressed,49565,Suppressed
1047,Suppressed,41131,Suppressed
1049,19,71130,Unreliable
1051,Suppressed,81468,Suppressed
1053,Suppressed,37789,Suppressed
1055,22,103057,21.35
1057,Suppressed,16759,Suppressed
1059,Suppressed,31696,Suppressed
1061,Suppressed,26777,Suppressed
1063,0,8479,Unreliable
1065,Suppressed,15068,Suppressed
1067,Suppressed,17221,Suppressed
1069,13,104173,Unreliable
1071,Suppressed,52419,Suppressed
1073,164,660367,24.83
1075,Suppressed,13886,Suppressed
1077,Suppressed,92596,Suppressed
1079,Suppressed,33115,Suppressed
1081,17,156993,Unreliable
1083,Suppressed,91663,Suppressed
1085,Suppressed,10458,Suppressed
1087,Suppressed,19105,Suppressed
1089,41,353089,11.61
1091,0,20028,Unreliable
1093,Suppressed,30168,Suppressed
1095,24,94725,25.34
1097,69,415395,16.61
1099,Suppressed,21673,Suppressed
1101,15,226519,Unreliable
1103,26,119565,21.75
1105,0,9652,Unreliable
1107,Suppressed,20864,Suppressed
1109,Suppressed,33046,Suppressed
1111,0,22696,Unreliable
1113,Suppressed,59660,Suppressed
1115,20,87074,22.97
1117,41,208713,19.64
1119,Suppressed,13103,Suppressed
1121,Suppressed,80862,Suppressed
1123,0,40844,Unreliable
1125,27,203976,13.24
1127,11,65294,Unreliable
1129,Suppressed,16804,Suppressed
1131,0,11059,Unreliable
1133,0,23877,Unreliable
2013,0,3341,Unreliable
2016,Suppressed,5702,Suppressed
2020,59,298695,19.75
2050,0,17946,Unreliable
2060,Suppressed,892,Suppressed
2068,0,1919,Unreliable
2070,0,4997,Unreliable
2090,10,99631,Unreliable
2100,0,2534,Unreliable
2105,Suppressed,2133,Suppressed
2110,Suppressed,32756,Suppressed
2122,16,58059,Unreliable
2130,Suppressed,13709,Suppressed
2150,Suppressed,13889,Suppressed
2164,0,1563,Unreliable
2170,14,101095,Unreliable
2180,Suppressed,9846,Suppressed
2185,Suppressed,9687,Suppressed
2188,0,7752,Unreliable
2195,0,3177,Unreliable
2198,0,6341,Unreliable
2201,Missing,Missing,Missing
2220,Suppressed,8863,Suppressed
2230,0,1057,Unreliable
2232,Missing,Missing,Missing
2240,Suppressed,6839,Suppressed
2261,0,9362,Unreliable
2270,Suppressed,8119,Suppressed
2275,0,2382,Unreliable
2280,Missing,Missing,Missing
2282,0,613,Unreliable
2290,Suppressed,5533,Suppressed
4001,Suppressed,71474,Suppressed
4003,34,126427,26.89
4005,26,139097,18.69
4007,20,53159,37.62
4009,Suppressed,37666,Suppressed
4011,Suppressed,9529,Suppressed
4012,Suppressed,20152,Suppressed
4013,707,4167947,16.96
4015,62,204737,30.28
4017,15,108277,Unreliable
4019,232,1010025,22.97
4021,58,406584,14.27
4023,Suppressed,46461,Suppressed
4025,56,222255,25.2
4027,31,204275,15.18
5001,Suppressed,18433,Suppressed
5003,Suppressed,20838,Suppressed
5005,10,41053,Unreliable
5007,37,249672,14.82
5009,Suppressed,37222,Suppressed
5011,0,11094,Unreliable
5013,0,5229,Unreliable
5015,Suppressed,27704,Suppressed
5017,Suppressed,11027,Suppressed
5019,Suppressed,22633,Suppressed
5021,10,15109,Unreliable
5023,Suppressed,25467,Suppressed
5025,Suppressed,8311,Suppressed
5027,Suppressed,24114,Suppressed
5029,Suppressed,21019,Suppressed
5031,14,104354,Unreliable
5033,12,61703,Unreliable
5035,Suppressed,48963,Suppressed
5037,Suppressed,17284,Suppressed
5039,Suppressed,7604,Suppressed
5041,0,11965,Unreliable
5043,Suppressed,18778,Suppressed
5045,10,121552,Unreliable
5047,Suppressed,17702,Suppressed
5049,Suppressed,12204,Suppressed
5051,26,97177,26.76
5053,Suppressed,18102,Suppressed
5055,10,44196,Unreliable
5057,Suppressed,22084,Suppressed
5059,Suppressed,33426,Suppressed
5061,0,13300,Unreliable
5063,Suppressed,37052,Suppressed
5065,Suppressed,13445,Suppressed
5067,Suppressed,17338,Suppressed
5069,10,71565,Unreliable
5071,Suppressed,26141,Suppressed
5073,0,6996,Unreliable
5075,Suppressed,16779,Suppressed
5077,0,9650,Unreliable
5079,Suppressed,13820,Suppressed
5081,Suppressed,12472,Suppressed
5083,Suppressed,21714,Suppressed
