FIPS,Deaths,Population,Crude Rate
6029,228,896764,25.42
6031,20,151366,13.21
6033,44,64382,68.34
6035,Suppressed,30802,Suppressed
6037,988,10105518,9.78
6039,12,157672,Unreliable
6041,32,259666,12.32
6043,Suppressed,17471,Suppressed
6045,31,87606,35.39
6047,38,274765,13.83
6049,0,8777,Unreliable
6051,Suppressed,14250,Suppressed
6053,49,435594,11.25
6055,17,139417,Unreliable
6057,15,99696,Unreliable
6059,416,3185968,13.06
6061,44,393149,11.19
6063,Suppressed,18804,Suppressed
6065,440,2450758,17.95
6067,249,1540975,16.16
6069,Suppressed,61537,Suppressed
6071,278,2171603,12.8
6073,481,3343364,14.39
6075,237,883305,26.83
6077,122,752660,16.21
6079,44,284010,15.49
6081,66,769545,8.58
6083,72,446527,16.12
6085,175,1937570,9.03
6087,42,274255,15.31
6089,34,180040,18.88
6091,Suppressed,2987,Suppressed
6093,Suppressed,43724,Suppressed
6095,79,446610,17.69
6097,78,499942,15.6
6099,79,549815,14.37
6101,16,96807,Unreliable
6103,Suppressed,63916,Suppressed
6105,Suppressed,12535,Suppressed
6107,53,465861,11.38
6109,Suppressed,54539,Suppressed
6111,135,850967,15.86
6113,20,220408,9.07
6115,14,78041,Unreliable
8001,106,511868,20.71
8003,Suppressed,16683,Suppressed
8005,109,651215,16.74
8007,Suppressed,13765,Suppressed
8009,Suppressed,3585,Suppressed
8011,0,5882,Unreliable
8013,36,326078,11.04
8014,12,69267,Unreliable
8015,Suppressed,20027,Suppressed
8017,0,1876,Unreliable
8019,0,9605,Unreliable
8021,0,8200,Unreliable
8023,Suppressed,3828,Suppressed
8025,Suppressed,5858,Suppressed
8027,Suppressed,4954,Suppressed
8029,Suppressed,30953,Suppressed
8031,154,716492,21.49
8033,0,2074,Unreliable
8035,25,342776,7.29
8037,Suppressed,54993,Suppressed
8039,Suppressed,26282,Suppressed
8041,187,713856,26.2
8043,12,48021,Unreliable
8045,Suppressed,59770,Suppressed
8047,0,6121,Unreliable
8049,Suppressed,15525,Suppressed
8051,0,17246,Unreliable
8053,0,811,Unreliable
8055,Suppressed,6889,Suppressed
8057,0,1399,Unreliable
8059,96,580233,16.55
8061,0,1383,Unreliable
8063,0,7163,Unreliable
8065,0,7824,Unreliable
8067,Suppressed,56310,Suppressed
8069,50,350518,14.26
8071,Suppressed,14503,Suppressed
8073,Suppressed,5610,Suppressed
8075,Suppressed,21528,Suppressed
8077,20,153207,13.05
8079,0,776,Unreliable
8081,0,13188,Unreliable
8083,Suppressed,26158,Suppressed
8085,Suppressed,42214,Suppressed
8087,Suppressed,28558,Suppressed
8089,Suppressed,18432,Suppressed
8091,0,4833,Unreliable
8093,Suppressed,18556,Suppressed
