FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55416,Suppressed
1003,32,208563,15.34
1005,Suppressed,25965,Suppressed
1007,Suppressed,22643,Suppressed
1009,14,57704,Unreliable
1011,Suppressed,10362,Suppressed
1013,Suppressed,19998,Suppressed
1015,15,114611,Unreliable
1017,Suppressed,33843,Suppressed
1019,Suppressed,25725,Suppressed
1021,Suppressed,43941,Suppressed
1023,0,12993,Unreliable
1025,Suppressed,24392,Suppressed
1027,Suppressed,13492,Suppressed
1029,0,14924,Unreliable
1031,Suppressed,51226,Suppressed
1033,Suppressed,54216,Suppressed
1035,Suppressed,12395,Suppressed
1037,Suppressed,10581,Suppressed
1039,0,37458,Unreliable
1041,0,13913,Unreliable
1043,19,82471,Unreliable
1045,Suppressed,49226,Suppressed
1047,Suppressed,40008,Suppressed
1049,18,70900,Unreliable
1051,Suppressed,81799,Suppressed
1053,Suppressed,37728,Suppressed
1055,15,102564,Unreliable
1057,Suppressed,16546,Suppressed
1059,Suppressed,31628,Suppressed
1061,Suppressed,26614,Suppressed
1063,0,8422,Unreliable
1065,0,14952,Unreliable
1067,0,17164,Unreliable
1069,Suppressed,104056,Suppressed
1071,Suppressed,52138,Suppressed
1073,200,659521,30.33
1075,0,13918,Unreliable
1077,11,92318,Unreliable
1079,Suppressed,33244,Suppressed
1081,Suppressed,158991,Suppressed
1083,Suppressed,92753,Suppressed
1085,0,10358,Unreliable
1087,Suppressed,18963,Suppressed
1089,61,356967,17.09
1091,0,19673,Unreliable
1093,0,29998,Unreliable
1095,13,95157,Unreliable
1097,64,414836,15.43
1099,Suppressed,21530,Suppressed
1101,16,226349,Unreliable
1103,12,119012,Unreliable
1105,0,9574,Unreliable
1107,Suppressed,20324,Suppressed
1109,Suppressed,33286,Suppressed
1111,Suppressed,22652,Suppressed
1113,Suppressed,58172,Suppressed
1115,29,88019,32.95
1117,45,210622,21.37
1119,0,13040,Unreliable
1121,Suppressed,80103,Suppressed
1123,10,40727,Unreliable
1125,30,206102,14.56
1127,12,64967,Unreliable
1129,Suppressed,16756,Suppressed
1131,0,10986,Unreliable
1133,Suppressed,23805,Suppressed
2013,0,3296,Unreliable
2016,0,5647,Unreliable
2020,52,298192,17.44
2050,Suppressed,17968,Suppressed
2060,0,898,Unreliable
2068,0,1953,Unreliable
2070,Suppressed,4954,Suppressed
2090,14,100605,Unreliable
2100,0,2496,Unreliable
2105,0,2078,Unreliable
2110,Suppressed,32468,Suppressed
2122,15,58506,Unreliable
2130,Suppressed,13746,Suppressed
2150,Suppressed,13732,Suppressed
2164,0,1562,Unreliable
2170,23,104365,22.04
2180,0,9917,Unreliable
2185,0,9606,Unreliable
2188,0,7673,Unreliable
2195,Suppressed,3149,Suppressed
2198,Suppressed,6347,Suppressed
2201,Missing,Missing,Missing
2220,Suppressed,8830,Suppressed
2230,0,1088,Unreliable
2232,Missing,Missing,Missing
2240,Suppressed,6876,Suppressed
2261,Suppressed,9355,Suppressed
2270,0,8049,Unreliable
2275,Suppressed,2411,Suppressed
2280,Missing,Missing,Missing
2282,0,601,Unreliable
2290,Suppressed,5526,Suppressed
4001,Suppressed,73112,Suppressed
4003,26,125770,20.67
4005,18,140908,Unreliable
4007,22,53556,41.08
4009,Suppressed,37599,Suppressed
4011,0,9613,Unreliable
4012,Suppressed,20317,Suppressed
4013,797,4242997,18.78
4015,56,205249,27.28
4017,33,110026,29.99
