FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55395,Suppressed
1003,38,200111,18.99
1005,Suppressed,26887,Suppressed
1007,Suppressed,22506,Suppressed
1009,12,57719,Unreliable
1011,Suppressed,10764,Suppressed
1013,Suppressed,20296,Suppressed
1015,19,115916,Unreliable
1017,Suppressed,34076,Suppressed
1019,Suppressed,26037,Suppressed
1021,Suppressed,43931,Suppressed
1023,0,13323,Unreliable
1025,Suppressed,24945,Suppressed
1027,0,13552,Unreliable
1029,Suppressed,15080,Suppressed
1031,Suppressed,50909,Suppressed
1033,Suppressed,54543,Suppressed
1035,Suppressed,12670,Suppressed
1037,0,10886,Unreliable
1039,Suppressed,37914,Suppressed
1041,Suppressed,13977,Suppressed
1043,30,81289,36.91
1045,Suppressed,49484,Suppressed
1047,Suppressed,41711,Suppressed
1049,Suppressed,71065,Suppressed
1051,10,80977,Unreliable
1053,13,37733,Unreliable
1055,18,103531,Unreliable
1057,Suppressed,16874,Suppressed
1059,Suppressed,31601,Suppressed
1061,0,26712,Unreliable
1063,0,8553,Unreliable
1065,Suppressed,15184,Suppressed
1067,0,17190,Unreliable
1069,13,104193,Unreliable
1071,Suppressed,52665,Suppressed
1073,175,660793,26.48
1075,0,14086,Unreliable
1077,Suppressed,93096,Suppressed
1079,Suppressed,33477,Suppressed
1081,12,154255,Unreliable
1083,Suppressed,90787,Suppressed
1085,0,10580,Unreliable
1087,Suppressed,19425,Suppressed
1089,23,350299,6.57
1091,Suppressed,20110,Suppressed
1093,0,30271,Unreliable
1095,21,94636,22.19
1097,56,415123,13.49
1099,Suppressed,21947,Suppressed
1101,19,226189,Unreliable
1103,12,119607,Unreliable
1105,0,9826,Unreliable
1107,Suppressed,20365,Suppressed
1109,0,33389,Unreliable
1111,Suppressed,22539,Suppressed
1113,Suppressed,59608,Suppressed
1115,34,86697,39.22
1117,40,206655,19.36
1119,Suppressed,13166,Suppressed
1121,Suppressed,81322,Suppressed
1123,Suppressed,41165,Suppressed
1125,24,202212,11.87
1127,22,65471,33.6
1129,Suppressed,16834,Suppressed
1131,Suppressed,11098,Suppressed
1133,Suppressed,24150,Suppressed
2013,0,3360,Unreliable
2016,Suppressed,5750,Suppressed
2020,58,301010,19.27
2050,0,17868,Unreliable
2060,0,957,Unreliable
2068,Suppressed,1921,Suppressed
2070,Suppressed,4988,Suppressed
2090,17,99357,Unreliable
2100,0,2566,Unreliable
2105,Suppressed,2082,Suppressed
2110,Suppressed,32406,Suppressed
2122,10,57477,Unreliable
2130,Suppressed,13787,Suppressed
2150,Suppressed,13986,Suppressed
2164,0,1631,Unreliable
2170,19,97882,Unreliable
2180,Suppressed,9817,Suppressed
2185,0,9703,Unreliable
2188,0,7717,Unreliable
2195,0,3160,Unreliable
2198,Suppressed,6396,Suppressed
2201,Missing,Missing,Missing
2220,Suppressed,8900,Suppressed
2230,0,1036,Unreliable
2232,Missing,Missing,Missing
2240,0,6931,Unreliable
2261,Suppressed,9488,Suppressed
2270,0,8010,Unreliable
2275,0,2364,Unreliable
2280,Missing,Missing,Missing
2282,0,635,Unreliable
2290,0,5547,Unreliable
4001,Suppressed,71828,Suppressed
4003,21,127448,16.48
4005,15,137682,Unreliable
4007,18,53119,Unreliable
4009,Suppressed,37957,Suppressed
4011,Suppressed,9346,Suppressed
4012,Suppressed,20231,Suppressed
4013,695,4087191,17
4015,58,203361,28.52
4017,26,108101,24.05
4019,223,1004516,22.2
4021,33,401918,8.21
4023,Suppressed,46695,Suppressed
4025,59,218844,26.96
4027,39,203247,19.19
5001,Suppressed,18594,Suppressed
5003,Suppressed,20948,Suppressed
5005,11,40857,Unreliable
5007,35,242321,14.44
5009,Suppressed,37196,Suppressed
5011,0,11148,Unreliable
5013,Suppressed,5202,Suppressed
5015,Suppressed,27744,Suppressed
5017,0,11180,Unreliable
5019,Suppressed,22576,Suppressed
5021,Suppressed,15118,Suppressed
5023,Suppressed,25634,Suppressed
5025,Suppressed,8449,Suppressed
5027,Suppressed,23933,Suppressed
5029,Suppressed,21083,Suppressed
5031,Suppressed,102518,Suppressed
5033,10,61697,Unreliable
5035,Suppressed,49548,Suppressed
5037,Suppressed,17227,Suppressed
5039,0,7755,Unreliable
5041,0,12264,Unreliable
5043,Suppressed,18622,Suppressed
5045,16,120768,Unreliable
5047,Suppressed,17805,Suppressed
5049,0,12125,Unreliable
5051,26,97322,26.72
5053,Suppressed,18144,Suppressed
5055,Suppressed,43694,Suppressed
5057,Suppressed,22327,Suppressed
5059,Suppressed,33368,Suppressed
5061,Suppressed,13500,Suppressed
5063,Suppressed,36959,Suppressed
5065,Suppressed,13486,Suppressed
5067,Suppressed,17534,Suppressed
5069,Suppressed,72297,Suppressed
5071,Suppressed,26005,Suppressed
5073,0,7111,Unreliable
5075,Suppressed,16931,Suppressed
5077,0,9860,Unreliable
5079,Suppressed,13970,Suppressed
5081,Suppressed,12532,Suppressed
5083,Suppressed,21958,Suppressed
5085,14,71557,Unreliable
5087,Suppressed,15740,Suppressed
5089,Suppressed,16367,Suppressed
5091,Suppressed,43428,Suppressed
5093,Suppressed,44235,Suppressed
5095,0,7582,Unreliable
5097,0,9082,Unreliable
5099,Suppressed,8723,Suppressed
5101,0,7904,Unreliable
5103,Suppressed,24828,Suppressed
5105,0,10245,Unreliable
5107,Suppressed,19930,Suppressed
5109,Suppressed,11024,Suppressed
5111,Suppressed,24246,Suppressed
5113,Suppressed,20225,Suppressed
5115,Suppressed,63201,Suppressed
5117,0,8304,Unreliable
5119,54,392702,13.75
5121,Suppressed,17571,Suppressed
5123,Suppressed,26899,Suppressed
5125,14,115719,Unreliable
5127,Suppressed,10693,Suppressed
5129,Suppressed,7929,Suppressed
5131,15,126776,Unreliable
5133,0,17426,Unreliable
5135,Suppressed,16906,Suppressed
5137,Suppressed,12494,Suppressed
5139,Suppressed,40227,Suppressed
5141,Suppressed,16851,Suppressed
5143,20,220792,9.06
5145,Suppressed,78592,Suppressed
5147,Suppressed,6910,Suppressed
5149,Suppressed,21951,Suppressed
6001,165,1610921,10.24
6003,0,1116,Unreliable
6005,14,36742,Unreliable
6007,74,224241,33
6009,Suppressed,44624,Suppressed
6011,0,21419,Unreliable
6013,126,1111339,11.34
6015,Suppressed,27212,Suppressed
6017,47,183087,25.67
6019,129,965974,13.35
6021,Suppressed,27955,Suppressed
