FIPS,Deaths,Population,Crude Rate
1001,Suppressed,59759,Suppressed
1003,75,246435,30.43
1005,Suppressed,24706,Suppressed
1007,Suppressed,22005,Suppressed
1009,15,59512,Unreliable
1011,Suppressed,10202,Suppressed
1013,Suppressed,18650,Suppressed
1015,56,115788,48.36
1017,Suppressed,34088,Suppressed
1019,Suppressed,25302,Suppressed
1021,14,45884,Unreliable
1023,Suppressed,12439,Suppressed
1025,Suppressed,22515,Suppressed
1027,Suppressed,14198,Suppressed
1029,0,15346,Unreliable
1031,Suppressed,54805,Suppressed
1033,13,58033,Unreliable
1035,Suppressed,11206,Suppressed
1037,Suppressed,10166,Suppressed
1039,11,37602,Unreliable
1041,Suppressed,13025,Suppressed
1043,31,90665,34.19
1045,10,49544,Unreliable
1047,17,36767,Unreliable
1049,19,71998,Unreliable
1051,10,89563,Unreliable
1053,19,36666,Unreliable
1055,31,103088,30.07
1057,Suppressed,16118,Suppressed
1059,11,31932,Unreliable
1061,Suppressed,26783,Suppressed
1063,0,7422,Unreliable
1065,Suppressed,14595,Suppressed
1067,Suppressed,17655,Suppressed
1069,23,108079,21.28
1071,11,52891,Unreliable
1073,381,665409,57.26
1075,Suppressed,13705,Suppressed
1077,31,95878,32.33
1079,Suppressed,33214,Suppressed
1081,21,180773,11.62
1083,10,110900,Unreliable
1085,Suppressed,9777,Suppressed
1087,Suppressed,18516,Suppressed
1089,110,403565,27.26
1091,Suppressed,18745,Suppressed
1093,Suppressed,29156,Suppressed
1095,29,99423,29.17
1097,120,411411,29.17
1099,Suppressed,19404,Suppressed
1101,43,226361,19
1103,42,124211,33.81
1105,Suppressed,8035,Suppressed
1107,Suppressed,18697,Suppressed
1109,Suppressed,33014,Suppressed
1111,Suppressed,22479,Suppressed
1113,15,58555,Unreliable
1115,42,93932,44.71
1117,63,230115,27.38
1119,0,11853,Unreliable
1121,12,80704,Unreliable
1123,Suppressed,40977,Suppressed
1125,44,236780,18.58
1127,45,64339,69.94
1129,Suppressed,15122,Suppressed
1131,Suppressed,10059,Suppressed
1133,Suppressed,23755,Suppressed
2013,Suppressed,3398,Suppressed
2016,0,5122,Unreliable
2020,128,287145,44.58
2050,Suppressed,18257,Suppressed
2060,Suppressed,865,Suppressed
2068,0,1585,Unreliable
2070,Suppressed,4723,Suppressed
2090,23,95356,24.12
2100,Suppressed,2056,Suppressed
2105,Suppressed,2287,Suppressed
2110,14,31685,Unreliable
2122,17,60690,Unreliable
2130,Suppressed,13741,Suppressed
2150,Suppressed,12720,Suppressed
2164,0,1381,Unreliable
2170,29,113325,25.59
2180,Suppressed,9835,Suppressed
2185,Suppressed,10805,Suppressed
2188,Suppressed,7423,Suppressed
2195,0,3360,Unreliable
2198,0,5650,Unreliable
2220,0,8382,Unreliable
2230,Suppressed,1081,Suppressed
2240,Suppressed,7021,Suppressed
2261,Suppressed,9463,Suppressed
2270,Suppressed,8278,Suppressed
2275,Suppressed,2070,Suppressed
2282,0,700,Unreliable
2290,Suppressed,5179,Suppressed
4001,32,65432,48.91
4003,46,125663,36.61
4005,38,144060,26.38
4007,28,53922,51.93
4009,19,38779,Unreliable
4011,Suppressed,9302,Suppressed
4012,15,16506,Unreliable
4013,1671,4551524,36.71
4015,74,220816,33.51
4017,47,108650,43.26
4019,461,1057597,43.59
4021,109,464154,23.48
4023,Suppressed,48759,Suppressed
4025,73,246191,29.65
4027,43,207842,20.69
5001,0,16512,Unreliable
5003,Suppressed,18354,Suppressed
5005,Suppressed,42435,Suppressed
5007,44,302863,14.53
5009,Suppressed,38284,Suppressed
5011,0,10135,Unreliable
5013,Suppressed,4695,Suppressed
5015,Suppressed,28742,Suppressed
5017,Suppressed,9873,Suppressed
5019,Suppressed,21250,Suppressed
5021,Suppressed,14265,Suppressed
5023,Suppressed,25284,Suppressed
