FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55246,Suppressed
1003,22,195540,11.25
1005,Suppressed,27076,Suppressed
1007,Suppressed,22512,Suppressed
1009,13,57872,Unreliable
1011,0,10639,Unreliable
1013,0,20265,Unreliable
1015,Suppressed,116736,Suppressed
1017,Suppressed,34162,Suppressed
1019,Suppressed,26203,Suppressed
1021,Suppressed,43951,Suppressed
1023,Suppressed,13426,Suppressed
1025,Suppressed,25207,Suppressed
1027,0,13486,Unreliable
1029,Suppressed,14994,Suppressed
1031,Suppressed,50938,Suppressed
1033,Suppressed,54520,Suppressed
1035,Suppressed,12887,Suppressed
1037,Suppressed,10898,Suppressed
1039,0,37886,Unreliable
1041,0,13986,Unreliable
1043,16,80811,Unreliable
1045,Suppressed,49884,Suppressed
1047,Suppressed,41996,Suppressed
1049,23,71013,32.39
1051,Suppressed,80902,Suppressed
1053,13,37983,Unreliable
1055,21,103931,20.21
1057,Suppressed,16909,Suppressed
1059,10,31532,Unreliable
1061,Suppressed,26727,Suppressed
1063,Suppressed,8744,Suppressed
1065,Suppressed,15406,Suppressed
1067,Suppressed,17296,Suppressed
1069,20,103668,19.29
1071,Suppressed,52951,Suppressed
1073,96,659479,14.56
1075,Suppressed,14236,Suppressed
1077,Suppressed,92797,Suppressed
1079,Suppressed,33587,Suppressed
1081,10,150933,Unreliable
1083,Suppressed,88845,Suppressed
1085,0,10703,Unreliable
1087,Suppressed,19688,Suppressed
1089,23,346892,6.63
1091,Suppressed,20155,Suppressed
1093,Suppressed,30334,Suppressed
1095,16,94760,Unreliable
1097,64,414079,15.46
1099,Suppressed,22236,Suppressed
1101,10,226659,Unreliable
1103,18,119787,Unreliable
1105,0,10020,Unreliable
1107,Suppressed,19401,Suppressed
1109,Suppressed,33339,Suppressed
1111,0,22727,Unreliable
1113,Suppressed,59585,Suppressed
1115,22,86308,25.49
1117,30,204180,14.69
1119,Suppressed,13361,Suppressed
1121,11,81096,Unreliable
1123,Suppressed,41203,Suppressed
1125,33,200821,16.43
1127,26,65998,39.4
1129,Suppressed,16877,Suppressed
1131,0,11307,Unreliable
1133,Suppressed,24146,Suppressed
2013,0,3092,Unreliable
2016,Suppressed,5511,Suppressed
2020,49,300950,16.28
2050,0,17758,Unreliable
2060,0,960,Unreliable
2068,Suppressed,1867,Suppressed
2070,Suppressed,5010,Suppressed
2090,12,100436,Unreliable
2100,0,2592,Unreliable
2105,Missing,Missing,Missing
2110,Suppressed,32660,Suppressed
2122,Suppressed,57147,Suppressed
2130,Suppressed,13729,Suppressed
2150,Suppressed,14135,Suppressed
2164,0,1648,Unreliable
2170,12,95192,Unreliable
2180,0,9892,Unreliable
2185,Suppressed,9686,Suppressed
2188,0,7685,Unreliable
2195,Missing,Missing,Missing
2198,Missing,Missing,Missing
2201,0,5786,Unreliable
2220,Suppressed,9020,Suppressed
2230,Missing,Missing,Missing
2232,0,3140,Unreliable
2240,Suppressed,6985,Suppressed
2261,Suppressed,9763,Suppressed
2270,0,7977,Unreliable
2275,Missing,Missing,Missing
