FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55869,Suppressed
1003,27,223234,12.09
1005,Suppressed,24686,Suppressed
1007,Suppressed,22394,Suppressed
1009,10,57826,Unreliable
1011,Suppressed,10101,Suppressed
1013,Suppressed,19448,Suppressed
1015,20,113605,17.6
1017,Suppressed,33254,Suppressed
1019,Suppressed,26196,Suppressed
1021,Suppressed,44428,Suppressed
1023,Suppressed,12589,Suppressed
1025,Suppressed,23622,Suppressed
1027,Suppressed,13235,Suppressed
1029,0,14910,Unreliable
1031,Suppressed,52342,Suppressed
1033,Suppressed,55241,Suppressed
1035,0,12067,Unreliable
1037,0,10663,Unreliable
1039,Suppressed,37049,Suppressed
1041,Suppressed,13772,Suppressed
1043,14,83768,Unreliable
1045,Suppressed,49172,Suppressed
1047,Suppressed,37196,Suppressed
1049,22,71513,30.76
1051,10,81209,Unreliable
1053,14,36633,Unreliable
1055,19,102268,Unreliable
1057,Suppressed,16302,Suppressed
1059,Suppressed,31362,Suppressed
1061,Suppressed,26271,Suppressed
1063,0,8111,Unreliable
1065,0,14651,Unreliable
1067,0,17205,Unreliable
1069,10,105882,Unreliable
1071,Suppressed,51626,Suppressed
1073,193,658573,29.31
1075,0,13805,Unreliable
1077,11,92729,Unreliable
1079,Suppressed,32924,Suppressed
1081,11,164542,Unreliable
1083,Suppressed,98915,Suppressed
1085,0,9726,Unreliable
1087,Suppressed,18068,Suppressed
1089,79,372909,21.18
1091,Suppressed,18863,Suppressed
1093,Suppressed,29709,Suppressed
1095,20,96774,20.67
1097,50,413210,12.1
1099,Suppressed,20733,Suppressed
1101,11,226486,Unreliable
1103,15,119679,Unreliable
1105,Suppressed,8923,Suppressed
1107,Suppressed,19930,Suppressed
1109,Suppressed,33114,Suppressed
1111,Suppressed,22722,Suppressed
1113,19,57961,Unreliable
1115,21,89512,23.46
1117,34,217702,15.62
1119,0,12427,Unreliable
1121,Suppressed,79978,Suppressed
1123,Suppressed,40367,Suppressed
1125,26,209355,12.42
1127,16,63521,Unreliable
1129,0,16326,Unreliable
1131,0,10373,Unreliable
1133,Suppressed,23629,Suppressed
2013,Suppressed,3337,Suppressed
2016,0,5634,Unreliable
2020,52,288000,18.06
2050,Suppressed,18386,Suppressed
2060,0,836,Unreliable
2068,0,2097,Unreliable
2070,Suppressed,4916,Suppressed
2090,19,96849,Unreliable
2100,0,2530,Unreliable
2105,0,2148,Unreliable
2110,Suppressed,31974,Suppressed
2122,11,58708,Unreliable
2130,Suppressed,13901,Suppressed
2150,Suppressed,12998,Suppressed
2164,0,1592,Unreliable
2170,19,108317,Unreliable
2180,Suppressed,10004,Suppressed
2185,Suppressed,9832,Suppressed
2188,Suppressed,7621,Suppressed
2195,0,3266,Unreliable
2198,0,6203,Unreliable
2201,Missing,Missing,Missing
2220,Suppressed,8493,Suppressed
2230,0,1183,Unreliable
2232,Missing,Missing,Missing
2240,0,6893,Unreliable
2261,Suppressed,9202,Suppressed
2270,Suppressed,8314,Suppressed
2275,0,2502,Unreliable
2280,Missing,Missing,Missing
2282,0,579,Unreliable
2290,Suppressed,5230,Suppressed
4001,Suppressed,71887,Suppressed
4003,27,125922,21.44
4005,24,143476,16.73
4007,17,54018,Unreliable
4009,10,38837,Unreliable
4011,Suppressed,9498,Suppressed
4012,Suppressed,21108,Suppressed
4013,1223,4485414,27.27
4015,49,212181,23.09
4017,25,110924,22.54
4019,302,1047279,28.84
4021,83,462789,17.93
4023,Suppressed,46498,Suppressed
4025,87,235099,37.01
4027,43,213787,20.11
5001,Suppressed,17486,Suppressed
5003,Suppressed,19657,Suppressed
5005,Suppressed,41932,Suppressed
5007,28,279141,10.03
5009,Suppressed,37432,Suppressed
5011,Suppressed,10763,Suppressed
5013,0,5189,Unreliable
5015,Suppressed,28380,Suppressed
5017,0,10118,Unreliable
5019,0,22320,Unreliable
5021,Suppressed,14551,Suppressed
5023,Suppressed,24919,Suppressed
5025,Suppressed,7956,Suppressed
5027,Suppressed,23457,Suppressed
5029,Suppressed,20846,Suppressed
5031,Suppressed,110332,Suppressed
5033,Suppressed,63257,Suppressed
5035,Suppressed,47955,Suppressed
5037,Suppressed,16419,Suppressed
5039,Suppressed,7009,Suppressed
5041,Suppressed,11361,Suppressed
5043,Suppressed,18219,Suppressed
5045,18,126007,Unreliable
