FIPS,Deaths,Population,2011 MR
01001,-9.0,55267.0,-9.0
01003,24.0,186717.0,12.85
01005,-9.0,27119.0,-9.0
01007,-9.0,22766.0,-9.0
01009,-9.0,57677.0,-9.0
01011,-9.0,10542.0,-9.0
01013,-9.0,20650.0,-9.0
01015,14.0,117797.0,11.88
01017,-9.0,33939.0,-9.0
01019,-9.0,26057.0,-9.0
01021,-9.0,43895.0,-9.0
01023,0.0,13609.0,0.0
01025,-9.0,25695.0,-9.0
01027,0.0,13862.0,0.0
01029,0.0,14835.0,0.0
01031,-9.0,50526.0,-9.0
01033,-9.0,54512.0,-9.0
01035,-9.0,13105.0,-9.0
01037,-9.0,10713.0,-9.0
01039,-9.0,38058.0,-9.0
01041,-9.0,13911.0,-9.0
01043,10.0,80536.0,12.42
01045,-9.0,50044.0,-9.0
01047,-9.0,43332.0,-9.0
01049,11.0,71375.0,15.41
01051,-9.0,80162.0,-9.0
01053,16.0,38095.0,42.0
01055,15.0,104303.0,14.38
01057,-9.0,17182.0,-9.0
01059,-9.0,31884.0,-9.0
01061,-9.0,26781.0,-9.0
01063,0.0,8921.0,0.0
01065,-9.0,15421.0,-9.0
01067,0.0,17412.0,0.0
01069,13.0,102369.0,12.7
01071,-9.0,53291.0,-9.0
01073,85.0,658931.0,12.9
01075,-9.0,14311.0,-9.0
01077,12.0,92781.0,12.93
01079,-9.0,34117.0,-9.0
01081,-9.0,143468.0,-9.0
01083,10.0,85369.0,11.71
01085,-9.0,11147.0,-9.0
01087,-9.0,21182.0,-9.0
01089,30.0,340111.0,8.82
01091,0.0,20692.0,0.0
01093,-9.0,30663.0,-9.0
01095,-9.0,94166.0,-9.0
01097,48.0,412577.0,11.63
01099,-9.0,22760.0,-9.0
01101,-9.0,232032.0,-9.0
01103,16.0,119953.0,13.34
01105,0.0,10373.0,0.0
01107,-9.0,19349.0,-9.0
01109,-9.0,32915.0,-9.0
01111,-9.0,22787.0,-9.0
01113,-9.0,54572.0,-9.0
01115,18.0,84398.0,21.33
01117,27.0,197936.0,13.64
01119,0.0,13478.0,0.0
01121,-9.0,81664.0,-9.0
01123,-9.0,41623.0,-9.0
01125,22.0,197211.0,11.16
01127,37.0,66661.0,55.5
01129,0.0,17344.0,0.0
01131,-9.0,11482.0,-9.0
01133,-9.0,24327.0,-9.0
02013,0.0,3172.0,0.0
02016,0.0,5504.0,0.0
02020,52.0,295570.0,17.59
02050,0.0,17416.0,0.0
02060,0.0,1030.0,0.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1855.0,0.0
02070,-9.0,4975.0,-9.0
02090,10.0,99192.0,10.08
02100,0.0,2554.0,0.0
02105,-9.0,-9.0,-9.0
02110,-9.0,32164.0,-9.0
02122,-9.0,56293.0,-9.0
02130,-9.0,13593.0,-9.0
02150,-9.0,13872.0,-9.0
02158,,,-9.0
02164,0.0,1668.0,0.0
02170,19.0,91946.0,20.66
02180,0.0,9856.0,0.0
02185,0.0,9503.0,0.0
02188,0.0,7733.0,0.0
02195,-9.0,-9.0,-9.0
02198,-9.0,-9.0,-9.0
02220,0.0,8952.0,0.0
02230,-9.0,-9.0,-9.0
02240,-9.0,7132.0,-9.0
02275,-9.0,-9.0,-9.0
02282,0.0,646.0,0.0
02290,-9.0,5656.0,-9.0
04001,-9.0,72401.0,-9.0
04003,-9.0,133289.0,-9.0
04005,22.0,134511.0,16.36
04007,-9.0,53144.0,-9.0
04009,-9.0,37147.0,-9.0
04011,-9.0,8606.0,-9.0
04012,-9.0,20419.0,-9.0
04013,627.0,3880244.0,16.16
04015,57.0,202351.0,28.17
04017,17.0,107398.0,15.83
04019,193.0,989569.0,19.5
04021,44.0,382992.0,11.49
04023,0.0,47676.0,0.0
04025,59.0,211888.0,27.84
04027,23.0,200870.0,11.45
05001,-9.0,18892.0,-9.0
05003,-9.0,21692.0,-9.0
05005,-9.0,41536.0,-9.0
05007,28.0,227556.0,12.3
05009,-9.0,37051.0,-9.0
05011,-9.0,11482.0,-9.0
05013,0.0,5144.0,0.0
05015,-9.0,27512.0,-9.0
05017,0.0,11721.0,0.0
05019,0.0,22858.0,0.0
05021,-9.0,15880.0,-9.0
05023,-9.0,25901.0,-9.0
05025,-9.0,8672.0,-9.0
05027,-9.0,24401.0,-9.0
05029,-9.0,21270.0,-9.0
05031,13.0,98315.0,13.22
05033,19.0,61944.0,30.67
05035,-9.0,50525.0,-9.0
05037,-9.0,17781.0,-9.0
05039,0.0,8072.0,0.0
05041,0.0,12763.0,0.0
05043,-9.0,18467.0,-9.0
05045,14.0,116342.0,12.03
05047,-9.0,18047.0,-9.0
05049,-9.0,12296.0,-9.0
05051,21.0,97124.0,21.62
05053,-9.0,17988.0,-9.0
05055,-9.0,42720.0,-9.0
05057,-9.0,22541.0,-9.0
05059,-9.0,32881.0,-9.0
05061,-9.0,13886.0,-9.0
05063,-9.0,36861.0,-9.0
05065,0.0,13419.0,0.0
05067,-9.0,17866.0,-9.0
05069,-9.0,76246.0,-9.0
05071,-9.0,25742.0,-9.0
05073,-9.0,7516.0,-9.0
05075,-9.0,17178.0,-9.0
05077,0.0,10326.0,0.0
05079,0.0,14006.0,0.0
05081,-9.0,12996.0,-9.0
05083,-9.0,22290.0,-9.0
05085,-9.0,69341.0,-9.0
05087,-9.0,15776.0,-9.0
05089,-9.0,16573.0,-9.0
05091,-9.0,43759.0,-9.0
05093,-9.0,45966.0,-9.0
05095,-9.0,8075.0,-9.0
05097,-9.0,9433.0,-9.0
05099,0.0,9017.0,0.0
05101,-9.0,8264.0,-9.0
05103,-9.0,25880.0,-9.0
05105,0.0,10405.0,0.0
05107,0.0,21442.0,0.0
05109,0.0,11259.0,0.0
05111,-9.0,24514.0,-9.0
05113,-9.0,20610.0,-9.0
05115,10.0,62331.0,16.04
05117,-9.0,8618.0,-9.0
05119,41.0,386299.0,10.61
05121,-9.0,18017.0,-9.0
05123,-9.0,27970.0,-9.0
05125,15.0,109526.0,13.7
05127,-9.0,11272.0,-9.0
05129,-9.0,8036.0,-9.0
05131,18.0,127127.0,14.16
05133,-9.0,17293.0,-9.0
05135,-9.0,17380.0,-9.0
05137,0.0,12603.0,0.0
05139,-9.0,41427.0,-9.0
05141,-9.0,17083.0,-9.0
05143,19.0,207521.0,9.16
05145,-9.0,78167.0,-9.0
05147,-9.0,7229.0,-9.0
05149,-9.0,22060.0,-9.0
06001,168.0,1529875.0,10.98
06003,0.0,1102.0,0.0
06005,10.0,37953.0,26.35
06007,84.0,220266.0,38.14
06009,15.0,45052.0,33.29
06011,-9.0,21549.0,-9.0
06013,122.0,1066096.0,11.44
06015,-9.0,28659.0,-9.0
06017,35.0,180938.0,19.34
06019,90.0,942904.0,9.54
06021,-9.0,28128.0,-9.0
06023,57.0,134761.0,42.3
06025,23.0,177057.0,12.99
06027,-9.0,18478.0,-9.0
06029,151.0,851710.0,17.73
06031,14.0,153765.0,9.1
06033,34.0,64323.0,52.86
06035,13.0,34200.0,38.01
06037,684.0,9889056.0,6.92
06039,24.0,152925.0,15.69
06041,21.0,255031.0,8.23
06043,-9.0,18191.0,-9.0
06045,17.0,87553.0,19.42
06047,34.0,259898.0,13.08
06049,-9.0,9517.0,-9.0
06051,-9.0,14309.0,-9.0
06053,47.0,421898.0,11.14
06055,18.0,138088.0,13.04
06057,14.0,98612.0,14.2
06059,319.0,3055745.0,10.44
06061,26.0,357138.0,7.28
06063,-9.0,19765.0,-9.0
06065,254.0,2239620.0,11.34
06067,213.0,1436105.0,14.83
06069,-9.0,56072.0,-9.0
06071,111.0,2065377.0,5.37
06073,415.0,3140069.0,13.22
06075,194.0,812826.0,23.87
06077,134.0,696214.0,19.25
06079,42.0,271969.0,15.44
06081,66.0,727209.0,9.08
06083,42.0,426878.0,9.84
06085,144.0,1809378.0,7.96
06087,56.0,264298.0,21.19
06089,53.0,177774.0,29.81
06091,-9.0,3113.0,-9.0
06093,12.0,44507.0,26.96
