FIPS,Deaths,Population,2012 MR
01001,-9.0,55514.0,-9.0
01003,34.0,190790.0,17.82
01005,0.0,27201.0,0.0
01007,-9.0,22597.0,-9.0
01009,17.0,57826.0,29.4
01011,-9.0,10474.0,-9.0
01013,-9.0,20307.0,-9.0
01015,-9.0,117296.0,-9.0
01017,-9.0,34064.0,-9.0
01019,-9.0,26021.0,-9.0
01021,-9.0,43819.0,-9.0
01023,-9.0,13633.0,-9.0
01025,-9.0,25161.0,-9.0
01027,-9.0,13435.0,-9.0
01029,-9.0,14832.0,-9.0
01031,-9.0,51252.0,-9.0
01033,-9.0,54446.0,-9.0
01035,0.0,12981.0,0.0
01037,-9.0,10966.0,-9.0
01039,-9.0,37955.0,-9.0
01041,0.0,14083.0,0.0
01043,12.0,80440.0,14.92
01045,-9.0,50444.0,-9.0
01047,-9.0,42864.0,-9.0
01049,16.0,71080.0,22.51
01051,-9.0,80629.0,-9.0
01053,-9.0,37994.0,-9.0
01055,-9.0,104392.0,-9.0
01057,-9.0,16983.0,-9.0
01059,-9.0,31761.0,-9.0
01061,-9.0,26931.0,-9.0
01063,-9.0,8876.0,-9.0
01065,0.0,15388.0,0.0
01067,-9.0,17287.0,-9.0
01069,10.0,103402.0,9.67
01071,13.0,53019.0,24.52
01073,72.0,660009.0,10.91
01075,-9.0,14259.0,-9.0
01077,-9.0,92542.0,-9.0
01079,-9.0,33838.0,-9.0
01081,10.0,147257.0,6.79
01083,-9.0,87654.0,-9.0
01085,0.0,10857.0,0.0
01087,-9.0,20535.0,-9.0
01089,28.0,343080.0,8.16
01091,-9.0,20401.0,-9.0
01093,-9.0,30327.0,-9.0
01095,14.0,94776.0,14.77
01097,59.0,413936.0,14.25
01099,-9.0,22602.0,-9.0
01101,17.0,230149.0,7.39
01103,20.0,120395.0,16.61
01105,0.0,10181.0,0.0
01107,0.0,19405.0,0.0
01109,-9.0,33182.0,-9.0
01111,-9.0,22675.0,-9.0
01113,-9.0,57820.0,-9.0
01115,10.0,85237.0,11.73
01117,38.0,200941.0,18.91
01119,0.0,13427.0,0.0
01121,10.0,81762.0,12.23
01123,-9.0,41168.0,-9.0
01125,31.0,198596.0,15.61
01127,23.0,66221.0,34.73
01129,0.0,17109.0,0.0
01131,-9.0,11431.0,-9.0
01133,-9.0,24108.0,-9.0
02013,-9.0,3161.0,-9.0
02016,-9.0,5547.0,-9.0
02020,62.0,298610.0,20.76
02050,-9.0,17746.0,-9.0
