FIPS,Deaths,Population,2020 MR
01001,-9.0,56145.0,-9.0
01003,63.0,229287.0,27.48
01005,-9.0,24589.0,-9.0
01007,-9.0,22136.0,-9.0
01009,11.0,57879.0,19.01
01011,-9.0,9976.0,-9.0
01013,-9.0,19504.0,-9.0
01015,29.0,113469.0,25.56
01017,-9.0,32865.0,-9.0
01019,-9.0,26294.0,-9.0
01021,-9.0,44397.0,-9.0
01023,0.0,12418.0,0.0
01025,-9.0,23291.0,-9.0
01027,-9.0,13112.0,-9.0
01029,-9.0,14967.0,-9.0
01031,-9.0,53230.0,-9.0
01033,-9.0,55411.0,-9.0
01035,-9.0,11851.0,-9.0
01037,0.0,10650.0,0.0
01039,-9.0,36930.0,-9.0
01041,-9.0,13681.0,-9.0
01043,16.0,84515.0,18.93
01045,-9.0,48959.0,-9.0
01047,0.0,36098.0,0.0
01049,18.0,71658.0,25.12
01051,10.0,82158.0,12.17
01053,10.0,36281.0,27.56
01055,20.0,102371.0,19.54
01057,-9.0,16241.0,-9.0
01059,-9.0,31507.0,-9.0
01061,-9.0,26411.0,-9.0
01063,0.0,7990.0,0.0
01065,-9.0,14670.0,-9.0
01067,-9.0,17223.0,-9.0
01069,16.0,106580.0,15.01
01071,-9.0,51582.0,-9.0
01073,267.0,655342.0,40.74
01075,-9.0,13764.0,-9.0
01077,-9.0,93368.0,-9.0
01079,-9.0,32857.0,-9.0
01081,20.0,166831.0,11.99
01083,-9.0,102228.0,-9.0
01085,0.0,9641.0,0.0
01087,0.0,17895.0,0.0
01089,99.0,379453.0,26.09
01091,-9.0,18733.0,-9.0
01093,-9.0,29703.0,-9.0
01095,17.0,96990.0,17.53
01097,95.0,412716.0,23.02
01099,-9.0,20459.0,-9.0
01101,30.0,224639.0,13.35
01103,26.0,119883.0,21.69
01105,-9.0,8687.0,-9.0
01107,-9.0,19793.0,-9.0
01109,-9.0,32966.0,-9.0
01111,-9.0,22920.0,-9.0
01113,14.0,58237.0,24.04
01115,28.0,90739.0,30.86
01117,45.0,221428.0,20.32
01119,0.0,12225.0,0.0
