FIPS,Deaths,Population,2018 MR
01001,-9.0,55601.0,-9.0
01003,28.0,218022.0,12.84
01005,0.0,24881.0,0.0
01007,-9.0,22400.0,-9.0
01009,10.0,57840.0,17.29
01011,0.0,10138.0,0.0
01013,0.0,19680.0,0.0
01015,17.0,114277.0,14.88
01017,-9.0,33615.0,-9.0
01019,-9.0,26032.0,-9.0
01021,-9.0,44153.0,-9.0
01023,0.0,12841.0,0.0
01025,-9.0,23920.0,-9.0
01027,-9.0,13275.0,-9.0
01029,0.0,14987.0,0.0
01031,-9.0,51909.0,-9.0
01033,-9.0,54762.0,-9.0
01035,-9.0,12277.0,-9.0
01037,-9.0,10715.0,-9.0
01039,-9.0,36986.0,-9.0
01041,-9.0,13824.0,-9.0
01043,19.0,83442.0,22.77
01045,-9.0,48956.0,-9.0
01047,-9.0,38310.0,-9.0
01049,15.0,71385.0,21.01
01051,-9.0,81887.0,-9.0
01053,12.0,36748.0,32.65
01055,28.0,102501.0,27.32
01057,-9.0,16433.0,-9.0
01059,-9.0,31363.0,-9.0
01061,-9.0,26314.0,-9.0
01063,0.0,8233.0,0.0
01065,-9.0,14726.0,-9.0
01067,0.0,17209.0,0.0
01069,18.0,104722.0,17.19
01071,-9.0,51736.0,-9.0
01073,186.0,659300.0,28.21
01075,0.0,13844.0,0.0
01077,14.0,92387.0,15.15
01079,-9.0,32957.0,-9.0
01081,11.0,163941.0,6.71
01083,-9.0,96174.0,-9.0
01085,0.0,9974.0,0.0
01087,-9.0,18439.0,-9.0
01089,47.0,366519.0,12.82
01091,-9.0,19066.0,-9.0
01093,0.0,29763.0,0.0
01095,17.0,96109.0,17.69
01097,59.0,413757.0,14.26
01099,-9.0,21067.0,-9.0
01101,18.0,225763.0,7.97
01103,22.0,119089.0,18.47
01105,0.0,9140.0,0.0
01107,-9.0,19938.0,-9.0
01109,-9.0,33338.0,-9.0
01111,-9.0,22725.0,-9.0
01113,10.0,57781.0,17.31
01115,27.0,88690.0,30.44
01117,37.0,215707.0,17.15
01119,0.0,12691.0,0.0
01121,16.0,79828.0,20.04
01123,-9.0,40497.0,-9.0
01125,27.0,208911.0,12.92
01127,10.0,63711.0,15.7
01129,-9.0,16378.0,-9.0
01131,-9.0,10627.0,-9.0
01133,-9.0,23660.0,-9.0
