FIPS,Deaths,Population,2022 MR
01001,-9.0,59759.0,-9.0
01003,75.0,246435.0,30.43
01005,-9.0,24706.0,-9.0
01007,-9.0,22005.0,-9.0
01009,15.0,59512.0,25.21
01011,-9.0,10202.0,-9.0
01013,-9.0,18650.0,-9.0
01015,56.0,115788.0,48.36
01017,-9.0,34088.0,-9.0
01019,-9.0,25302.0,-9.0
01021,14.0,45884.0,30.51
01023,-9.0,12439.0,-9.0
01025,-9.0,22515.0,-9.0
01027,-9.0,14198.0,-9.0
01029,0.0,15346.0,0.0
01031,-9.0,54805.0,-9.0
01033,13.0,58033.0,22.4
01035,-9.0,11206.0,-9.0
01037,-9.0,10166.0,-9.0
01039,11.0,37602.0,29.25
01041,-9.0,13025.0,-9.0
01043,31.0,90665.0,34.19
01045,10.0,49544.0,20.18
01047,17.0,36767.0,46.24
01049,19.0,71998.0,26.39
01051,10.0,89563.0,11.17
01053,19.0,36666.0,51.82
01055,31.0,103088.0,30.07
01057,-9.0,16118.0,-9.0
01059,11.0,31932.0,34.45
01061,-9.0,26783.0,-9.0
01063,0.0,7422.0,0.0
01065,-9.0,14595.0,-9.0
01067,-9.0,17655.0,-9.0
01069,23.0,108079.0,21.28
01071,11.0,52891.0,20.8
01073,381.0,665409.0,57.26
01075,-9.0,13705.0,-9.0
01077,31.0,95878.0,32.33
01079,-9.0,33214.0,-9.0
01081,21.0,180773.0,11.62
01083,10.0,110900.0,9.02
01085,-9.0,9777.0,-9.0
01087,-9.0,18516.0,-9.0
01089,110.0,403565.0,27.26
01091,-9.0,18745.0,-9.0
01093,-9.0,29156.0,-9.0
01095,29.0,99423.0,29.17
01097,120.0,411411.0,29.17
01099,-9.0,19404.0,-9.0
01101,43.0,226361.0,19.0
01103,42.0,124211.0,33.81
01105,-9.0,8035.0,-9.0
01107,-9.0,18697.0,-9.0
01109,-9.0,33014.0,-9.0
01111,-9.0,22479.0,-9.0
01113,15.0,58555.0,25.62
01115,42.0,93932.0,44.71
01117,63.0,230115.0,27.38
01119,0.0,11853.0,0.0
01121,12.0,80704.0,14.87
01123,-9.0,40977.0,-9.0
01125,44.0,236780.0,18.58
01127,45.0,64339.0,69.94
01129,-9.0,15122.0,-9.0
01131,-9.0,10059.0,-9.0
01133,-9.0,23755.0,-9.0
02013,-9.0,3398.0,-9.0
02016,0.0,5122.0,0.0
02020,128.0,287145.0,44.58
02050,-9.0,18257.0,-9.0
02060,-9.0,865.0,-9.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1585.0,0.0
02070,-9.0,4723.0,-9.0
02090,23.0,95356.0,24.12
02100,-9.0,2056.0,-9.0
02105,-9.0,2287.0,-9.0
02110,14.0,31685.0,44.18
02122,17.0,60690.0,28.01
02130,-9.0,13741.0,-9.0
02150,-9.0,12720.0,-9.0
02158,,,-9.0
02164,0.0,1381.0,0.0
02170,29.0,113325.0,25.59
02180,-9.0,9835.0,-9.0
02185,-9.0,10805.0,-9.0
02188,-9.0,7423.0,-9.0
02195,0.0,3360.0,0.0
02198,0.0,5650.0,0.0
02220,0.0,8382.0,0.0
02230,-9.0,1081.0,-9.0
02240,-9.0,7021.0,-9.0
02275,-9.0,2070.0,-9.0
02282,0.0,700.0,0.0
02290,-9.0,5179.0,-9.0
04001,32.0,65432.0,48.91
04003,46.0,125663.0,36.61
04005,38.0,144060.0,26.38
04007,28.0,53922.0,51.93
04009,19.0,38779.0,49.0
04011,-9.0,9302.0,-9.0
04012,15.0,16506.0,90.88
04013,1671.0,4551524.0,36.71
04015,74.0,220816.0,33.51
04017,47.0,108650.0,43.26
04019,461.0,1057597.0,43.59
04021,109.0,464154.0,23.48
04023,-9.0,48759.0,-9.0
04025,73.0,246191.0,29.65
04027,43.0,207842.0,20.69
05001,0.0,16512.0,0.0
05003,-9.0,18354.0,-9.0
05005,-9.0,42435.0,-9.0
05007,44.0,302863.0,14.53
05009,-9.0,38284.0,-9.0
05011,0.0,10135.0,0.0
05013,-9.0,4695.0,-9.0
05015,-9.0,28742.0,-9.0
05017,-9.0,9873.0,-9.0
05019,-9.0,21250.0,-9.0
05021,-9.0,14265.0,-9.0
05023,-9.0,25284.0,-9.0
05025,-9.0,7467.0,-9.0
05027,-9.0,22216.0,-9.0
05029,-9.0,21046.0,-9.0
05031,17.0,113017.0,15.04
05033,17.0,61075.0,27.83
05035,12.0,47061.0,25.5
05037,-9.0,16601.0,-9.0
05039,0.0,6191.0,0.0
05041,-9.0,10771.0,-9.0
05043,-9.0,16911.0,-9.0
05045,21.0,127665.0,16.45
05047,-9.0,17271.0,-9.0
05049,-9.0,12382.0,-9.0
05051,38.0,100089.0,37.97
05053,-9.0,18160.0,-9.0
05055,-9.0,46448.0,-9.0
05057,-9.0,19453.0,-9.0
05059,-9.0,33203.0,-9.0
05061,-9.0,12557.0,-9.0
05063,-9.0,37945.0,-9.0
05065,-9.0,14048.0,-9.0
05067,-9.0,16624.0,-9.0
05069,15.0,64246.0,23.35
05071,-9.0,26001.0,-9.0
05073,0.0,6101.0,0.0
05075,0.0,16205.0,0.0
05077,-9.0,8364.0,-9.0
05079,-9.0,12916.0,-9.0
05081,-9.0,11821.0,-9.0
05083,-9.0,21253.0,-9.0
05085,13.0,75225.0,17.28
05087,-9.0,17486.0,-9.0
05089,-9.0,17254.0,-9.0
05091,-9.0,42552.0,-9.0
05093,12.0,38896.0,30.85
05095,-9.0,6564.0,-9.0
05097,0.0,8556.0,0.0
05099,0.0,8181.0,0.0
05101,0.0,7078.0,0.0
05103,-9.0,22049.0,-9.0
05105,-9.0,10063.0,-9.0
05107,-9.0,15304.0,-9.0
05109,-9.0,10179.0,-9.0
05111,-9.0,22495.0,-9.0
05113,-9.0,19337.0,-9.0
05115,-9.0,64065.0,-9.0
05117,-9.0,8069.0,-9.0
05119,138.0,399145.0,34.57
05121,-9.0,18837.0,-9.0
05123,-9.0,22451.0,-9.0
05125,24.0,127357.0,18.84
05127,0.0,9805.0,0.0
05129,0.0,7918.0,0.0
05131,37.0,129059.0,28.67
05133,-9.0,15686.0,-9.0
05135,-9.0,17810.0,-9.0
05137,-9.0,12575.0,-9.0
05139,-9.0,37752.0,-9.0
05141,-9.0,16102.0,-9.0
05143,43.0,256054.0,16.79
05145,21.0,77755.0,27.01
05147,0.0,6049.0,0.0
05149,-9.0,20129.0,-9.0
06001,331.0,1628997.0,20.32
06003,-9.0,1190.0,-9.0
06005,-9.0,41412.0,-9.0
06007,111.0,207303.0,53.54
06009,-9.0,46563.0,-9.0
06011,-9.0,21914.0,-9.0
06013,253.0,1156966.0,21.87
06015,29.0,27082.0,107.08
06017,48.0,192646.0,24.92
06019,223.0,1015190.0,21.97
06021,11.0,28339.0,38.82
06023,91.0,135010.0,67.4
06025,31.0,178713.0,17.35
06027,-9.0,18718.0,-9.0
06029,491.0,916108.0,53.6
06031,31.0,152981.0,20.26
06033,61.0,68191.0,89.45
06035,19.0,29904.0,63.54
06037,2440.0,9721138.0,25.1
06039,30.0,160256.0,18.72
06041,63.0,256018.0,24.61
06043,-9.0,17020.0,-9.0
06045,65.0,89783.0,72.4
06047,71.0,290014.0,24.48
06049,-9.0,8511.0,-9.0
06051,-9.0,12978.0,-9.0
06053,90.0,432858.0,20.79
06055,35.0,134300.0,26.06
06057,34.0,102293.0,33.24
06059,809.0,3151184.0,25.67
06061,88.0,417772.0,21.06
06063,-9.0,19351.0,-9.0
06065,875.0,2473902.0,35.37
06067,562.0,1584169.0,35.48
06069,16.0,67579.0,23.68
06071,515.0,2193656.0,23.48
06073,997.0,3276208.0,30.43
06075,475.0,808437.0,58.76
06077,176.0,793229.0,22.19
06079,92.0,282013.0,32.62
06081,113.0,729181.0,15.5
06083,129.0,443837.0,29.06
06085,363.0,1870945.0,19.4
06087,93.0,264370.0,35.18
06089,66.0,180930.0,36.48
06091,0.0,3217.0,0.0
06093,23.0,43660.0,52.68
06095,134.0,448747.0,29.86
06097,120.0,482650.0,24.86
06099,181.0,551275.0,32.83
06101,38.0,98503.0,38.58
06103,29.0,65245.0,44.45
06105,-9.0,15781.0,-9.0
06107,103.0,477544.0,21.57
06109,20.0,54531.0,36.68
06111,247.0,832605.0,29.67
06113,45.0,222115.0,20.26
06115,39.0,84310.0,46.26
08001,196.0,527575.0,37.15
08003,-9.0,16592.0,-9.0
08005,181.0,655808.0,27.6
08007,-9.0,14003.0,-9.0
08009,0.0,3432.0,0.0
08011,-9.0,5399.0,-9.0
08013,63.0,327468.0,19.24
08014,13.0,76121.0,17.08
08015,-9.0,20223.0,-9.0
08017,0.0,1732.0,0.0
08019,-9.0,9355.0,-9.0
08021,-9.0,7579.0,-9.0
08023,-9.0,3603.0,-9.0
08025,-9.0,5614.0,-9.0
08027,0.0,5335.0,0.0
08029,-9.0,31602.0,-9.0
08031,299.0,713252.0,41.92
08033,0.0,2455.0,0.0
08035,43.0,375988.0,11.44
08037,-9.0,55285.0,-9.0
08039,-9.0,27799.0,-9.0
08041,373.0,740567.0,50.37
08043,21.0,49621.0,42.32
08045,12.0,62271.0,19.27
08047,0.0,5891.0,0.0
08049,11.0,15769.0,69.76
08051,-9.0,17267.0,-9.0
08053,0.0,775.0,0.0
08055,-9.0,7082.0,-9.0
08057,0.0,1302.0,0.0
08059,171.0,576143.0,29.68
08061,0.0,1424.0,0.0
08063,0.0,6961.0,0.0
08065,-9.0,7327.0,-9.0
08067,19.0,56607.0,33.56
08069,66.0,366778.0,17.99
08071,-9.0,14327.0,-9.0
08073,-9.0,5510.0,-9.0
08075,-9.0,20823.0,-9.0
08077,39.0,158636.0,24.58
08079,0.0,931.0,0.0
08081,-9.0,13177.0,-9.0
08083,-9.0,26468.0,-9.0
08085,17.0,43811.0,38.8
08087,-9.0,29239.0,-9.0
08089,-9.0,18303.0,-9.0
08091,0.0,5100.0,0.0
08093,-9.0,17939.0,-9.0
08095,-9.0,4449.0,-9.0
08097,-9.0,16876.0,-9.0
08099,-9.0,11854.0,-9.0
08101,79.0,169544.0,46.6
08103,-9.0,6569.0,-9.0
08105,-9.0,11325.0,-9.0
08107,-9.0,25007.0,-9.0
08109,-9.0,6623.0,-9.0
08111,0.0,803.0,0.0
08113,-9.0,8003.0,-9.0
08115,0.0,2295.0,0.0
08117,-9.0,30565.0,-9.0
08119,-9.0,24857.0,-9.0
08121,0.0,4812.0,0.0
08123,75.0,350176.0,21.42
08125,0.0,9899.0,0.0
09110,,,-9.0
09120,,,-9.0
09130,,,-9.0
09140,,,-9.0
09150,,,-9.0
09160,,,-9.0
09170,,,-9.0
09180,,,-9.0
09190,,,-9.0
10001,95.0,186946.0,50.82
10003,324.0,575494.0,56.3
10005,130.0,255956.0,50.79
11001,451.0,671803.0,67.13
12001,63.0,284030.0,22.18
12003,15.0,27803.0,53.95
12005,62.0,185134.0,33.49
12007,-9.0,27313.0,-9.0
12009,182.0,630693.0,28.86
12011,659.0,1947026.0,33.85
12013,-9.0,13464.0,-9.0
12015,58.0,202661.0,28.62
12017,76.0,162529.0,46.76
12019,72.0,226589.0,31.78
12021,117.0,397994.0,29.4
12023,19.0,71908.0,26.42
12027,-9.0,35312.0,-9.0
12029,-9.0,17124.0,-9.0
12031,519.0,1016536.0,51.06
12033,243.0,324878.0,74.8
12035,43.0,126705.0,33.94
12037,-9.0,12498.0,-9.0
12039,13.0,43403.0,29.95
12041,-9.0,18992.0,-9.0
12043,-9.0,12454.0,-9.0
12045,-9.0,15314.0,-9.0
12047,-9.0,13217.0,-9.0
12049,-9.0,25645.0,-9.0
12051,10.0,41339.0,24.19
12053,99.0,206896.0,47.85
12055,31.0,105618.0,29.35
12057,570.0,1513301.0,37.67
12059,-9.0,19651.0,-9.0
12061,50.0,167352.0,29.88
12063,-9.0,48211.0,-9.0
12065,-9.0,15042.0,-9.0
12067,-9.0,7786.0,-9.0
12069,141.0,410139.0,34.38
12071,318.0,822453.0,38.66
12073,50.0,297369.0,16.81
12075,17.0,45260.0,37.56
12077,-9.0,7603.0,-9.0
12079,-9.0,18198.0,-9.0
12081,155.0,429125.0,36.12
12083,209.0,396415.0,52.72
12085,38.0,162006.0,23.46
12086,378.0,2673837.0,14.14
12087,36.0,81708.0,44.06
12089,38.0,97899.0,38.82
12091,117.0,216482.0,54.05
12093,20.0,40412.0,49.49
12095,376.0,1452726.0,25.88
12097,114.0,422545.0,26.98
12099,496.0,1518477.0,32.66
12101,334.0,608794.0,54.86
12103,540.0,961739.0,56.15
12105,236.0,787404.0,29.97
12107,24.0,74731.0,32.12
12109,63.0,306841.0,20.53
12111,107.0,358704.0,29.83
12113,70.0,198268.0,35.31
12115,129.0,462286.0,27.9
12117,138.0,478772.0,28.82
12119,37.0,144970.0,25.52
12121,16.0,45411.0,35.23
12123,-9.0,21283.0,-9.0
12125,-9.0,15460.0,-9.0
12127,319.0,579192.0,55.08
12129,12.0,35178.0,34.11
12131,31.0,83304.0,37.21
12133,-9.0,25414.0,-9.0
13001,-9.0,18428.0,-9.0
13003,-9.0,8183.0,-9.0
13005,-9.0,11191.0,-9.0
13007,-9.0,2788.0,-9.0
13009,-9.0,43635.0,-9.0
13011,-9.0,19328.0,-9.0
13013,38.0,89299.0,42.55
13015,40.0,112816.0,35.46
13017,-9.0,17069.0,-9.0
13019,-9.0,18214.0,-9.0
13021,33.0,156197.0,21.13
13023,-9.0,12257.0,-9.0
13025,-9.0,18183.0,-9.0
13027,-9.0,16253.0,-9.0
13029,11.0,48225.0,22.81
13031,-9.0,83059.0,-9.0
13033,-9.0,24388.0,-9.0
13035,-9.0,26649.0,-9.0
13037,0.0,5469.0,0.0
13039,14.0,57013.0,24.56
13043,-9.0,11000.0,-9.0
13045,49.0,124592.0,39.33
13047,25.0,68826.0,36.32
13049,-9.0,12781.0,-9.0
13051,90.0,301107.0,29.89
13053,-9.0,8819.0,-9.0
13055,-9.0,24936.0,-9.0
13057,56.0,281278.0,19.91
13059,37.0,129875.0,28.49
13061,0.0,2845.0,0.0
13063,58.0,296564.0,19.56
13065,-9.0,6662.0,-9.0
13067,181.0,771952.0,23.45
13069,-9.0,43172.0,-9.0
13071,-9.0,45762.0,-9.0
13073,41.0,162419.0,25.24
13075,-9.0,17404.0,-9.0
13077,28.0,152882.0,18.31
13079,-9.0,12140.0,-9.0
13081,10.0,19708.0,50.74
13083,-9.0,16081.0,-9.0
13085,-9.0,30138.0,-9.0
13087,-9.0,28982.0,-9.0
13089,175.0,762820.0,22.94
13091,-9.0,19802.0,-9.0
13093,-9.0,10572.0,-9.0
13095,32.0,82966.0,38.57
13097,31.0,147316.0,21.04
13099,-9.0,10574.0,-9.0
13101,-9.0,3686.0,-9.0
13103,15.0,69041.0,21.73
13105,-9.0,19814.0,-9.0
13107,-9.0,22929.0,-9.0
13109,-9.0,10695.0,-9.0
13111,12.0,25737.0,46.63
13113,12.0,122030.0,9.83
13115,29.0,99443.0,29.16
13117,50.0,267237.0,18.71
13119,-9.0,24128.0,-9.0
13121,291.0,1074634.0,27.08
13123,-9.0,32407.0,-9.0
13125,-9.0,2939.0,-9.0
13127,30.0,85079.0,35.26
13129,17.0,58954.0,28.84
13131,-9.0,26008.0,-9.0
13133,-9.0,20139.0,-9.0
13135,176.0,975353.0,18.04
13137,12.0,47475.0,25.28
13139,74.0,212692.0,34.79
13141,-9.0,8387.0,-9.0
13143,11.0,31337.0,35.1
13145,-9.0,36276.0,-9.0
13147,-9.0,26909.0,-9.0
13149,-9.0,11725.0,-9.0
13151,53.0,248364.0,21.34
13153,42.0,169631.0,24.76
13155,-9.0,9126.0,-9.0
13157,14.0,83936.0,16.68
13159,-9.0,15951.0,-9.0
