FIPS,Deaths,Population,2015 MR
01001,-9.0,55347.0,-9.0
01003,43.0,203709.0,21.11
01005,0.0,26489.0,0.0
01007,-9.0,22583.0,-9.0
01009,11.0,57673.0,19.07
01011,-9.0,10696.0,-9.0
01013,-9.0,20154.0,-9.0
01015,20.0,115620.0,17.3
01017,-9.0,34123.0,-9.0
01019,-9.0,25859.0,-9.0
01021,-9.0,43943.0,-9.0
01023,-9.0,13170.0,-9.0
01025,-9.0,24675.0,-9.0
01027,-9.0,13555.0,-9.0
01029,-9.0,15018.0,-9.0
01031,-9.0,51211.0,-9.0
01033,-9.0,54354.0,-9.0
01035,-9.0,12672.0,-9.0
01037,-9.0,10724.0,-9.0
01039,-9.0,37835.0,-9.0
01041,-9.0,13963.0,-9.0
01043,16.0,82005.0,19.51
01045,-9.0,49565.0,-9.0
01047,-9.0,41131.0,-9.0
01049,19.0,71130.0,26.71
01051,-9.0,81468.0,-9.0
01053,-9.0,37789.0,-9.0
01055,22.0,103057.0,21.35
01057,-9.0,16759.0,-9.0
01059,-9.0,31696.0,-9.0
01061,-9.0,26777.0,-9.0
01063,0.0,8479.0,0.0
01065,-9.0,15068.0,-9.0
01067,-9.0,17221.0,-9.0
01069,13.0,104173.0,12.48
01071,-9.0,52419.0,-9.0
01073,164.0,660367.0,24.83
01075,-9.0,13886.0,-9.0
01077,-9.0,92596.0,-9.0
01079,-9.0,33115.0,-9.0
01081,17.0,156993.0,10.83
01083,-9.0,91663.0,-9.0
01085,-9.0,10458.0,-9.0
01087,-9.0,19105.0,-9.0
01089,41.0,353089.0,11.61
01091,0.0,20028.0,0.0
01093,-9.0,30168.0,-9.0
01095,24.0,94725.0,25.34
01097,69.0,415395.0,16.61
01099,-9.0,21673.0,-9.0
01101,15.0,226519.0,6.62
01103,26.0,119565.0,21.75
01105,0.0,9652.0,0.0
01107,-9.0,20864.0,-9.0
01109,-9.0,33046.0,-9.0
01111,0.0,22696.0,0.0
01113,-9.0,59660.0,-9.0
01115,20.0,87074.0,22.97
01117,41.0,208713.0,19.64
01119,-9.0,13103.0,-9.0
01121,-9.0,80862.0,-9.0
01123,0.0,40844.0,0.0
01125,27.0,203976.0,13.24
01127,11.0,65294.0,16.85
01129,-9.0,16804.0,-9.0
01131,0.0,11059.0,0.0
01133,0.0,23877.0,0.0
02013,0.0,3341.0,0.0
02016,-9.0,5702.0,-9.0
02020,59.0,298695.0,19.75
02050,0.0,17946.0,0.0
02060,-9.0,892.0,-9.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1919.0,0.0
02070,0.0,4997.0,0.0
02090,10.0,99631.0,10.04
02100,0.0,2534.0,0.0
02105,-9.0,2133.0,-9.0
02110,-9.0,32756.0,-9.0
02122,16.0,58059.0,27.56
02130,-9.0,13709.0,-9.0
02150,-9.0,13889.0,-9.0
02158,,,-9.0
02164,0.0,1563.0,0.0
02170,14.0,101095.0,13.85
02180,-9.0,9846.0,-9.0
02185,-9.0,9687.0,-9.0
02188,0.0,7752.0,0.0
02195,0.0,3177.0,0.0
02198,0.0,6341.0,0.0
02220,-9.0,8863.0,-9.0
02230,0.0,1057.0,0.0
02240,-9.0,6839.0,-9.0
02275,0.0,2382.0,0.0
02282,0.0,613.0,0.0
02290,-9.0,5533.0,-9.0
04001,-9.0,71474.0,-9.0
04003,34.0,126427.0,26.89
04005,26.0,139097.0,18.69
04007,20.0,53159.0,37.62
04009,-9.0,37666.0,-9.0
04011,-9.0,9529.0,-9.0
04012,-9.0,20152.0,-9.0
04013,707.0,4167947.0,16.96
04015,62.0,204737.0,30.28
04017,15.0,108277.0,13.85
04019,232.0,1010025.0,22.97
