FIPS,Deaths,Population,2014 MR
01001,-9.0,55395.0,-9.0
01003,38.0,200111.0,18.99
01005,-9.0,26887.0,-9.0
01007,-9.0,22506.0,-9.0
01009,12.0,57719.0,20.79
01011,-9.0,10764.0,-9.0
01013,-9.0,20296.0,-9.0
01015,19.0,115916.0,16.39
01017,-9.0,34076.0,-9.0
01019,-9.0,26037.0,-9.0
01021,-9.0,43931.0,-9.0
01023,0.0,13323.0,0.0
01025,-9.0,24945.0,-9.0
01027,0.0,13552.0,0.0
01029,-9.0,15080.0,-9.0
01031,-9.0,50909.0,-9.0
01033,-9.0,54543.0,-9.0
01035,-9.0,12670.0,-9.0
01037,0.0,10886.0,0.0
01039,-9.0,37914.0,-9.0
01041,-9.0,13977.0,-9.0
01043,30.0,81289.0,36.91
01045,-9.0,49484.0,-9.0
01047,-9.0,41711.0,-9.0
01049,-9.0,71065.0,-9.0
01051,10.0,80977.0,12.35
01053,13.0,37733.0,34.45
01055,18.0,103531.0,17.39
01057,-9.0,16874.0,-9.0
01059,-9.0,31601.0,-9.0
01061,0.0,26712.0,0.0
01063,0.0,8553.0,0.0
01065,-9.0,15184.0,-9.0
01067,0.0,17190.0,0.0
01069,13.0,104193.0,12.48
01071,-9.0,52665.0,-9.0
01073,175.0,660793.0,26.48
01075,0.0,14086.0,0.0
01077,-9.0,93096.0,-9.0
01079,-9.0,33477.0,-9.0
01081,12.0,154255.0,7.78
01083,-9.0,90787.0,-9.0
01085,0.0,10580.0,0.0
01087,-9.0,19425.0,-9.0
01089,23.0,350299.0,6.57
01091,-9.0,20110.0,-9.0
01093,0.0,30271.0,0.0
01095,21.0,94636.0,22.19
01097,56.0,415123.0,13.49
01099,-9.0,21947.0,-9.0
01101,19.0,226189.0,8.4
01103,12.0,119607.0,10.03
01105,0.0,9826.0,0.0
01107,-9.0,20365.0,-9.0
01109,0.0,33389.0,0.0
01111,-9.0,22539.0,-9.0
01113,-9.0,59608.0,-9.0
01115,34.0,86697.0,39.22
01117,40.0,206655.0,19.36
01119,-9.0,13166.0,-9.0
01121,-9.0,81322.0,-9.0
01123,-9.0,41165.0,-9.0
01125,24.0,202212.0,11.87
01127,22.0,65471.0,33.6
01129,-9.0,16834.0,-9.0
01131,-9.0,11098.0,-9.0
01133,-9.0,24150.0,-9.0
02013,0.0,3360.0,0.0
02016,-9.0,5750.0,-9.0
02020,58.0,301010.0,19.27
02050,0.0,17868.0,0.0
02060,0.0,957.0,0.0
02063,,,-9.0
02066,,,-9.0
02068,-9.0,1921.0,-9.0
02070,-9.0,4988.0,-9.0
02090,17.0,99357.0,17.11
02100,0.0,2566.0,0.0
02105,-9.0,2082.0,-9.0
02110,-9.0,32406.0,-9.0
02122,10.0,57477.0,17.4
02130,-9.0,13787.0,-9.0
02150,-9.0,13986.0,-9.0
02158,,,-9.0
02164,0.0,1631.0,0.0
02170,19.0,97882.0,19.41
02180,-9.0,9817.0,-9.0
02185,0.0,9703.0,0.0
02188,0.0,7717.0,0.0
02195,0.0,3160.0,0.0
02198,-9.0,6396.0,-9.0
02220,-9.0,8900.0,-9.0
02230,0.0,1036.0,0.0
02240,0.0,6931.0,0.0
02275,0.0,2364.0,0.0
02282,0.0,635.0,0.0
02290,0.0,5547.0,0.0
04001,-9.0,71828.0,-9.0
04003,21.0,127448.0,16.48
04005,15.0,137682.0,10.89
04007,18.0,53119.0,33.89
04009,-9.0,37957.0,-9.0
04011,-9.0,9346.0,-9.0
04012,-9.0,20231.0,-9.0
04013,695.0,4087191.0,17.0
04015,58.0,203361.0,28.52
04017,26.0,108101.0,24.05
04019,223.0,1004516.0,22.2
04021,33.0,401918.0,8.21
04023,-9.0,46695.0,-9.0
04025,59.0,218844.0,26.96
04027,39.0,203247.0,19.19
05001,-9.0,18594.0,-9.0
05003,-9.0,20948.0,-9.0
05005,11.0,40857.0,26.92
05007,35.0,242321.0,14.44
05009,-9.0,37196.0,-9.0
05011,0.0,11148.0,0.0
05013,-9.0,5202.0,-9.0
05015,-9.0,27744.0,-9.0
05017,0.0,11180.0,0.0
05019,-9.0,22576.0,-9.0
05021,-9.0,15118.0,-9.0
05023,-9.0,25634.0,-9.0
05025,-9.0,8449.0,-9.0
05027,-9.0,23933.0,-9.0
05029,-9.0,21083.0,-9.0
05031,-9.0,102518.0,-9.0
05033,10.0,61697.0,16.21
05035,-9.0,49548.0,-9.0
05037,-9.0,17227.0,-9.0
05039,0.0,7755.0,0.0
05041,0.0,12264.0,0.0
