FIPS,Deaths,Population,2010 MR
01001,-9.0,54571.0,-9.0
01003,26.0,182265.0,14.26
01005,-9.0,27457.0,-9.0
01007,-9.0,22915.0,-9.0
01009,10.0,57322.0,17.45
01011,0.0,10914.0,0.0
01013,-9.0,20947.0,-9.0
01015,21.0,118572.0,17.71
01017,-9.0,34215.0,-9.0
01019,-9.0,25989.0,-9.0
01021,11.0,43643.0,25.2
01023,-9.0,13859.0,-9.0
01025,-9.0,25833.0,-9.0
01027,0.0,13932.0,0.0
01029,-9.0,14972.0,-9.0
01031,-9.0,49948.0,-9.0
01033,-9.0,54428.0,-9.0
01035,0.0,13228.0,0.0
01037,-9.0,11539.0,-9.0
01039,-9.0,37765.0,-9.0
01041,0.0,13906.0,0.0
01043,-9.0,80406.0,-9.0
01045,-9.0,50251.0,-9.0
01047,-9.0,43820.0,-9.0
01049,-9.0,71109.0,-9.0
01051,-9.0,79303.0,-9.0
01053,10.0,38319.0,26.1
01055,12.0,104430.0,11.49
01057,-9.0,17241.0,-9.0
01059,-9.0,31704.0,-9.0
01061,-9.0,26790.0,-9.0
01063,0.0,9045.0,0.0
01065,-9.0,15760.0,-9.0
01067,0.0,17302.0,0.0
01069,13.0,101547.0,12.8
01071,-9.0,53227.0,-9.0
01073,60.0,658466.0,9.11
01075,0.0,14564.0,0.0
01077,11.0,92709.0,11.87
01079,-9.0,34339.0,-9.0
01081,-9.0,140247.0,-9.0
01083,14.0,82782.0,16.91
01085,0.0,11299.0,0.0
01087,0.0,21452.0,0.0
01089,35.0,334811.0,10.45
01091,-9.0,21027.0,-9.0
01093,-9.0,30776.0,-9.0
01095,-9.0,93019.0,-9.0
01097,45.0,412992.0,10.9
01099,-9.0,23068.0,-9.0
01101,18.0,229363.0,7.85
01103,18.0,119490.0,15.06
01105,-9.0,10591.0,-9.0
01107,-9.0,19746.0,-9.0
01109,-9.0,32899.0,-9.0
01111,-9.0,22913.0,-9.0
01113,-9.0,52947.0,-9.0
01115,15.0,83593.0,17.94
01117,26.0,195085.0,13.33
01119,0.0,13763.0,0.0
01121,-9.0,82291.0,-9.0
01123,-9.0,41616.0,-9.0
01125,27.0,194656.0,13.87
01127,34.0,67023.0,50.73
01129,-9.0,17581.0,-9.0
01131,0.0,11670.0,0.0
01133,-9.0,24484.0,-9.0
02013,-9.0,3141.0,-9.0
02016,0.0,5561.0,0.0
02020,38.0,291826.0,13.02
02050,0.0,17013.0,0.0
02060,0.0,997.0,0.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1826.0,0.0
02070,-9.0,4847.0,-9.0
02090,10.0,97581.0,10.25
02100,0.0,2508.0,0.0
02105,-9.0,-9.0,-9.0
02110,-9.0,31275.0,-9.0
02122,-9.0,55400.0,-9.0
02130,0.0,13477.0,0.0
02150,-9.0,13592.0,-9.0
02158,,,-9.0
02164,0.0,1631.0,0.0
02170,10.0,88995.0,11.24
02180,0.0,9492.0,0.0
02185,0.0,9430.0,0.0
02188,0.0,7523.0,0.0
02195,-9.0,-9.0,-9.0
02198,-9.0,-9.0,-9.0
02220,-9.0,8881.0,-9.0
02230,-9.0,-9.0,-9.0
02240,-9.0,7029.0,-9.0
02275,-9.0,-9.0,-9.0
02282,0.0,662.0,0.0
02290,-9.0,5588.0,-9.0
04001,-9.0,71518.0,-9.0
04003,24.0,131346.0,18.27
04005,18.0,134421.0,13.39
04007,10.0,53597.0,18.66
04009,-9.0,37220.0,-9.0
04011,-9.0,8437.0,-9.0
04012,-9.0,20489.0,-9.0
04013,609.0,3817117.0,15.95
04015,68.0,200186.0,33.97
04017,19.0,107449.0,17.68
04019,205.0,980263.0,20.91
04021,51.0,375770.0,13.57
04023,-9.0,47420.0,-9.0
04025,46.0,211033.0,21.8
04027,23.0,195751.0,11.75
05001,-9.0,19019.0,-9.0
05003,-9.0,21853.0,-9.0
05005,-9.0,41513.0,-9.0
05007,31.0,221339.0,14.01
05009,-9.0,36903.0,-9.0
05011,0.0,11508.0,0.0
05013,0.0,5368.0,0.0
05015,-9.0,27446.0,-9.0
05017,0.0,11800.0,0.0
05019,-9.0,22995.0,-9.0
05021,0.0,16083.0,0.0
05023,-9.0,25970.0,-9.0
05025,0.0,8689.0,0.0
05027,-9.0,24552.0,-9.0
05029,-9.0,21273.0,-9.0
05031,13.0,96443.0,13.48
05033,13.0,61948.0,20.99
05035,-9.0,50902.0,-9.0
05037,0.0,17870.0,0.0
05039,0.0,8116.0,0.0
05041,0.0,13008.0,0.0
05043,-9.0,18509.0,-9.0
05045,16.0,113237.0,14.13
05047,0.0,18125.0,0.0
05049,-9.0,12245.0,-9.0
05051,28.0,96024.0,29.16
05053,-9.0,17853.0,-9.0
05055,-9.0,42090.0,-9.0
05057,-9.0,22609.0,-9.0
05059,-9.0,32923.0,-9.0
05061,0.0,13789.0,0.0
05063,-9.0,36647.0,-9.0
05065,-9.0,13696.0,-9.0
05067,-9.0,17997.0,-9.0
05069,-9.0,77435.0,-9.0
05071,-9.0,25540.0,-9.0
05073,0.0,7645.0,0.0
05075,-9.0,17415.0,-9.0
05077,0.0,10424.0,0.0
05079,-9.0,14134.0,-9.0
05081,-9.0,13171.0,-9.0
05083,-9.0,22353.0,-9.0
05085,16.0,68356.0,23.41
05087,0.0,15717.0,0.0
05089,0.0,16653.0,0.0
05091,-9.0,43462.0,-9.0
05093,-9.0,46480.0,-9.0
05095,-9.0,8149.0,-9.0
05097,-9.0,9487.0,-9.0
05099,0.0,8997.0,0.0
05101,0.0,8330.0,0.0
05103,-9.0,26120.0,-9.0
05105,-9.0,10445.0,-9.0
05107,0.0,21757.0,0.0
05109,-9.0,11291.0,-9.0
05111,-9.0,24583.0,-9.0
05113,-9.0,20662.0,-9.0
05115,10.0,61754.0,16.19
05117,-9.0,8715.0,-9.0
05119,55.0,382748.0,14.37
05121,-9.0,17969.0,-9.0
05123,0.0,28258.0,0.0
05125,-9.0,107118.0,-9.0
05127,-9.0,11233.0,-9.0
05129,0.0,8195.0,0.0
05131,14.0,125744.0,11.13
05133,-9.0,17058.0,-9.0
05135,-9.0,17264.0,-9.0
05137,0.0,12394.0,0.0
05139,-9.0,41639.0,-9.0
05141,-9.0,17295.0,-9.0
05143,14.0,203065.0,6.89
05145,-9.0,77076.0,-9.0
05147,0.0,7260.0,0.0
05149,-9.0,22185.0,-9.0
06001,132.0,1510271.0,8.74
06003,0.0,1175.0,0.0
06005,11.0,38091.0,28.88
06007,85.0,220000.0,38.64
06009,12.0,45578.0,26.33
06011,0.0,21419.0,0.0
06013,93.0,1049025.0,8.87
06015,-9.0,28610.0,-9.0
06017,43.0,181058.0,23.75
06019,104.0,930450.0,11.18
06021,-9.0,28122.0,-9.0
06023,48.0,134623.0,35.66
06025,10.0,174528.0,5.73
06027,-9.0,18546.0,-9.0
06029,140.0,839631.0,16.67
06031,14.0,152982.0,9.15
06033,36.0,64665.0,55.67
06035,12.0,34895.0,34.39
06037,700.0,9818605.0,7.13
06039,20.0,150865.0,13.26
06041,35.0,252409.0,13.87
06043,-9.0,18251.0,-9.0
06045,19.0,87841.0,21.63
06047,29.0,255793.0,11.34
06049,-9.0,9686.0,-9.0
06051,-9.0,14202.0,-9.0
06053,43.0,415057.0,10.36
06055,17.0,136484.0,12.46
06057,14.0,98764.0,14.18
06059,313.0,3010232.0,10.4
06061,27.0,348432.0,7.75
06063,-9.0,20007.0,-9.0
06065,255.0,2189641.0,11.65
06067,216.0,1418788.0,15.22
06069,-9.0,55269.0,-9.0
06071,134.0,2035210.0,6.58
06073,367.0,3095313.0,11.86
06075,170.0,805235.0,21.11
06077,129.0,685306.0,18.82
06079,40.0,269637.0,14.83
06081,55.0,718451.0,7.66
06083,48.0,423895.0,11.32
06085,133.0,1781642.0,7.47
06087,47.0,262382.0,17.91
06089,49.0,177223.0,27.65
06091,-9.0,3240.0,-9.0
06093,13.0,44900.0,28.95
06095,52.0,413344.0,12.58
06097,83.0,483878.0,17.15
06099,90.0,514453.0,17.49
06101,18.0,94737.0,19.0
06103,-9.0,63463.0,-9.0
06105,-9.0,13786.0,-9.0
06107,26.0,442179.0,5.88
06109,18.0,55365.0,32.51
06111,96.0,823318.0,11.66
06113,15.0,200849.0,7.47
06115,-9.0,72155.0,-9.0
08001,66.0,441603.0,14.95
08003,-9.0,15445.0,-9.0
08005,82.0,572003.0,14.34
08007,0.0,12084.0,0.0
08009,0.0,3788.0,0.0
08011,-9.0,6499.0,-9.0
08013,23.0,294567.0,7.81
08014,-9.0,55889.0,-9.0
08015,-9.0,17809.0,-9.0
08017,0.0,1836.0,0.0
08019,-9.0,9088.0,-9.0
08021,-9.0,8256.0,-9.0
08023,-9.0,3524.0,-9.0
08025,0.0,5823.0,0.0
08027,-9.0,4255.0,-9.0
08029,0.0,30952.0,0.0
08031,127.0,600158.0,21.16
08033,0.0,2064.0,0.0
08035,23.0,285465.0,8.06
08037,-9.0,52197.0,-9.0
08039,-9.0,23086.0,-9.0
08041,79.0,622263.0,12.7
08043,-9.0,46824.0,-9.0
08045,-9.0,56389.0,-9.0
08047,0.0,5441.0,0.0
08049,-9.0,14843.0,-9.0
08051,-9.0,15324.0,-9.0
08053,0.0,843.0,0.0
08055,-9.0,6711.0,-9.0
08057,0.0,1394.0,0.0
08059,57.0,534543.0,10.66
08061,0.0,1398.0,0.0
08063,-9.0,8270.0,-9.0
08065,-9.0,7310.0,-9.0
08067,-9.0,51334.0,-9.0
08069,40.0,299630.0,13.35
08071,-9.0,15507.0,-9.0
08073,0.0,5467.0,0.0
08075,-9.0,22709.0,-9.0
08077,22.0,146723.0,14.99
08079,0.0,712.0,0.0
08081,-9.0,13795.0,-9.0
08083,-9.0,25535.0,-9.0
08085,-9.0,41276.0,-9.0
08087,-9.0,28159.0,-9.0
08089,-9.0,18831.0,-9.0
08091,0.0,4436.0,0.0
08093,-9.0,16206.0,-9.0
08095,0.0,4442.0,0.0
08097,-9.0,17148.0,-9.0
08099,-9.0,12551.0,-9.0
08101,23.0,159063.0,14.46
08103,0.0,6666.0,0.0
08105,0.0,11982.0,0.0
08107,-9.0,23509.0,-9.0
08109,-9.0,6108.0,-9.0
08111,0.0,699.0,0.0
08113,0.0,7359.0,0.0
08115,0.0,2379.0,0.0
08117,-9.0,27994.0,-9.0
08119,-9.0,23350.0,-9.0
08121,0.0,4814.0,0.0
08123,28.0,252825.0,11.07
08125,0.0,10043.0,0.0
09110,,,19.67
09120,,,1.5
09130,,,16.84
09140,,,7.41
09150,,,15.55
09160,,,9.49
09170,,,8.14
09180,,,10.24
09190,,,5.75
10001,27.0,162310.0,16.63
10003,84.0,538479.0,15.6
10005,34.0,197145.0,17.25
11001,78.0,601723.0,12.96
12001,25.0,247336.0,10.11
12003,-9.0,27115.0,-9.0
12005,27.0,168852.0,15.99
12007,-9.0,28520.0,-9.0
12009,137.0,543376.0,25.21
12011,262.0,1748066.0,14.99
12013,-9.0,14625.0,-9.0
12015,11.0,159978.0,6.88
12017,34.0,141236.0,24.07
12019,26.0,190865.0,13.62
12021,45.0,321520.0,14.0
12023,18.0,67531.0,26.65
12027,0.0,34862.0,0.0
12029,-9.0,16422.0,-9.0
12031,149.0,864263.0,17.24
12033,34.0,297619.0,11.42
12035,13.0,95696.0,13.58
12037,-9.0,11549.0,-9.0
12039,-9.0,46389.0,-9.0
12041,0.0,16939.0,0.0
12043,0.0,12884.0,0.0
12045,0.0,15863.0,0.0
12047,-9.0,14799.0,-9.0
12049,-9.0,27731.0,-9.0
12051,-9.0,39140.0,-9.0
12053,57.0,172778.0,32.99
12055,13.0,98786.0,13.16
12057,263.0,1229226.0,21.4
12059,-9.0,19927.0,-9.0
12061,22.0,138028.0,15.94
12063,-9.0,49746.0,-9.0
12065,-9.0,14761.0,-9.0
12067,-9.0,8870.0,-9.0
12069,39.0,297052.0,13.13
12071,106.0,618754.0,17.13
12073,13.0,275487.0,4.72
12075,11.0,40801.0,26.96
12077,0.0,8365.0,0.0
12079,-9.0,19224.0,-9.0
12081,78.0,322833.0,24.16
12083,59.0,331298.0,17.81
12085,22.0,146318.0,15.04
12086,98.0,2496435.0,3.93
12087,18.0,73090.0,24.63
12089,16.0,73314.0,21.82
12091,19.0,180822.0,10.51
12093,-9.0,39996.0,-9.0
12095,155.0,1145956.0,13.53
12097,27.0,268685.0,10.05
12099,238.0,1320134.0,18.03
12101,177.0,464697.0,38.09
12103,284.0,916542.0,30.99
12105,95.0,602095.0,15.78
12107,23.0,74364.0,30.93
12109,22.0,190039.0,11.58
12111,54.0,277789.0,19.44
12113,23.0,151372.0,15.19
12115,83.0,379448.0,21.87
12117,71.0,422718.0,16.8
12119,-9.0,93420.0,-9.0
12121,-9.0,41551.0,-9.0
12123,0.0,22570.0,0.0
12125,-9.0,15535.0,-9.0
12127,111.0,494593.0,22.44
12129,-9.0,30776.0,-9.0
12131,-9.0,55043.0,-9.0
12133,-9.0,24896.0,-9.0
13001,-9.0,18236.0,-9.0
13003,-9.0,8375.0,-9.0
13005,-9.0,11096.0,-9.0
13007,0.0,3451.0,0.0
13009,-9.0,45720.0,-9.0
13011,-9.0,18395.0,-9.0
13013,13.0,69367.0,18.74
13015,22.0,100157.0,21.97
13017,-9.0,17634.0,-9.0
13019,-9.0,19286.0,-9.0
13021,14.0,155547.0,9.0
13023,0.0,13063.0,0.0
13025,-9.0,18411.0,-9.0
13027,-9.0,16243.0,-9.0
13029,-9.0,30233.0,-9.0
13031,-9.0,70217.0,-9.0
13033,-9.0,23316.0,-9.0
13035,-9.0,23655.0,-9.0
13037,0.0,6694.0,0.0
13039,-9.0,50513.0,-9.0
13043,0.0,10998.0,0.0
13045,19.0,110527.0,17.19
13047,13.0,63942.0,20.33
13049,0.0,12171.0,0.0
13051,26.0,265128.0,9.81
13053,0.0,11267.0,0.0
13055,-9.0,26015.0,-9.0
13057,26.0,214346.0,12.13
13059,-9.0,116714.0,-9.0
13061,0.0,3183.0,0.0
13063,20.0,259424.0,7.71
13065,0.0,6798.0,0.0
13067,60.0,688078.0,8.72
13069,-9.0,42356.0,-9.0
13071,-9.0,45498.0,-9.0
13073,15.0,124053.0,12.09
13075,-9.0,17212.0,-9.0
13077,-9.0,127317.0,-9.0
13079,-9.0,12630.0,-9.0
13081,-9.0,23439.0,-9.0
13083,-9.0,16633.0,-9.0
13085,-9.0,22330.0,-9.0
