FIPS,Deaths,Population,2021 MR
01001,-9.0,59095.0,-9.0
01003,88.0,239294.0,36.77
01005,-9.0,24964.0,-9.0
01007,-9.0,22477.0,-9.0
01009,16.0,59041.0,27.1
01011,0.0,10320.0,0.0
01013,-9.0,18884.0,-9.0
01015,31.0,115972.0,26.73
01017,-9.0,34541.0,-9.0
01019,-9.0,24996.0,-9.0
01021,12.0,45274.0,26.51
01023,-9.0,12533.0,-9.0
01025,-9.0,22760.0,-9.0
01027,-9.0,14190.0,-9.0
01029,0.0,15103.0,0.0
01031,-9.0,54174.0,-9.0
01033,13.0,57474.0,22.62
01035,-9.0,11328.0,-9.0
01037,-9.0,10450.0,-9.0
01039,-9.0,37524.0,-9.0
01041,-9.0,13083.0,-9.0
01043,34.0,89496.0,37.99
01045,10.0,49342.0,20.27
01047,-9.0,37619.0,-9.0
01049,12.0,71813.0,16.71
01051,-9.0,89304.0,-9.0
01053,25.0,36699.0,68.12
01055,29.0,103162.0,28.11
01057,-9.0,16148.0,-9.0
01059,-9.0,32013.0,-9.0
01061,-9.0,26701.0,-9.0
01063,0.0,7629.0,0.0
01065,-9.0,14754.0,-9.0
01067,-9.0,17459.0,-9.0
01069,14.0,107458.0,13.03
01071,-9.0,52773.0,-9.0
01073,348.0,667820.0,52.11
01075,-9.0,13689.0,-9.0
01077,19.0,94043.0,20.2
01079,0.0,33090.0,0.0
01081,22.0,177218.0,12.41
01083,-9.0,107517.0,-9.0
01085,0.0,9965.0,0.0
01087,-9.0,18895.0,-9.0
01089,131.0,395211.0,33.15
01091,-9.0,18996.0,-9.0
01093,-9.0,29246.0,-9.0
01095,32.0,98228.0,32.58
01097,116.0,413073.0,28.08
01099,-9.0,19648.0,-9.0
01101,40.0,227434.0,17.59
01103,30.0,123668.0,24.26
01105,0.0,8355.0,0.0
01107,-9.0,18801.0,-9.0
01109,-9.0,32991.0,-9.0
01111,-9.0,21989.0,-9.0
01113,22.0,58722.0,37.46
01115,46.0,92748.0,49.6
01117,62.0,226902.0,27.32
01119,0.0,12164.0,0.0
01121,19.0,81524.0,23.31
01123,-9.0,41023.0,-9.0
01125,58.0,227007.0,25.55
01127,27.0,64818.0,41.66
01129,-9.0,15147.0,-9.0
01131,0.0,10446.0,0.0
01133,-9.0,23652.0,-9.0
02013,0.0,3398.0,0.0
02016,-9.0,5059.0,-9.0
02020,122.0,288121.0,42.34
02050,-9.0,18557.0,-9.0
02060,-9.0,838.0,-9.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1593.0,0.0
02070,-9.0,4772.0,-9.0
02090,22.0,95593.0,23.01
02100,0.0,2071.0,0.0
02105,0.0,2332.0,0.0
02110,12.0,31973.0,37.53
02122,21.0,59767.0,35.14
02130,-9.0,13754.0,-9.0
02150,-9.0,12787.0,-9.0
02158,,,-9.0
02164,0.0,1416.0,0.0
02170,39.0,110686.0,35.23
