FIPS,Year,Cluster,Urban_Class
54055,2014,0,5
54059,2014,1,6
54067,2014,1,6
54081,2014,0,4
54089,2014,0,6
54099,2014,1,3
54109,2014,1,6
06033,2015,2,5
21019,2015,0,3
21025,2015,1,6
21037,2015,0,2
21043,2015,1,3
21049,2015,0,3
21065,2015,1,5
21081,2015,1,2
21115,2015,1,6
21117,2015,0,2
21127,2015,1,3
21131,2015,1,6
21135,2015,1,6
21159,2015,1,6
21175,2015,1,6
21189,2015,1,6
21191,2015,0,2
21193,2015,1,6
21197,2015,1,6
22117,2015,2,5
24015,2015,0,2
24510,2015,2,1
29510,2015,2,1
35028,2015,0,5
35039,2015,2,5
39001,2015,1,6
39015,2015,1,2
39053,2015,1,5
39101,2015,0,5
39131,2015,1,6
39145,2015,1,5
42101,2015,2,1
47021,2015,0,2
47025,2015,1,6
47145,2015,0,3
47173,2015,1,3
51027,2015,1,6
51167,2015,1,6
51195,2015,1,6
54003,2015,2,3
54005,2015,1,4
54009,2015,0,4
54011,2015,0,3
54019,2015,1,4
54029,2015,0,4
54039,2015,0,4
54043,2015,1,6
54045,2015,1,6
54047,2015,1,6
54053,2015,1,6
54055,2015,0,5
54059,2015,1,6
54067,2015,1,6
54081,2015,0,4
54089,2015,1,6
54099,2015,1,3
54109,2015,1,6
06033,2016,1,5
21019,2016,2,3
21025,2016,1,6
21037,2016,2,2
21043,2016,1,3
21049,2016,0,3
21065,2016,1,5
21081,2016,0,2
21115,2016,1,6
21117,2016,0,2
21127,2016,1,3
21131,2016,1,6
21135,2016,1,6
21159,2016,1,6
21175,2016,1,6
21189,2016,1,6
21191,2016,0,2
21193,2016,1,6
21197,2016,1,6
22117,2016,1,5
24015,2016,0,2
24510,2016,2,1
29510,2016,2,1
35028,2016,0,5
35039,2016,0,5
39001,2016,1,6
39015,2016,0,2
39053,2016,1,5
39101,2016,2,5
39131,2016,1,6
39145,2016,2,5
42101,2016,2,1
47021,2016,0,2
47025,2016,1,6
47145,2016,1,3
47173,2016,1,3
51027,2016,1,6
51167,2016,1,6
51195,2016,1,6
54003,2016,0,3
54005,2016,1,4
54009,2016,2,4
54011,2016,2,3
54019,2016,1,4
54029,2016,2,4
54039,2016,2,4
54043,2016,1,6
54045,2016,1,6
54047,2016,1,6
54053,2016,1,6
54055,2016,2,5
54059,2016,1,6
54067,2016,1,6
54081,2016,2,4
54089,2016,1,6
54099,2016,1,3
54109,2016,1,6
06033,2017,2,5
21019,2017,0,3
21025,2017,1,6
21037,2017,0,2
21043,2017,1,3
21049,2017,0,3
21065,2017,1,5
21081,2017,0,2
21115,2017,1,6
21117,2017,0,2
21127,2017,1,3
21131,2017,1,6
21135,2017,1,6
21159,2017,1,6
21175,2017,1,6
21189,2017,1,6
21191,2017,0,2
21193,2017,1,6
21197,2017,1,6
22117,2017,2,5
24015,2017,0,2
24510,2017,2,1
29510,2017,2,1
35028,2017,0,5
35039,2017,2,5
39001,2017,1,6
39015,2017,0,2
39053,2017,1,5
39101,2017,0,5
39131,2017,1,6
39145,2017,1,5
42101,2017,2,1
47021,2017,0,2
47025,2017,1,6
47145,2017,0,3
47173,2017,1,3
51027,2017,1,6
51167,2017,1,6
51195,2017,1,6
54003,2017,0,3
54005,2017,1,4
54009,2017,0,4
54011,2017,0,3
54019,2017,1,4
54029,2017,0,4
54039,2017,0,4
54043,2017,1,6
54045,2017,1,6
54047,2017,1,6
54053,2017,1,6
54055,2017,0,5
54059,2017,1,6
54067,2017,1,6
54081,2017,0,4
54089,2017,1,6
54099,2017,1,3
54109,2017,1,6
06033,2018,2,5
21019,2018,1,3
21025,2018,0,6
21037,2018,1,2
21043,2018,0,3
21049,2018,1,3
21065,2018,0,5
21081,2018,1,2
21115,2018,0,6
21117,2018,1,2
21127,2018,0,3
21131,2018,0,6
21135,2018,0,6
21159,2018,0,6
21175,2018,0,6
21189,2018,0,6
21191,2018,1,2
21193,2018,0,6
21197,2018,0,6
22117,2018,2,5
24015,2018,1,2
24510,2018,2,1
29510,2018,2,1
35028,2018,1,5
35039,2018,2,5
39001,2018,0,6
39015,2018,1,2
39053,2018,0,5
39101,2018,1,5
39131,2018,0,6
39145,2018,0,5
42101,2018,2,1
47021,2018,1,2
47025,2018,0,6
47145,2018,1,3
47173,2018,0,3
51027,2018,0,6
51167,2018,0,6
51195,2018,0,6
54003,2018,1,3
54005,2018,0,4
54009,2018,1,4
54011,2018,1,3
54019,2018,0,4
54029,2018,1,4
54039,2018,1,4
54043,2018,0,6
54045,2018,0,6
54047,2018,0,6
54053,2018,0,6
54055,2018,1,5
54059,2018,0,6
54067,2018,0,6
54081,2018,1,4
54089,2018,0,6
54099,2018,0,3
54109,2018,0,6
06033,2019,2,5
21019,2019,2,3
21025,2019,0,6
21037,2019,1,2
21043,2019,0,3
21049,2019,1,3
21065,2019,0,5
21081,2019,1,2
21115,2019,0,6
21117,2019,1,2
21127,2019,0,3
21131,2019,0,6
21135,2019,0,6
21159,2019,0,6
21175,2019,0,6
21189,2019,0,6
21191,2019,1,2
21193,2019,0,6
21197,2019,0,6
22117,2019,2,5
24015,2019,1,2
24510,2019,2,1
29510,2019,2,1
35028,2019,1,5
35039,2019,2,5
39001,2019,0,6
39015,2019,1,2
39053,2019,0,5
39101,2019,2,5
39131,2019,0,6
39145,2019,2,5
42101,2019,2,1
47021,2019,1,2
47025,2019,0,6
47145,2019,0,3
47173,2019,0,3
51027,2019,0,6
51167,2019,0,6
51195,2019,0,6
54003,2019,1,3
54005,2019,0,4
54009,2019,1,4
54011,2019,2,3
54019,2019,0,4
54029,2019,2,4
54039,2019,2,4
54043,2019,0,6
54045,2019,0,6
54047,2019,0,6
54053,2019,0,6
54055,2019,2,5
54059,2019,0,6
54067,2019,0,6
54081,2019,2,4
54089,2019,0,6
54099,2019,0,3
54109,2019,0,6
06033,2020,1,5
21019,2020,2,3
21025,2020,0,6
21037,2020,2,2
21043,2020,0,3
21049,2020,2,3
21065,2020,0,5
21081,2020,2,2
21115,2020,0,6
21117,2020,2,2
21127,2020,0,3
21131,2020,0,6
21135,2020,0,6
21159,2020,0,6
21175,2020,0,6
21189,2020,0,6
21191,2020,2,2
21193,2020,0,6
21197,2020,0,6
22117,2020,1,5
24015,2020,2,2
24510,2020,1,1
29510,2020,1,1
35028,2020,2,5
35039,2020,1,5
39001,2020,0,6
39015,2020,2,2
39053,2020,0,5
39101,2020,2,5
39131,2020,0,6
39145,2020,0,5
42101,2020,1,1
47021,2020,2,2
47025,2020,0,6
